effect,condition,variant,readout,mean,std,count
multi_h_minus_binary,beta0,,hidden_whole_count_linear,-0.0205916305916306,0.038449024332232754,5
multi_h_minus_binary,beta0,,output_whole_count,-0.01144508269508267,0.03898674537220485,5
multi_h_minus_binary,beta0,,uend_linear,0.003465700965700963,0.04027463451507353,5
multi_h_minus_binary,shift234,,hidden_whole_count_linear,0.013042374292374304,0.016871866207349453,5
multi_h_minus_binary,shift234,,output_whole_count,-0.012396492396492386,0.033029549162469925,5
multi_h_minus_binary,shift234,,uend_linear,0.0202769452769453,0.061771632792534094,5
multi_h_minus_binary,shift34,,hidden_whole_count_linear,-0.004985847485847461,0.03721273480443797,5
multi_h_minus_binary,shift34,,output_whole_count,0.010307747807747814,0.06836719155325231,5
multi_h_minus_binary,shift34,,uend_linear,0.0278543678543679,0.10319743780566826,5
multi_h_minus_binary,shift4,,hidden_whole_count_linear,0.008410062160062159,0.0363819474896376,5
multi_h_minus_binary,shift4,,output_whole_count,0.0009756909756909682,0.03757566200521206,5
multi_h_minus_binary,shift4,,uend_linear,0.01203241203241202,0.06369033706008329,5
multi_ho_minus_binary,beta0,,hidden_whole_count_linear,0.0666230991230991,0.055481850200864664,5
multi_ho_minus_binary,beta0,,output_whole_count,0.08763944388944389,0.050639106839333814,5
multi_ho_minus_binary,beta0,,uend_linear,0.13589896214896213,0.03328264509284859,5
multi_ho_minus_binary,shift234,,hidden_whole_count_linear,0.12457320457320457,0.03546749305202473,5
multi_ho_minus_binary,shift234,,output_whole_count,0.13246697746697744,0.07159668638142846,5
multi_ho_minus_binary,shift234,,uend_linear,0.16365662115662116,0.11529353900552747,5
multi_ho_minus_binary,shift34,,hidden_whole_count_linear,0.11319527694527695,0.036908623372290124,5
multi_ho_minus_binary,shift34,,output_whole_count,0.12176420801420798,0.04568932772611487,5
multi_ho_minus_binary,shift34,,uend_linear,0.1640720390720391,0.06631822645250023,5
multi_ho_minus_binary,shift4,,hidden_whole_count_linear,0.11124542124542122,0.05361663941039953,5
multi_ho_minus_binary,shift4,,output_whole_count,0.11293636918636918,0.07268152211350579,5
multi_ho_minus_binary,shift4,,uend_linear,0.10645937395937391,0.08449982315386086,5
