condition,local_shifts,local_group_widths,local_tau_mem_ms,variant,hidden_cap,output_cap,seed,split,dt_ms,valid_count_balanced_accuracy,valid_count_macro_f1,full_count_balanced_accuracy,hidden_count_linear_balanced_accuracy,hidden_count_linear_macro_f1,uend_linear_balanced_accuracy,uend_linear_macro_f1,state_tail_event_fraction,output_tail_event_fraction,state_mean_events_per_neuron_second,output_mean_events_per_neuron_second,local_mean_events_per_neuron_second,local_fraction_at_cap,state_fraction_at_cap,output_fraction_at_cap
beta0,[],[128],[0.0],binary,1,1,11,train,15.625,0.9080429731226487,0.9100879056715329,0.9031319708649482,0.974142348519243,0.9763094973396926,0.8946301460545342,0.8980188280275431,0.010687015905796763,0.007007517354168549,1.5211446872061174,2.205042599400637,1.015073774603681,0.015860527728182517,0.023767885737595584,0.03445379061563495
beta0,[],[128],[0.0],binary,1,1,11,val,15.625,0.22278739778739778,0.2204782590076708,0.22278739778739778,0.19884559884559883,0.19172688422688422,0.1361111111111111,0.13025790848618266,0.00917431153357029,0.011674118228256702,1.1329997777938843,1.862991213798523,0.7290404438972473,0.01139125693589449,0.017703121528029442,0.02910923771560192
beta0,[],[128],[0.0],binary,1,1,11,test,15.625,0.1984938672438672,0.1842721610444947,0.1984938672438672,0.17589979464979463,0.1657134894091416,0.17251567876567875,0.15916902256791132,0.007331576249370836,0.008508530381607683,1.6127678858090753,2.5637196971945566,1.0400915905220869,0.016251431101907608,0.0251994982157668,0.04005812026866495
beta0,[],[128],[0.0],binary,1,1,23,train,15.625,0.8790753019166789,0.8766069590850686,0.8790753019166789,0.9790883361735642,0.980035571315371,0.9108355736892055,0.9145072157015736,0.008803264395030866,0.007135175053100783,1.4015706457492612,1.2918160977338964,1.0271308543144528,0.016048919598663326,0.021899541339832206,0.02018462652709213
beta0,[],[128],[0.0],binary,1,1,23,val,15.625,0.23760221260221256,0.23611478077119483,0.23760221260221256,0.1680916305916306,0.16356846412904635,0.20024050024050022,0.20218245632695517,0.004463318269699812,0.004972375463694334,1.0084277391433716,0.8432388305664062,0.7355368137359619,0.011492762714624405,0.01575668342411518,0.013175606727600098
beta0,[],[128],[0.0],binary,1,1,23,test,15.625,0.22281121656121652,0.22308368175132165,0.2168588356088356,0.245238788988789,0.24336055404025278,0.21210803085803084,0.20450641800911787,0.004024795065187428,0.003191526417862879,1.4463771010098392,1.2902833378478273,1.02803226774686,0.01606300418354469,0.022599642203278737,0.020160677153872302
beta0,[],[128],[0.0],binary,1,1,37,train,15.625,0.8901069277293797,0.8895873159744578,0.8901069277293797,0.9794865694334325,0.9805764001583818,0.8961263613497689,0.8999059508700755,0.01086083775716425,0.008545272864991231,1.6739049150693437,2.2373795718621468,1.1393033038318259,0.01780161412237228,0.026154764297958495,0.03495905581034604
beta0,[],[128],[0.0],binary,1,1,37,val,15.625,0.24733044733044732,0.2557806057032063,0.23807118807118807,0.1948172198172198,0.19775813590172855,0.17569745069745069,0.1717516788337222,0.0042950185015797615,0.005044843070209026,1.2414625883102417,1.6621309518814087,0.8397418856620789,0.013120966963469982,0.019397852942347527,0.02597079612314701
beta0,[],[128],[0.0],binary,1,1,37,test,15.625,0.1551635864135864,0.1491514023250675,0.1551635864135864,0.2079163891663892,0.19971529852710587,0.20723096348096348,0.19453569896363465,0.00404536438314882,0.0035164731822601735,1.6020880570150402,2.22774290548612,1.1477946083839625,0.017934290755999414,0.025032625890860003,0.034808482898220625
beta0,[],[128],[0.0],binary,1,1,53,train,15.625,0.7689824901059432,0.773571169236976,0.7657145162497341,0.9506183912827441,0.9529157721776116,0.9093463761583412,0.9128276466956837,0.015063349947833461,0.013178999415517059,1.5294903057167328,1.4419723232108426,0.9740828341337981,0.015220044283340596,0.02389828602682395,0.022530817550169415
