effect,condition,variant,seed,readout,delta_balanced_accuracy
shift4_minus_beta0,,binary,11,output_whole_count,0.20963966588966593
shift4_minus_beta0,,binary,11,hidden_whole_count_linear,0.20678973803973807
shift4_minus_beta0,,binary,11,uend_linear,0.19612262737262737
shift4_minus_beta0,,binary,23,output_whole_count,0.11931401931401933
shift4_minus_beta0,,binary,23,hidden_whole_count_linear,0.08994200244200237
shift4_minus_beta0,,binary,23,uend_linear,0.1420281107781108
shift4_minus_beta0,,binary,37,output_whole_count,0.2276001776001776
shift4_minus_beta0,,binary,37,hidden_whole_count_linear,0.1556415806415806
shift4_minus_beta0,,binary,37,uend_linear,0.14586593961593963
shift4_minus_beta0,,binary,53,output_whole_count,0.07148962148962151
shift4_minus_beta0,,binary,53,hidden_whole_count_linear,0.11460830835830838
shift4_minus_beta0,,binary,53,uend_linear,0.23488039738039734
shift4_minus_beta0,,binary,71,output_whole_count,0.1831307581307581
shift4_minus_beta0,,binary,71,hidden_whole_count_linear,0.19638764013764007
shift4_minus_beta0,,binary,71,uend_linear,0.2699411699411699
shift4_minus_beta0,,multi_h,11,output_whole_count,0.12652625152625147
shift4_minus_beta0,,multi_h,11,hidden_whole_count_linear,0.18200757575757573
shift4_minus_beta0,,multi_h,11,uend_linear,0.19565087690087687
shift4_minus_beta0,,multi_h,23,output_whole_count,0.13618117993117995
shift4_minus_beta0,,multi_h,23,hidden_whole_count_linear,0.10144993894993898
shift4_minus_beta0,,multi_h,23,uend_linear,0.18307664557664557
shift4_minus_beta0,,multi_h,37,output_whole_count,0.26132964257964253
shift4_minus_beta0,,multi_h,37,hidden_whole_count_linear,0.18374819624819624
shift4_minus_beta0,,multi_h,37,uend_linear,0.2617021867021867
shift4_minus_beta0,,multi_h,53,output_whole_count,0.15473068598068593
shift4_minus_beta0,,multi_h,53,hidden_whole_count_linear,0.20326756576756572
shift4_minus_beta0,,multi_h,53,uend_linear,0.17199536574536572
shift4_minus_beta0,,multi_h,71,output_whole_count,0.19451035076035075
shift4_minus_beta0,,multi_h,71,hidden_whole_count_linear,0.23790445665445661
shift4_minus_beta0,,multi_h,71,uend_linear,0.2192467254967255
shift4_minus_beta0,,multi_ho,11,output_whole_count,0.15256826506826504
shift4_minus_beta0,,multi_ho,11,hidden_whole_count_linear,0.1826909201909202
shift4_minus_beta0,,multi_ho,11,uend_linear,0.1844745532245532
shift4_minus_beta0,,multi_ho,23,output_whole_count,0.18173770673770673
shift4_minus_beta0,,multi_ho,23,hidden_whole_count_linear,0.2022997835497835
shift4_minus_beta0,,multi_ho,23,uend_linear,0.10268620268620271
shift4_minus_beta0,,multi_ho,37,output_whole_count,0.1003427128427129
shift4_minus_beta0,,multi_ho,37,hidden_whole_count_linear,0.21205877455877448
shift4_minus_beta0,,multi_ho,37,uend_linear,0.16741383616383615
shift4_minus_beta0,,multi_ho,53,output_whole_count,0.21048049173049171
shift4_minus_beta0,,multi_ho,53,hidden_whole_count_linear,0.17247752247752252
shift4_minus_beta0,,multi_ho,53,uend_linear,0.25254814629814626
shift4_minus_beta0,,multi_ho,71,output_whole_count,0.2925296925296925
shift4_minus_beta0,,multi_ho,71,hidden_whole_count_linear,0.2169538794538794
shift4_minus_beta0,,multi_ho,71,uend_linear,0.13451756576756563
shift34_minus_beta0,,binary,11,output_whole_count,0.14302225552225556
shift34_minus_beta0,,binary,11,hidden_whole_count_linear,0.19920912420912415
shift34_minus_beta0,,binary,11,uend_linear,0.22686063936063933
shift34_minus_beta0,,binary,23,output_whole_count,0.15596625596625593
shift34_minus_beta0,,binary,23,hidden_whole_count_linear,0.1607954545454545
shift34_minus_beta0,,binary,23,uend_linear,0.23873834498834498
shift34_minus_beta0,,binary,37,output_whole_count,0.18458485958485954
shift34_minus_beta0,,binary,37,hidden_whole_count_linear,0.16445290820290817
shift34_minus_beta0,,binary,37,uend_linear,0.08241203241203238
