condition,variant,hidden_cap,output_cap,valid_count_balanced_accuracy_mean,valid_count_balanced_accuracy_std,hidden_count_linear_balanced_accuracy_mean,hidden_count_linear_balanced_accuracy_std,uend_linear_balanced_accuracy_mean,uend_linear_balanced_accuracy_std,local_mean_events_per_neuron_second_mean,local_mean_events_per_neuron_second_std,state_mean_events_per_neuron_second_mean,state_mean_events_per_neuron_second_std,output_mean_events_per_neuron_second_mean,output_mean_events_per_neuron_second_std,state_tail_event_fraction_mean,state_tail_event_fraction_std,output_tail_event_fraction_mean,output_tail_event_fraction_std,local_fraction_at_cap_mean,local_fraction_at_cap_std,state_fraction_at_cap_mean,state_fraction_at_cap_std,output_fraction_at_cap_mean,output_fraction_at_cap_std
beta0,binary,1,1,0.20190739815739814,0.029776443751799303,0.21364441114441118,0.02650898180535717,0.1983458208458208,0.019984406313019003,1.0270164822878902,0.07722404503399433,1.5746297245156273,0.09219681230816677,1.879179888882049,0.5166212558492501,0.006637401368520031,0.0028589903503712217,0.006300152695342285,0.0031114307104784457,0.016047132535748288,0.001206625703656161,0.024603589445556677,0.0014405751923151058,0.029362185763782016,0.008072207122644533
beta0,multi_h,31,1,0.19046231546231546,0.035924195815668636,0.19305278055278055,0.042763800802520915,0.2018115218115218,0.024121394051599753,1.0574541989254624,0.09089798265611125,2.968859740152751,3.2807952945624312,1.3631755847841092,0.9165519339342514,0.14401473353986874,0.31070770998170094,0.09908206136259315,0.2123601548519241,0.0,0.0,0.00023026566981172112,0.0005148896905835296,0.021299618512251706,0.014321123967722678
beta0,multi_ho,31,31,0.289546842046842,0.037988162900406394,0.28026751026751023,0.03265838250371672,0.33424478299478294,0.0396891780982504,1.432503690131723,0.10202248351257423,23.59672720660902,7.196227540066548,115.86936628785853,46.722167326002356,0.17988641528438215,0.10209752598816192,0.1720195360226582,0.09715004452944387,0.0,0.0,3.474849804100414e-06,4.7635699985239486e-06,0.0007305836547819948,0.0007072374146649105
shift234,binary,1,1,0.358235791985792,0.03781275544400096,0.35621239871239874,0.020888958587302664,0.3453119103119103,0.0412154223409248,1.7752903592096616,0.15941161193312853,2.5361923377807827,0.2244183668336513,2.5378196512183098,0.9084032348944272,0.011906653074930384,0.0023872016210875454,0.012230450902708283,0.004867570314469454,0.027738911862650963,0.0024908064364551332,0.03962800527782473,0.0035065369817758015,0.03965343205028609,0.014193800545225425
shift234,multi_h,31,1,0.34583929958929954,0.015619305055516302,0.369254773004773,0.012687442732656738,0.36558885558885557,0.040128823158663084,1.8069398494615947,0.1369185009682166,2.652706517911937,0.1105267974855229,2.6397296134739703,0.18226681347845788,0.010682789470413573,0.0028094490904687942,0.009248066511745118,0.0034123268628259923,0.0,0.0,0.0,0.0,0.041245775210530786,0.002847918960600905
shift234,multi_ho,31,31,0.49070276945276936,0.06801912061775497,0.48078560328560327,0.03400645542585102,0.5089685314685315,0.08358842651426275,3.000209897838227,0.4288114398235291,32.61544715149762,9.522113195092201,159.24970787779927,62.5547673189871,0.3869415517539194,0.15017683842345345,0.3747355657081081,0.14860169048176441,0.0,0.0,7.078397464109203e-06,1.3451879736136014e-05,0.0004845913907844727,0.0005230229205975657
shift34,binary,1,1,0.3762254412254412,0.045507449564738046,0.38890498390498385,0.036887182241726206,0.3804226329226329,0.058313846746555514,1.8875279844623722,0.15117050438249777,2.496580888800425,0.6093138564302704,2.1508491398536997,0.8409899812429484,0.015532867729580924,0.007144182993316794,0.012326269335598264,0.0076165305419572255,0.029492624757224566,0.0023620391309765276,0.03900907638750664,0.009520529006722974,0.03360701781021406,0.01314046845692107
shift34,multi_h,31,1,0.386533189033189,0.034681572146132086,0.38391913641913644,0.014057395264213297,0.4082770007770008,0.0652899669031434,1.9469161850132355,0.16496360816736022,2.928710641926282,0.3138103954548149,2.9890948690780226,0.5640314732595786,0.010122996593717078,0.002840624096418324,0.007584722299919756,0.00270175926154528,0.0,0.0,0.0,0.0,0.0467046073293441,0.008812991769680915
shift34,multi_ho,31,31,0.49798964923964917,0.04748012784710363,0.5021002608502607,0.024832926355569447,0.5444946719946719,0.014334073198434188,3.4553338612595645,0.17352432152925423,37.31818359584024,9.473720996777336,180.47138607077403,46.09089934712394,0.23227576760396565,0.06539659925116388,0.22442110097163342,0.06499960449259697,0.0,0.0,2.7284006072265695e-05,3.4324665547248374e-05,0.0012558456449705648,0.0013216624931377333
shift4,binary,1,1,0.36414224664224665,0.04132322251298762,0.36631826506826504,0.041769508953959825,0.39611346986346985,0.05752044463065353,1.986191439955202,0.16470263115936123,2.827403244580308,0.4263520476987143,2.2805580135894146,0.4685656856681554,0.0658171878252912,0.11596392476245453,0.08871629038819252,0.17310537587961888,0.031034241249300033,0.0025734786118650184,0.04417817569656731,0.006661750745292411,0.0356337189623346,0.007321338838564928
shift4,multi_h,31,1,0.3651179376179376,0.040562750390900536,0.37472832722832716,0.03300124561961,0.40814588189588186,0.016752054553199936,1.9775094940237803,0.1163845638423554,2.5120076982942345,0.1535617521026915,2.5204503134505387,0.2265543722272331,0.009741635883166391,0.0030507916105299666,0.007262878185010528,0.0016518100493210534,0.0,0.0,0.0,0.0,0.03938203614766467,0.003539912066050517
shift4,multi_ho,31,31,0.4770786158286159,0.04198496767704211,0.4775636863136863,0.027348776416262134,0.5025728438228437,0.04707234148483966,3.853594529138852,0.16767513177508828,29.60843503246569,6.67835436809343,152.00587256444643,43.89223983020429,0.2341236941210211,0.10292784994960105,0.22330455804524357,0.11266880618661348,0.0,0.0,1.2869814495326414e-07,2.8777780069362015e-07,0.0005302900653364367,0.0007033030505611182
