objective,baseline_objective,variant,seed,readout,delta_ba
timestep_ce,whole_count_ce,binary,11,output_whole_count,-0.21346639471639467
timestep_ce,whole_count_ce,binary,11,l1_whole_count_linear,-0.010157897657897763
timestep_ce,whole_count_ce,binary,11,l2_whole_count_linear,-0.10896325896325892
timestep_ce,whole_count_ce,binary,11,l2_fixed250_ordered_linear,-0.11213023088023083
timestep_ce,whole_count_ce,binary,11,l2_relative10_ordered_linear,-0.13162254412254415
timestep_ce,whole_count_ce,binary,11,l2_uend_linear,-0.04792568542568548
timestep_ce,whole_count_ce,binary,23,output_whole_count,-0.07215076590076591
timestep_ce,whole_count_ce,binary,23,l1_whole_count_linear,-0.05014430014430005
timestep_ce,whole_count_ce,binary,23,l2_whole_count_linear,-0.10277153402153405
timestep_ce,whole_count_ce,binary,23,l2_fixed250_ordered_linear,-0.16532703407703403
timestep_ce,whole_count_ce,binary,23,l2_relative10_ordered_linear,-0.17938797313797322
timestep_ce,whole_count_ce,binary,23,l2_uend_linear,-0.05550421800421801
timestep_ce,whole_count_ce,binary,37,output_whole_count,-0.25512196137196136
timestep_ce,whole_count_ce,binary,37,l1_whole_count_linear,-0.12459484959484973
timestep_ce,whole_count_ce,binary,37,l2_whole_count_linear,-0.16825049950049947
timestep_ce,whole_count_ce,binary,37,l2_fixed250_ordered_linear,-0.16264083139083135
timestep_ce,whole_count_ce,binary,37,l2_relative10_ordered_linear,-0.22634865134865134
timestep_ce,whole_count_ce,binary,37,l2_uend_linear,-0.05803640803640803
timestep_ce,whole_count_ce,binary,53,output_whole_count,-0.1769737207237207
timestep_ce,whole_count_ce,binary,53,l1_whole_count_linear,-0.15396339771339768
timestep_ce,whole_count_ce,binary,53,l2_whole_count_linear,-0.11771284271284271
timestep_ce,whole_count_ce,binary,53,l2_fixed250_ordered_linear,-0.1858724608724608
timestep_ce,whole_count_ce,binary,53,l2_relative10_ordered_linear,-0.21298562548562538
timestep_ce,whole_count_ce,binary,53,l2_uend_linear,0.0018939393939393367
timestep_ce,whole_count_ce,binary,71,output_whole_count,-0.16448551448551446
timestep_ce,whole_count_ce,binary,71,l1_whole_count_linear,-0.074805056055056
timestep_ce,whole_count_ce,binary,71,l2_whole_count_linear,-0.1185092685092684
timestep_ce,whole_count_ce,binary,71,l2_fixed250_ordered_linear,-0.09951784326784324
timestep_ce,whole_count_ce,binary,71,l2_relative10_ordered_linear,-0.11739094239094228
timestep_ce,whole_count_ce,binary,71,l2_uend_linear,-0.0528346653346653
timestep_ce,whole_count_ce,multi_h,11,output_whole_count,-0.1719960594960595
timestep_ce,whole_count_ce,multi_h,11,l1_whole_count_linear,-0.007657620157620171
timestep_ce,whole_count_ce,multi_h,11,l2_whole_count_linear,-0.08887362637362639
timestep_ce,whole_count_ce,multi_h,11,l2_fixed250_ordered_linear,-0.041285797535797475
timestep_ce,whole_count_ce,multi_h,11,l2_relative10_ordered_linear,-0.03131105006105006
timestep_ce,whole_count_ce,multi_h,11,l2_uend_linear,-0.08039113664113667
timestep_ce,whole_count_ce,multi_h,23,output_whole_count,-0.12904803529803532
timestep_ce,whole_count_ce,multi_h,23,l1_whole_count_linear,-0.11642593517593514
timestep_ce,whole_count_ce,multi_h,23,l2_whole_count_linear,-0.06856338106338117
timestep_ce,whole_count_ce,multi_h,23,l2_fixed250_ordered_linear,-0.09170204795204795
timestep_ce,whole_count_ce,multi_h,23,l2_relative10_ordered_linear,-0.2296654734154734
timestep_ce,whole_count_ce,multi_h,23,l2_uend_linear,0.06348581973581968
timestep_ce,whole_count_ce,multi_h,37,output_whole_count,-0.19118728493728487
timestep_ce,whole_count_ce,multi_h,37,l1_whole_count_linear,-0.0784305971805972
timestep_ce,whole_count_ce,multi_h,37,l2_whole_count_linear,-0.12764110889110897
timestep_ce,whole_count_ce,multi_h,37,l2_fixed250_ordered_linear,-0.11884781884781875
timestep_ce,whole_count_ce,multi_h,37,l2_relative10_ordered_linear,-0.14893370518370508
timestep_ce,whole_count_ce,multi_h,37,l2_uend_linear,-0.054034160284160276
timestep_ce,whole_count_ce,multi_h,53,output_whole_count,-0.14051989676989673
timestep_ce,whole_count_ce,multi_h,53,l1_whole_count_linear,-0.08830336330336336
timestep_ce,whole_count_ce,multi_h,53,l2_whole_count_linear,-0.1416451603951604
timestep_ce,whole_count_ce,multi_h,53,l2_fixed250_ordered_linear,-0.14235694860694859
timestep_ce,whole_count_ce,multi_h,53,l2_relative10_ordered_linear,-0.09258449883449876
timestep_ce,whole_count_ce,multi_h,53,l2_uend_linear,0.031186868686868652
timestep_ce,whole_count_ce,multi_h,71,output_whole_count,-0.19157231657231655
timestep_ce,whole_count_ce,multi_h,71,l1_whole_count_linear,-0.07237345987345983
timestep_ce,whole_count_ce,multi_h,71,l2_whole_count_linear,-0.14506049506049506
timestep_ce,whole_count_ce,multi_h,71,l2_fixed250_ordered_linear,-0.11634476634476626
timestep_ce,whole_count_ce,multi_h,71,l2_relative10_ordered_linear,-0.1449411699411699
timestep_ce,whole_count_ce,multi_h,71,l2_uend_linear,0.00829101454101458
timestep_ce,whole_count_ce,multi_ho,11,output_whole_count,-0.04343503718503722
timestep_ce,whole_count_ce,multi_ho,11,l1_whole_count_linear,-0.0325126262626263
timestep_ce,whole_count_ce,multi_ho,11,l2_whole_count_linear,-0.015201465201465147
timestep_ce,whole_count_ce,multi_ho,11,l2_fixed250_ordered_linear,-0.023547979797979846
timestep_ce,whole_count_ce,multi_ho,11,l2_relative10_ordered_linear,0.018353174603174538
