objective,candidate_variant,baseline_variant,readout,mean,std,count
fixed250_bin_ce,multi_h,binary,l1_whole_count_linear,-0.05968892218892221,0.03756393592783085,5
fixed250_bin_ce,multi_h,binary,l2_fixed250_ordered_linear,-0.014471916971916955,0.04064207851002674,5
fixed250_bin_ce,multi_h,binary,l2_relative10_ordered_linear,-0.0023790098790098745,0.03129263551422365,5
fixed250_bin_ce,multi_h,binary,l2_uend_linear,-0.0958737096237096,0.021935441908100286,5
fixed250_bin_ce,multi_h,binary,l2_whole_count_linear,-0.007447136197136217,0.04507762023076479,5
fixed250_bin_ce,multi_h,binary,output_whole_count,-0.020334526584526592,0.02986553361151275,5
fixed250_bin_ce,multi_ho,binary,l1_whole_count_linear,0.023329448329448266,0.052752227408274226,5
fixed250_bin_ce,multi_ho,binary,l2_fixed250_ordered_linear,0.05914294039294045,0.05997204226551796,5
fixed250_bin_ce,multi_ho,binary,l2_relative10_ordered_linear,0.05344530469530477,0.02027342588267502,5
fixed250_bin_ce,multi_ho,binary,l2_uend_linear,-0.16913419913419908,0.06794464023200386,5
fixed250_bin_ce,multi_ho,binary,l2_whole_count_linear,0.05762140637140635,0.048115827816777854,5
fixed250_bin_ce,multi_ho,binary,output_whole_count,0.04581293706293706,0.02045816958673572,5
fixed250_bin_ce,multi_ho,multi_h,l1_whole_count_linear,0.08301837051837048,0.05195262676514566,5
fixed250_bin_ce,multi_ho,multi_h,l2_fixed250_ordered_linear,0.0736148573648574,0.04070125080018966,5
fixed250_bin_ce,multi_ho,multi_h,l2_relative10_ordered_linear,0.05582431457431465,0.032293384621793805,5
fixed250_bin_ce,multi_ho,multi_h,l2_uend_linear,-0.0732604895104895,0.06066947103716384,5
fixed250_bin_ce,multi_ho,multi_h,l2_whole_count_linear,0.06506854256854257,0.049111602904099536,5
fixed250_bin_ce,multi_ho,multi_h,output_whole_count,0.06614746364746366,0.01511561413002523,5
fixed500_bin_ce,multi_h,binary,l1_whole_count_linear,0.010340215340215309,0.04465514525708107,5
fixed500_bin_ce,multi_h,binary,l2_fixed250_ordered_linear,-0.0546965534465534,0.014734234740785893,5
fixed500_bin_ce,multi_h,binary,l2_relative10_ordered_linear,-0.020880924630924634,0.014896441801237337,5
fixed500_bin_ce,multi_h,binary,l2_uend_linear,-0.09627386502386501,0.034880423707535,5
fixed500_bin_ce,multi_h,binary,l2_whole_count_linear,-0.012203907203907228,0.08404420236795643,5
fixed500_bin_ce,multi_h,binary,output_whole_count,-0.009054417804417791,0.06258952466836482,5
fixed500_bin_ce,multi_ho,binary,l1_whole_count_linear,0.09271103896103891,0.023685580813026064,5
fixed500_bin_ce,multi_ho,binary,l2_fixed250_ordered_linear,0.02431623931623935,0.04676102456307648,5
fixed500_bin_ce,multi_ho,binary,l2_relative10_ordered_linear,0.058963120213120265,0.020990072278933618,5
fixed500_bin_ce,multi_ho,binary,l2_uend_linear,-0.15665653790653786,0.029645857562448752,5
fixed500_bin_ce,multi_ho,binary,l2_whole_count_linear,0.07919358419358415,0.03452511940716804,5
fixed500_bin_ce,multi_ho,binary,output_whole_count,0.06271672771672768,0.0329291207060396,5
fixed500_bin_ce,multi_ho,multi_h,l1_whole_count_linear,0.08237082362082361,0.05580120991614327,5
fixed500_bin_ce,multi_ho,multi_h,l2_fixed250_ordered_linear,0.07901279276279274,0.046436748633747534,5
fixed500_bin_ce,multi_ho,multi_h,l2_relative10_ordered_linear,0.0798440448440449,0.026553791949876313,5
fixed500_bin_ce,multi_ho,multi_h,l2_uend_linear,-0.06038267288267287,0.0247843915905886,5
fixed500_bin_ce,multi_ho,multi_h,l2_whole_count_linear,0.09139749139749137,0.05557079510226273,5
fixed500_bin_ce,multi_ho,multi_h,output_whole_count,0.07177114552114547,0.05564900262853029,5
relative10_bin_ce,multi_h,binary,l1_whole_count_linear,-0.026927655677655638,0.02918506481393545,5
relative10_bin_ce,multi_h,binary,l2_fixed250_ordered_linear,-0.02714535464535469,0.05313338243723881,5
relative10_bin_ce,multi_h,binary,l2_relative10_ordered_linear,-0.022929847929847914,0.042082255118205424,5
relative10_bin_ce,multi_h,binary,l2_uend_linear,-0.05707653457653454,0.07785966976290695,5
relative10_bin_ce,multi_h,binary,l2_whole_count_linear,0.03504842379842378,0.0825438321964362,5
relative10_bin_ce,multi_h,binary,output_whole_count,-0.025045787545787557,0.03369124802163877,5
relative10_bin_ce,multi_ho,binary,l1_whole_count_linear,0.08054750804750806,0.059202982677396744,5
relative10_bin_ce,multi_ho,binary,l2_fixed250_ordered_linear,0.04838883338883336,0.03234421294891559,5
relative10_bin_ce,multi_ho,binary,l2_relative10_ordered_linear,0.062180319680319694,0.011692018108563495,5
relative10_bin_ce,multi_ho,binary,l2_uend_linear,-0.1311100011100011,0.044825730033703826,5
relative10_bin_ce,multi_ho,binary,l2_whole_count_linear,0.1024826562326562,0.05360642222060337,5
relative10_bin_ce,multi_ho,binary,output_whole_count,0.03774336774336769,0.038117089546651786,5
relative10_bin_ce,multi_ho,multi_h,l1_whole_count_linear,0.10747516372516368,0.05294056934212972,5
relative10_bin_ce,multi_ho,multi_h,l2_fixed250_ordered_linear,0.07553418803418806,0.04546955207032413,5
relative10_bin_ce,multi_ho,multi_h,l2_relative10_ordered_linear,0.08511016761016761,0.04162927562283042,5
relative10_bin_ce,multi_ho,multi_h,l2_uend_linear,-0.07403346653346654,0.06849037793839793,5
relative10_bin_ce,multi_ho,multi_h,l2_whole_count_linear,0.06743423243423242,0.05172937778569621,5
relative10_bin_ce,multi_ho,multi_h,output_whole_count,0.06278915528915524,0.030795127090504203,5
timestep_ce,multi_h,binary,l1_whole_count_linear,-0.005056887556887546,0.045372953769522995,5
timestep_ce,multi_h,binary,l2_fixed250_ordered_linear,0.009335248085248105,0.02675251772652799,5
timestep_ce,multi_h,binary,l2_relative10_ordered_linear,0.013212481962481992,0.05697760749286045,5
timestep_ce,multi_h,binary,l2_uend_linear,-0.07435162060162061,0.02698080533676408,5
timestep_ce,multi_h,binary,l2_whole_count_linear,0.011060467310467281,0.029729596984219585,5
timestep_ce,multi_h,binary,output_whole_count,-0.013144216894216909,0.031224370158382603,5
timestep_ce,multi_ho,binary,l1_whole_count_linear,0.11997058497058492,0.04550146233461628,5
timestep_ce,multi_ho,binary,l2_fixed250_ordered_linear,0.16828893328893327,0.056596775289910445,5
timestep_ce,multi_ho,binary,l2_relative10_ordered_linear,0.1921249583749584,0.05146234496348947,5
timestep_ce,multi_ho,binary,l2_uend_linear,-0.10276792651792652,0.019335578420128258,5
timestep_ce,multi_ho,binary,l2_whole_count_linear,0.1718847818847819,0.047382286625394066,5
timestep_ce,multi_ho,binary,output_whole_count,0.15346805971805963,0.02715183333020518,5
timestep_ce,multi_ho,multi_h,l1_whole_count_linear,0.12502747252747248,0.022122974606678582,5
timestep_ce,multi_ho,multi_h,l2_fixed250_ordered_linear,0.15895368520368516,0.05197037381868734,5
timestep_ce,multi_ho,multi_h,l2_relative10_ordered_linear,0.1789124764124764,0.03658953172278737,5
timestep_ce,multi_ho,multi_h,l2_uend_linear,-0.02841630591630593,0.03563887900186125,5
timestep_ce,multi_ho,multi_h,l2_whole_count_linear,0.16082431457431462,0.03738025743502471,5
timestep_ce,multi_ho,multi_h,output_whole_count,0.16661227661227654,0.008876654295102399,5
whole_count_ce,multi_h,binary,l1_whole_count_linear,-0.01515179265179265,0.0120550380713362,5
whole_count_ce,multi_h,binary,l2_fixed250_ordered_linear,-0.03365495615495614,0.03492880878073874,5
whole_count_ce,multi_h,binary,l2_relative10_ordered_linear,-0.030847485847485846,0.04371941877165854,5
whole_count_ce,multi_h,binary,l2_uend_linear,-0.11054070929070929,0.052158241476726624,5
