objective,variant,hidden_cap,output_cap,seed,split,best_epoch,output_whole_count_ba,l1_whole_count_linear_ba,l2_whole_count_linear_ba,l2_fixed250_ordered_linear_ba,l2_relative10_ordered_linear_ba,l2_uend_linear_ba,l1_events_per_neuron_second,l1_tail_event_fraction,l2_events_per_neuron_second,l2_tail_event_fraction,output_events_per_neuron_second,output_tail_event_fraction
whole_count_ce,binary,1,1,11,test,94,0.5276688589188588,0.4589368964368965,0.547100122100122,0.5469419469419469,0.6660554723054722,0.37215562215562215,2.224362160371107,0.04308394063040109,12.351681577203445,0.18469500459297494,9.531256903026287,0.29788134214209
whole_count_ce,binary,1,1,11,train,94,0.9152171039715866,0.9266428636266286,0.9761592413512025,0.9936152323102009,0.995187559354226,0.9037225178309608,1.9310466109501399,0.051716905868322574,11.364077913812451,0.1685558066239578,9.467566616979584,0.2533864934735596
whole_count_ce,binary,1,1,11,val,94,0.4217352092352092,0.47441678691678696,0.42160293410293415,0.5385461760461759,0.5531926406926406,0.3954184704184704,1.4255113686243526,0.033912422655878155,9.530550434553595,0.1645375279930431,9.151552395165774,0.24019436345966957
whole_count_ce,binary,1,1,23,test,92,0.4547424797424797,0.5217026029526028,0.5111985236985237,0.5357538295038294,0.6685599123099123,0.41946386946386943,2.007331013916501,0.045814301464797605,12.126408217362492,0.20978337732722277,9.89794565937707,0.31492523621686086
whole_count_ce,binary,1,1,23,train,92,0.9024922391124744,0.9174056517709852,0.9677913804590631,0.9868626054410369,0.9868626054410369,0.9172809223001139,1.7911886378481585,0.051585841163142326,10.88817894049274,0.1885970578085148,9.529379581400283,0.25794694155780923
whole_count_ce,binary,1,1,23,val,92,0.5334114959114961,0.4300685425685426,0.4827140452140452,0.5082130832130832,0.598989898989899,0.3945526695526695,1.3258713019050128,0.034520232691938886,9.135589500482837,0.1806184917619732,9.380505077107658,0.2528156932945476
whole_count_ce,binary,1,1,37,test,91,0.5358578921078921,0.5140165390165391,0.5112887112887112,0.5189005439005439,0.6659444721944722,0.3770417082917083,1.893638170974155,0.0429740648483453,11.910495361166335,0.22246196358995574,9.628893306825713,0.33994548758328286
whole_count_ce,binary,1,1,37,train,91,0.9183393370969152,0.911397359749094,0.9711300556727384,0.9901027190427856,0.996545584045584,0.8911103924045564,1.7313129113839247,0.049964157047275935,11.019503575795133,0.19745908568068962,9.44907632270923,0.2952451382087822
whole_count_ce,binary,1,1,37,val,91,0.4689874939874939,0.438035113035113,0.4668410293410294,0.4776575276575276,0.5624218374218374,0.35073352573352573,1.1507330348520761,0.03695540371758137,9.561495917829866,0.1941981378108735,8.941327948965558,0.28986315632901977
whole_count_ce,binary,1,1,53,test,97,0.5034416971916972,0.4804098679098679,0.5425900488400488,0.5659507159507159,0.6227515540015539,0.346972471972472,2.151921802518224,0.05132652874906422,10.53851888667992,0.2175950554265771,9.873647006847802,0.390570462478185
whole_count_ce,binary,1,1,53,train,97,0.9052825800066322,0.92475244803935,0.9760649017285609,0.9933404558404558,0.9983974358974358,0.9042472283355099,1.8928098882878055,0.058177424059335806,10.10885658298022,0.19194866553003603,9.723393683599355,0.33867155936548826
whole_count_ce,binary,1,1,53,val,97,0.4680375180375181,0.45027657527657533,0.41711159211159216,0.44122174122174124,0.5240921115921116,0.35321067821067825,1.3906592924238435,0.03979390816790423,8.199719076463875,0.19109540697246435,9.719486144031839,0.32177861996863566
whole_count_ce,binary,1,1,71,test,85,0.5038253413253413,0.5248529248529248,0.5337225274725274,0.5255154567654567,0.6322143134643133,0.39982794982794984,2.0438204108681246,0.04143437129703374,11.261472829688536,0.21168482121371143,9.279876297768942,0.3401708864735817
whole_count_ce,binary,1,1,71,train,85,0.8888222571347727,0.910548494270561,0.9676573302008004,0.9868928424995757,0.9901608163557848,0.927189379770077,1.8109434404676168,0.04898610762958956,10.49052874872293,0.1904025768225565,9.439339887562038,0.27124897418745303
whole_count_ce,binary,1,1,71,val,85,0.5125541125541125,0.5009319384319385,0.5276936026936028,0.5416185666185667,0.5834175084175084,0.35027056277056273,1.3299095777368097,0.03469589320419282,8.783249934158546,0.187945392269857,8.703947560939923,0.27445164311919445
