objective,candidate_variant,baseline_variant,seed,readout,delta_ba
whole_count_ce,multi_h,binary,11,output_whole_count,-0.02805042180042172
whole_count_ce,multi_h,binary,11,l1_whole_count_linear,0.0001422188922188261
whole_count_ce,multi_h,binary,11,l2_whole_count_linear,-0.027530108780108753
whole_count_ce,multi_h,binary,11,l2_fixed250_ordered_linear,-0.045274170274170245
whole_count_ce,multi_h,binary,11,l2_relative10_ordered_linear,-0.09832320457320454
whole_count_ce,multi_h,binary,11,l2_uend_linear,-0.051772533022532985
whole_count_ce,multi_h,binary,23,output_whole_count,0.010495754245754274
whole_count_ce,multi_h,binary,23,l1_whole_count_linear,-0.005207986457986369
whole_count_ce,multi_h,binary,23,l2_whole_count_linear,-0.032102619602619564
whole_count_ce,multi_h,binary,23,l2_fixed250_ordered_linear,-0.06728271728271723
whole_count_ce,multi_h,binary,23,l2_relative10_ordered_linear,-0.01073717948717956
whole_count_ce,multi_h,binary,23,l2_uend_linear,-0.15722055722055717
whole_count_ce,multi_h,binary,37,output_whole_count,-0.051572039072039166
whole_count_ce,multi_h,binary,37,l1_whole_count_linear,-0.02027625152625162
whole_count_ce,multi_h,binary,37,l2_whole_count_linear,0.021861471861471915
whole_count_ce,multi_h,binary,37,l2_fixed250_ordered_linear,0.001986208236208209
whole_count_ce,multi_h,binary,37,l2_relative10_ordered_linear,-0.008082889332889365
whole_count_ce,multi_h,binary,37,l2_uend_linear,-0.07797619047619053
whole_count_ce,multi_h,binary,53,output_whole_count,-0.03389943389943395
whole_count_ce,multi_h,binary,53,l1_whole_count_linear,-0.02204809079809078
whole_count_ce,multi_h,binary,53,l2_whole_count_linear,0.032580613830613836
whole_count_ce,multi_h,binary,53,l2_fixed250_ordered_linear,-0.06274766899766893
whole_count_ce,multi_h,binary,53,l2_relative10_ordered_linear,-0.04910298035298033
whole_count_ce,multi_h,binary,53,l2_uend_linear,-0.09291819291819292
whole_count_ce,multi_h,binary,71,output_whole_count,-0.020569708069708093
whole_count_ce,multi_h,binary,71,l1_whole_count_linear,-0.02836885336885331
whole_count_ce,multi_h,binary,71,l2_whole_count_linear,0.016069347319347393
whole_count_ce,multi_h,binary,71,l2_fixed250_ordered_linear,0.005043567543567495
whole_count_ce,multi_h,binary,71,l2_relative10_ordered_linear,0.012008824508824567
whole_count_ce,multi_h,binary,71,l2_uend_linear,-0.17281607281607286
whole_count_ce,multi_ho,binary,11,output_whole_count,0.0028658841158841764
whole_count_ce,multi_ho,binary,11,l1_whole_count_linear,0.12353896103896089
whole_count_ce,multi_ho,binary,11,l2_whole_count_linear,0.01905871905871903
