objective,variant,output_whole_count_ba_mean,output_whole_count_ba_std,output_whole_count_ba_count,l1_whole_count_linear_ba_mean,l1_whole_count_linear_ba_std,l1_whole_count_linear_ba_count,l2_whole_count_linear_ba_mean,l2_whole_count_linear_ba_std,l2_whole_count_linear_ba_count,l2_fixed250_ordered_linear_ba_mean,l2_fixed250_ordered_linear_ba_std,l2_fixed250_ordered_linear_ba_count,l2_relative10_ordered_linear_ba_mean,l2_relative10_ordered_linear_ba_std,l2_relative10_ordered_linear_ba_count,l2_uend_linear_ba_mean,l2_uend_linear_ba_std,l2_uend_linear_ba_count,l1_events_per_neuron_second_mean,l1_events_per_neuron_second_std,l1_events_per_neuron_second_count,l2_events_per_neuron_second_mean,l2_events_per_neuron_second_std,l2_events_per_neuron_second_count,output_events_per_neuron_second_mean,output_events_per_neuron_second_std,output_events_per_neuron_second_count,l1_tail_event_fraction_mean,l1_tail_event_fraction_std,l1_tail_event_fraction_count,l2_tail_event_fraction_mean,l2_tail_event_fraction_std,l2_tail_event_fraction_count,output_tail_event_fraction_mean,output_tail_event_fraction_std,output_tail_event_fraction_count
fixed250_bin_ce,binary,0.4495369907869907,0.02774303339589618,5,0.4913392163392164,0.03546266302785315,5,0.492244005994006,0.016701033628917318,5,0.47581446331446325,0.031364088822283184,5,0.5999159174159174,0.0203743355333186,5,0.3747463647463647,0.028266068009764625,5,1.4282223326706427,0.12005423286575713,5,8.252617627567925,0.544598247353341,5,6.708018555334658,0.1964150816552332,5,0.03583123214093529,0.003077686442894188,5,0.1758704627458509,0.014045099371958136,5,0.24139989558058605,0.04192204283684821,5
fixed250_bin_ce,multi_h,0.4292024642024642,0.021888329268362684,5,0.4316502941502941,0.04081681501847477,5,0.48479686979686976,0.033446335036080924,5,0.4613425463425463,0.022151618768139383,5,0.5975369075369075,0.02291342646980781,5,0.27887265512265513,0.015731826546563434,5,1.2058068257123922,0.15991746736279028,5,14.254224652087476,1.7260586368898365,5,5.271217141594875,0.5678391746539573,5,0.03820769945678537,0.004527997378558687,5,0.17462853659905195,0.017533546902536088,5,0.249628936701611,0.044603480212215406,5
fixed250_bin_ce,multi_ho,0.4953499278499279,0.0131391795602295,5,0.5146686646686647,0.02764104457940628,5,0.5498654123654123,0.039019386975684085,5,0.5349574037074036,0.03453044259530985,5,0.6533612221112222,0.015042725720393191,5,0.2056121656121656,0.05241739466260003,5,4.991020543406229,0.15277323815648367,5,166.82435387673956,10.788935175290092,5,330.4919814446654,21.666178517321697,5,0.05905723386640462,0.0011167852099286638,5,0.22054338724526007,0.00830659441771421,5,0.27269519242267853,0.023997565898574002,5
fixed500_bin_ce,binary,0.4430977355977356,0.021388015219690915,5,0.45334804084804087,0.014130571517038873,5,0.4906618381618381,0.024953143972335324,5,0.5211778499278499,0.035339200419043995,5,0.6153991841491842,0.004294044693087694,5,0.3780767843267843,0.019112825682584322,5,1.4573889993373095,0.09979196666623666,5,8.975811795891318,0.817624073387139,5,7.441307709299757,0.33539351603978007,5,0.03628726188953667,0.0038509218318035533,5,0.1811397101192603,0.013582202833415274,5,0.25940424544889973,0.034303034328428274,5
fixed500_bin_ce,multi_h,0.43404331779331773,0.06880792023713646,5,0.46368825618825615,0.052108728345440475,5,0.4784579309579309,0.0594810923702859,5,0.4664812964812965,0.03086806247753616,5,0.5945182595182594,0.015549672983517494,5,0.2818029193029193,0.017756252584555886,5,1.4535122597746852,0.1737497260172617,5,18.925339628893305,1.6052876954604196,5,6.907002429865253,0.3417921626372279,5,0.040227118910835837,0.0032319943094106084,5,0.1732997598860467,0.016061112723320878,5,0.2403034801451648,0.04876552362291915,5
fixed500_bin_ce,multi_ho,0.5058144633144632,0.02621960259305732,5,0.5460590798090798,0.014075992975891946,5,0.5698554223554223,0.016058784093632886,5,0.5454940892440893,0.02970513018353999,5,0.6743623043623044,0.02032805313186468,5,0.22142024642024644,0.021467794609638362,5,5.415192180251823,0.16535361515455557,5,200.7867627567926,14.712644205834009,5,360.8064501877623,12.798410462803881,5,0.05913029349363682,0.0017882836594944973,5,0.21833746959099032,0.009219479901354442,5,0.2753103907808489,0.03279300434534704,5
relative10_bin_ce,binary,0.458740564990565,0.030848443767223826,5,0.46981129981129977,0.024410564506144483,5,0.46402042402042404,0.052741903214411544,5,0.49550241425241426,0.014978639979150485,5,0.5972032134532135,0.027744784145294552,5,0.35430638805638803,0.04556150861060641,5,1.286514247846256,0.14030437027236353,5,7.2884940357852885,0.43713811155683563,5,5.834857521537442,0.41555826280765834,5,0.03331300737417658,0.0036194304522718405,5,0.1708987603391849,0.01036090357320106,5,0.23658834847987592,0.03702601111450599,5
relative10_bin_ce,multi_h,0.43369477744477736,0.01614988189109227,5,0.44288364413364406,0.0197768745956119,5,0.49906884781884775,0.04838156666583246,5,0.4683570596070596,0.042036400441120836,5,0.5742733655233655,0.022969462870163215,5,0.2972298534798535,0.07274754095720805,5,1.2291003976143142,0.12496525222534384,5,14.15068754141816,1.5585458746219412,5,4.6580075104926,0.4473613822134034,5,0.037071786035905725,0.0043929865231123215,5,0.17113069325827418,0.015539844476333406,5,0.25809924410702006,0.03196881514760534,5
relative10_bin_ce,multi_ho,0.49648393273393265,0.029790561621426064,5,0.5503588078588078,0.0423517497635728,5,0.5665030802530803,0.012933279013089603,5,0.5438912476412476,0.024640964059546838,5,0.6593835331335332,0.024541438162346864,5,0.22319638694638694,0.02026709642460147,5,4.96351888667992,0.16445376530253975,5,164.3397945659377,13.652422557354168,5,322.66949414623366,15.073510882549403,5,0.058991614789215496,0.0015524730075321706,5,0.2221454569889035,0.011443145229687738,5,0.2804371841383314,0.027333387295071312,5
timestep_ce,binary,0.3286675824175824,0.037192841700713006,5,0.41725066600066596,0.0592428595018258,5,0.40593850593850594,0.03689196785985694,5,0.3935148185148185,0.034864404080102995,5,0.47755799755799744,0.051950074404119466,5,0.3406109168609168,0.018635922250103097,5,0.70769549370444,0.1567124198713566,5,4.494640490390987,0.7767170504285601,5,1.502010161254694,0.252082380456141,5,0.024185372088706796,0.004807346231166263,5,0.14699327646985716,0.01734313759346049,5,0.1850307599343209,0.03660811438116588,5
