objective,variant,readout,mean,std,count
timestep_ce,binary,output_whole_count,-0.17643967143967143,0.06815651817916087,5
timestep_ce,multi_h,l1_whole_count_linear,-0.07263819513819514,0.04005889664682192,5
timestep_ce,multi_h,l2_fixed250_ordered_linear,-0.10210747585747582,0.03843991761250647,5
timestep_ce,multi_h,l2_relative10_ordered_linear,-0.12948717948717942,0.07357486660784911,5
timestep_ce,multi_h,l2_uend_linear,-0.006292318792318808,0.05969981146806011,5
timestep_ce,multi_h,l2_whole_count_linear,-0.11435675435675438,0.033949498236736105,5
timestep_ce,multi_h,output_whole_count,-0.1648647186147186,0.02886405404521413,5
timestep_ce,multi_ho,l1_whole_count_linear,-0.0183091908091908,0.03218622635225951,5
timestep_ce,multi_ho,l2_fixed250_ordered_linear,0.0019816294816294767,0.048656617061217246,5
timestep_ce,multi_ho,l2_relative10_ordered_linear,-0.011958041958041931,0.027820418870536257,5
timestep_ce,multi_ho,l2_uend_linear,-0.004163475413475426,0.01900952246405857,5
timestep_ce,multi_ho,l2_whole_count_linear,0.006920579420579442,0.031938800289351504,5
timestep_ce,multi_ho,output_whole_count,-0.030113913863913887,0.03616414769219626,5
