epoch,architecture,objective,train_regime,mean_train_objective_loss,sd_train_objective_loss,n_splits
1,1h1024,timestep_ce,trainable_dynamics,2.4849125055461836,9.738816577188844e-06,3
1,1h1024,timestep_ce,weight_only,2.4849125055461836,9.738816577188844e-06,3
1,1h1024,whole_count_ce,trainable_dynamics,2.4849967876267356,0.0001560823648100733,3
1,1h1024,whole_count_ce,weight_only,2.4849967876267356,0.0001560823648100733,3
1,1h128,timestep_ce,trainable_dynamics,2.484906874693385,2.247273784284244e-08,3
1,1h128,timestep_ce,weight_only,2.484906874693385,2.247273784284244e-08,3
1,1h128,whole_count_ce,trainable_dynamics,2.4849066734313965,0.0,3
1,1h128,whole_count_ce,weight_only,2.4849066734313965,0.0,3
1,1h256,timestep_ce,trainable_dynamics,2.484906874693385,2.247273784284244e-08,3
1,1h256,timestep_ce,weight_only,2.484906874693385,2.247273784284244e-08,3
1,1h256,whole_count_ce,trainable_dynamics,2.4849066734313965,0.0,3
1,1h256,whole_count_ce,weight_only,2.4849066734313965,0.0,3
1,1h512,timestep_ce,trainable_dynamics,2.484912718031195,1.011290183403044e-05,3
1,1h512,timestep_ce,weight_only,2.484912718031195,1.011290183403044e-05,3
1,1h512,whole_count_ce,trainable_dynamics,2.485000188162408,0.00016197226536893554,3
1,1h512,whole_count_ce,weight_only,2.485000188162408,0.00016197226536893554,3
1,2h128,timestep_ce,trainable_dynamics,2.484906874693385,2.247273784284244e-08,3
1,2h128,timestep_ce,weight_only,2.484906874693385,2.247273784284244e-08,3
1,2h128,whole_count_ce,trainable_dynamics,2.4849066734313965,0.0,3
1,2h128,whole_count_ce,weight_only,2.4849066734313965,0.0,3
2,1h1024,timestep_ce,trainable_dynamics,2.484238817518499,0.0006813354285094256,3
2,1h1024,timestep_ce,weight_only,2.484433101268954,0.0005902490206914079,3
2,1h1024,whole_count_ce,trainable_dynamics,2.47440650465196,0.0050752166697403955,3
2,1h1024,whole_count_ce,weight_only,2.4774333627567366,0.007620563426664657,3
2,1h128,timestep_ce,trainable_dynamics,2.4848753912390493,5.454506755662046e-05,3
2,1h128,timestep_ce,weight_only,2.4848753912390493,5.454506755662046e-05,3
2,1h128,whole_count_ce,trainable_dynamics,2.4844028559598055,0.0008726374585361913,3
2,1h128,whole_count_ce,weight_only,2.4844028559598055,0.0008726374585361913,3
2,1h256,timestep_ce,trainable_dynamics,2.484655653091546,0.00014403932490112924,3
2,1h256,timestep_ce,weight_only,2.4847634941143344,0.0001377164342270803,3
