run_key,split_seed,architecture,objective,train_regime,best_epoch,model_seed,sample_hash,trainable_parameters,history_file,train_loss,train_balanced_accuracy,train_accuracy,train_macro_f1,train_output_firing_rate,train_hidden1_firing_rate,val_loss,val_balanced_accuracy,val_accuracy,val_macro_f1,val_output_firing_rate,val_hidden1_firing_rate,test_loss,test_balanced_accuracy,test_accuracy,test_macro_f1,test_output_firing_rate,test_hidden1_firing_rate,hidden_1_tau_syn_ms_mean,hidden_1_tau_syn_ms_std,hidden_1_tau_mem_ms_mean,hidden_1_tau_mem_ms_std,hidden_1_threshold_mean,hidden_1_threshold_std,train_hidden2_firing_rate,val_hidden2_firing_rate,test_hidden2_firing_rate,hidden_2_tau_syn_ms_mean,hidden_2_tau_syn_ms_std,hidden_2_tau_mem_ms_mean,hidden_2_tau_mem_ms_std,hidden_2_threshold_mean,hidden_2_threshold_std,baseline_test_ba,delta_vs_fixed250_linear
split11__1h1024__timestep_ce__trainable_dynamics,11,1h1024,timestep_ce,trainable_dynamics,26,4247567133,fd3786ff7fca359f06912c9a8ffb3cb84f82534fdade3b9e9e33e91c66dd8338,506883,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v1/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split11__1h1024__timestep_ce__trainable_dynamics.csv,1.889042845811984,0.9502760442077304,0.9517819706498952,0.9503747430190642,0.0719230433263452,0.04659746278007076,2.270207552682786,0.4768467643467644,0.4880952380952381,0.4691158379311884,0.06761532738095238,0.032222202845982144,2.156466850867638,0.6323393246187364,0.6394230769230769,0.635318340246771,0.06522936698717949,0.05015006432166466,351749.4507076774,2315192.8057042966,24.91145713896577,1.3756156617794941,0.4925746052758768,0.03301760098189901,,,,,,,,,,0.683183551198257,-0.05084422657952059
split11__1h1024__whole_count_ce__trainable_dynamics,11,1h1024,whole_count_ce,trainable_dynamics,22,4247567133,fd3786ff7fca359f06912c9a8ffb3cb84f82534fdade3b9e9e33e91c66dd8338,506883,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v1/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split11__1h1024__whole_count_ce__trainable_dynamics.csv,0.09944472830562971,0.9667156244917874,0.9685534591194969,0.967969584713147,0.057346261355695316,0.02222114738928197,2.507509628931681,0.45647130647130646,0.4583333333333333,0.4556741784184313,0.04485987103174603,0.014613196963355654,1.5029516036693866,0.6380038126361657,0.6442307692307693,0.6313478934622619,0.05521334134615385,0.024488008939302884,63811.1518013499,977484.9315424097,23.939111987020187,1.1345573262314403,0.4907211452664342,0.020524922385896135,,,,,,,,,,0.683183551198257,-0.04517973856209134
split11__1h1024__timestep_ce__weight_only,11,1h1024,timestep_ce,weight_only,51,4247567133,fd3786ff7fca359f06912c9a8ffb3cb84f82534fdade3b9e9e33e91c66dd8338,503808,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v1/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split11__1h1024__timestep_ce__weight_only.csv,1.810088827425079,0.9827929338103757,0.9832285115303984,0.9832989015144454,0.07160639412997903,0.05068669029251834,2.255052089691162,0.49163995726495724,0.5059523809523809,0.49088944125467,0.06882440476190477,0.034557524181547616,2.120206594467163,0.6843818082788671,0.6923076923076923,0.6868237023261367,0.06705729166666667,0.054058074951171875,137.72865471879754,78.06801392331141,22.000000120771308,7.105427357601002e-15,0.5,0.0,,,,,,,,,,0.683183551198257,0.0011982570806100545
split11__1h1024__whole_count_ce__weight_only,11,1h1024,whole_count_ce,weight_only,133,4247567133,fd3786ff7fca359f06912c9a8ffb3cb84f82534fdade3b9e9e33e91c66dd8338,503808,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v1/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split11__1h1024__whole_count_ce__weight_only.csv,0.000878487868489311,1.0,1.0,1.0,0.06388670510132774,0.03173764146848795,2.6176326161339167,0.49053724053724057,0.49404761904761907,0.4848605960969163,0.055679563492063495,0.020999363490513394,1.4991791798518255,0.6764365468409587,0.6826923076923077,0.6770599747390468,0.06352664262820513,0.03536018958458534,137.72865471879754,78.06801392331141,22.000000120771308,7.105427357601002e-15,0.5,0.0,,,,,,,,,,0.683183551198257,-0.0067470043572983585
split11__1h128__timestep_ce__trainable_dynamics,11,1h128,timestep_ce,trainable_dynamics,57,2715002774,fd3786ff7fca359f06912c9a8ffb3cb84f82534fdade3b9e9e33e91c66dd8338,63363,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v1/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split11__1h128__timestep_ce__trainable_dynamics.csv,1.8015581044510975,0.977147198731501,0.9769392033542977,0.9771757755325599,0.07388845213137665,0.16808646979821804,2.2619391736530123,0.4529990842490843,0.4642857142857143,0.44326371518556273,0.07155257936507936,0.12679617745535715,2.1724697809952955,0.5616830065359478,0.5673076923076923,0.5589499791506398,0.06545472756410256,0.18028846153846154,2075559.9858203968,5302541.433666182,27.499714488634574,3.002592951738358,0.4505919422954321,0.04351614582843487,,,,,,,,,,0.683183551198257,-0.1215005446623092
split11__1h128__whole_count_ce__trainable_dynamics,11,1h128,whole_count_ce,trainable_dynamics,58,2715002774,fd3786ff7fca359f06912c9a8ffb3cb84f82534fdade3b9e9e33e91c66dd8338,63363,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v1/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split11__1h128__whole_count_ce__trainable_dynamics.csv,0.011763953953294133,0.998062015503876,0.9979035639412998,0.9979084967320261,0.06099318658280922,0.08150407003406708,2.6603886513482955,0.4898771367521367,0.49404761904761907,0.4875062060085043,0.04898313492063492,0.0562744140625,1.9966337589117198,0.5915917755991286,0.6009615384615384,0.5873361161881067,0.05636518429487179,0.09226168118990384,1099197.06257227,3994732.9186145402,25.67009061015382,2.1052976321543397,0.46950200921855867,0.026568562961324985,,,,,,,,,,0.683183551198257,-0.09159177559912846
split11__1h128__timestep_ce__weight_only,11,1h128,timestep_ce,weight_only,58,2715002774,fd3786ff7fca359f06912c9a8ffb3cb84f82534fdade3b9e9e33e91c66dd8338,62976,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v1/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split11__1h128__timestep_ce__weight_only.csv,1.8381135531191557,0.9628710799859056,0.9622641509433962,0.9628594622473283,0.07708770090845563,0.13760523126310273,2.2634454795292447,0.4601419413919414,0.48214285714285715,0.4548416029402292,0.06656125992063493,0.09897867838541667,2.13385088627155,0.6476919934640523,0.6538461538461539,0.6479375440057241,0.07206530448717949,0.1483154296875,137.9726672773325,78.34517436230969,22.000000120771308,7.105427357601002e-15,0.5,0.0,,,,,,,,,,0.683183551198257,-0.03549155773420476
split11__1h128__whole_count_ce__weight_only,11,1h128,whole_count_ce,weight_only,195,2715002774,fd3786ff7fca359f06912c9a8ffb3cb84f82534fdade3b9e9e33e91c66dd8338,62976,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v1/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split11__1h128__whole_count_ce__weight_only.csv,0.0013507313635131926,1.0,1.0,1.0,0.06800314465408805,0.09393425707547169,2.570922647203718,0.453926282051282,0.4583333333333333,0.44555298451703584,0.055834573412698416,0.0643949962797619,1.6956664415506215,0.6304057734204794,0.6346153846153846,0.6309773215578448,0.06475360576923077,0.10568002554086539,137.9726672773325,78.34517436230969,22.000000120771308,7.105427357601002e-15,0.5,0.0,,,,,,,,,,0.683183551198257,-0.05277777777777759
split11__1h256__timestep_ce__trainable_dynamics,11,1h256,timestep_ce,trainable_dynamics,26,2152961924,fd3786ff7fca359f06912c9a8ffb3cb84f82534fdade3b9e9e33e91c66dd8338,126723,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v1/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split11__1h256__timestep_ce__trainable_dynamics.csv,1.9014218470835336,0.9522412584185841,0.9517819706498952,0.9528845082322842,0.0777646750524109,0.09515905480214884,2.2746770154862177,0.4706807081807081,0.48214285714285715,0.471582801296222,0.07279265873015874,0.06839134579613096,2.1482647198897142,0.624005991285403,0.6346153846153846,0.6242276055789141,0.07116386217948718,0.10134066068209134,672136.4824841593,3168383.7523125117,25.60278092398996,1.6513726964507538,0.47653786034788936,0.033055709455179376,,,,,,,,,,0.683183551198257,-0.059177559912854005
split11__1h256__whole_count_ce__trainable_dynamics,11,1h256,whole_count_ce,trainable_dynamics,27,2152961924,fd3786ff7fca359f06912c9a8ffb3cb84f82534fdade3b9e9e33e91c66dd8338,126723,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v1/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split11__1h256__whole_count_ce__trainable_dynamics.csv,0.05376471304168741,0.9906902206320812,0.9916142557651991,0.9913074886852152,0.06280573025856044,0.050873378537735846,2.476258981795538,0.45486874236874236,0.4583333333333333,0.46242260656157536,0.053168402777777776,0.034306117466517856,1.5133736867171068,0.6395152505446623,0.6442307692307693,0.6336885459964047,0.058919270833333336,0.05634014423076923,488578.7140768429,2718580.1626513866,24.826097998333463,1.4746793345049902,0.48001251299865544,0.023279201215574887,,,,,,,,,,0.683183551198257,-0.04366830065359473
split11__1h256__timestep_ce__weight_only,11,1h256,timestep_ce,weight_only,140,2152961924,fd3786ff7fca359f06912c9a8ffb3cb84f82534fdade3b9e9e33e91c66dd8338,125952,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v1/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split11__1h256__timestep_ce__weight_only.csv,1.7358760311418608,0.9961240310077519,0.9958071278825996,0.9958228905597327,0.07341893780573026,0.12417647323768344,2.242606072198777,0.4996871184371184,0.5119047619047619,0.49271389221892803,0.07276165674603174,0.09099033900669642,2.111110210418701,0.6737745098039216,0.6778846153846154,0.668092149151765,0.06795873397435898,0.12907879169170672,137.4840352904058,78.08384707015787,22.000000120771308,7.105427357601002e-15,0.5,0.0,,,,,,,,,,0.683183551198257,-0.009409041394335405
split11__1h256__whole_count_ce__weight_only,11,1h256,whole_count_ce,weight_only,32,2152961924,fd3786ff7fca359f06912c9a8ffb3cb84f82534fdade3b9e9e33e91c66dd8338,125952,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v1/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split11__1h256__whole_count_ce__weight_only.csv,0.10293381935301817,0.9713082782850225,0.9706498951781971,0.9722632600830763,0.0692479035639413,0.05348215163128931,2.2729684511820474,0.4671474358974359,0.47023809523809523,0.46711917229740973,0.05447048611111111,0.03539893740699405,1.2794706454643836,0.6670275054466231,0.6682692307692307,0.6585459076488763,0.06750801282051282,0.060015164888822116,137.4840352904058,78.08384707015787,22.000000120771308,7.105427357601002e-15,0.5,0.0,,,,,,,,,,0.683183551198257,-0.016156045751633874
split11__1h512__timestep_ce__trainable_dynamics,11,1h512,timestep_ce,trainable_dynamics,26,267501082,fd3786ff7fca359f06912c9a8ffb3cb84f82534fdade3b9e9e33e91c66dd8338,253443,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v1/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split11__1h512__timestep_ce__trainable_dynamics.csv,1.8929553119391516,0.9245653705319404,0.9245283018867925,0.9255272138707308,0.07587569881201957,0.07561603282232704,2.2669507889520553,0.4723939255189255,0.4880952380952381,0.4659858781569308,0.07452876984126984,0.05401538667224702,2.142162506396954,0.6179874727668845,0.625,0.6182120295077612,0.0723407451923077,0.07987506573016827,641262.3638405359,3098766.5586989443,25.319994183333954,1.4572690611662296,0.4833598962286487,0.03533752505336705,,,,,,,,,,0.683183551198257,-0.06519607843137254
split11__1h512__whole_count_ce__trainable_dynamics,11,1h512,whole_count_ce,trainable_dynamics,40,267501082,fd3786ff7fca359f06912c9a8ffb3cb84f82534fdade3b9e9e33e91c66dd8338,253443,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v1/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split11__1h512__whole_count_ce__trainable_dynamics.csv,0.004585617104744386,1.0,1.0,1.0,0.05915880503144654,0.03942845502489518,2.3599916866847446,0.5035943223443223,0.5178571428571429,0.5012907375979526,0.04923115079365079,0.026888166155133928,1.6252948137430043,0.6457924836601308,0.6490384615384616,0.6431753871853858,0.053610777243589744,0.04326629638671875,488853.2569993276,2718534.967750097,24.55054824159854,1.4934997377634853,0.48600763466674834,0.02385796112790558,,,,,,,,,,0.683183551198257,-0.037391067538126266
split11__1h512__timestep_ce__weight_only,11,1h512,timestep_ce,weight_only,77,267501082,fd3786ff7fca359f06912c9a8ffb3cb84f82534fdade3b9e9e33e91c66dd8338,251904,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v1/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split11__1h512__timestep_ce__weight_only.csv,1.7719721741646342,0.9901647286821705,0.989517819706499,0.9897408179105606,0.07158455625436758,0.08322431456367925,2.250020072573707,0.5065209096459097,0.5178571428571429,0.5057075316256919,0.06498015873015874,0.05873180571056548,2.1182648768791785,0.6950708061002179,0.7019230769230769,0.6976854978092416,0.06402744391025642,0.08744577261117789,137.85081271552923,78.13334495825966,22.000000120771308,7.105427357601002e-15,0.5,0.0,,,,,,,,,,0.683183551198257,0.011887254901960853
split11__1h512__whole_count_ce__weight_only,11,1h512,whole_count_ce,weight_only,38,267501082,fd3786ff7fca359f06912c9a8ffb3cb84f82534fdade3b9e9e33e91c66dd8338,251904,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v1/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split11__1h512__whole_count_ce__weight_only.csv,0.02181157803229316,0.998062015503876,0.9979035639412998,0.998061753437007,0.07128974493361286,0.03929640412080713,2.3990684350331626,0.48097527472527474,0.48214285714285715,0.48022149484582055,0.06094990079365079,0.026091076078869048,1.3654042940873365,0.6865876906318084,0.6875,0.6757581930204118,0.07294170673076923,0.04360668475811298,137.85081271552923,78.13334495825966,22.000000120771308,7.105427357601002e-15,0.5,0.0,,,,,,,,,,0.683183551198257,0.003404139433551334
split11__2h128__timestep_ce__trainable_dynamics,11,2h128,timestep_ce,trainable_dynamics,177,2564229023,fd3786ff7fca359f06912c9a8ffb3cb84f82534fdade3b9e9e33e91c66dd8338,80131,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v1/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split11__2h128__timestep_ce__trainable_dynamics.csv,1.7568947426677999,0.980503201578783,0.9832285115303984,0.9813495339629855,0.07475104821802935,0.15285250425838576,2.280373289471581,0.40612408424908425,0.4107142857142857,0.40850604902001536,0.06535218253968254,0.1170073009672619,2.186355554140531,0.5156522331154685,0.5144230769230769,0.5146900136277749,0.06460336538461539,0.16325965294471154,2441687.0291690184,5673191.281480558,27.245492215001867,3.3388973839409575,0.44287971477024257,0.05858593151971909,0.2901240254848008,0.25881231398809523,0.2871586726262019,856608.5230665246,3552192.6691899756,25.190979775818533,2.297447376857918,0.48126488795969635,0.10179886962687602,0.683183551198257,-0.16753131808278854
split11__2h128__whole_count_ce__trainable_dynamics,11,2h128,whole_count_ce,trainable_dynamics,80,2564229023,fd3786ff7fca359f06912c9a8ffb3cb84f82534fdade3b9e9e33e91c66dd8338,80131,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v1/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split11__2h128__whole_count_ce__trainable_dynamics.csv,0.015423906980711085,1.0,1.0,1.0,0.05580669112508735,0.05791916437368973,2.7377122243245444,0.4289262820512821,0.44642857142857145,0.42124079278580223,0.04194568452380952,0.040149507068452384,1.6680139211507945,0.6549496187363835,0.6538461538461539,0.6496161142153162,0.05901943108974359,0.06323476938100961,732736.5382639399,3302601.7417557044,24.86578768054136,1.7335452484915714,0.4747527346480638,0.022012920700870228,0.12315640559486374,0.0872221447172619,0.12927950345552885,244315.67905011558,1937783.102288676,23.113268479545788,1.645575512748613,0.4955254206433892,0.035185803325398016,0.683183551198257,-0.028233932461873557
