architecture,objective,layer,mean_tau_syn_ms,sd_tau_syn_ms,mean_tau_mem_ms,sd_tau_mem_ms,mean_threshold,sd_threshold
1h1024,timestep_ce,hidden_1,570248.3807460236,193015.90963993472,25.13179619067264,0.22366565712369652,0.4936767901235726,0.001138589441743799
1h1024,whole_count_ce,hidden_1,133419.51214936734,109601.93268633613,24.01696079007822,0.12050453031378888,0.49053931243057985,0.0001772315139567696
1h128,timestep_ce,hidden_1,2035084.0427251558,70612.0839854797,27.39517344318523,0.1981685101641573,0.4581166544618706,0.006740747300523867
1h128,whole_count_ce,hidden_1,1261859.4636253251,186300.7811621385,26.056698932861007,0.3575717213718822,0.47099348351669806,0.0012917586072564075
1h256,timestep_ce,hidden_1,1078825.5021983325,428508.41867795464,26.09618858574558,0.5790930594971853,0.47503102691068005,0.002314323392541661
1h256,whole_count_ce,hidden_1,1017883.3043773174,474396.69308542553,25.517896667654508,0.6062441460991856,0.47919086770464975,0.002072357609434115
1h512,timestep_ce,hidden_1,946699.8000226408,554971.188732549,25.648534386446716,0.5888694747814112,0.4828838098522586,0.0007709821804594819
1h512,whole_count_ce,hidden_1,712539.3654111257,288378.9959700693,24.789826004999597,0.48536126303354193,0.4845929827812749,0.0014148373521326398
2h128,timestep_ce,hidden_1,1790665.1601279725,563801.4778654156,26.682073913121755,0.4962440477106637,0.45475289536019164,0.011049894955130804
2h128,timestep_ce,hidden_2,692596.4439290888,187272.34655353436,24.75937136583109,0.39701689852124283,0.4874092867830768,0.006835325495783218
2h128,whole_count_ce,hidden_1,854847.5685171904,211461.6317967089,25.381601466029064,0.49756173937392506,0.4742343989976992,0.0019872246929996396
2h128,whole_count_ce,hidden_2,122267.01385733018,122047.96723465661,23.285789973908383,0.19402013650355662,0.49352331762202084,0.004188716257012628
