split_seed,architecture,train_regime,timestep_ce,whole_count_ce,delta_ba
11,1h1024,trainable_dynamics,0.6323393246187364,0.6380038126361657,0.005664488017429248
11,1h1024,weight_only,0.6843818082788671,0.6764365468409587,-0.007945261437908413
11,1h128,trainable_dynamics,0.5616830065359478,0.5915917755991286,0.02990876906318074
11,1h128,weight_only,0.6476919934640523,0.6304057734204794,-0.01728622004357283
11,1h256,trainable_dynamics,0.624005991285403,0.6395152505446623,0.015509259259259278
11,1h256,weight_only,0.6737745098039216,0.6670275054466231,-0.0067470043572984695
11,1h512,trainable_dynamics,0.6179874727668845,0.6457924836601308,0.027805010893246274
11,1h512,weight_only,0.6950708061002179,0.6865876906318084,-0.008483115468409519
11,2h128,trainable_dynamics,0.5156522331154685,0.6549496187363835,0.13929738562091498
11,2h128,weight_only,0.588160403050109,0.6520084422657951,0.06384803921568616
23,1h1024,trainable_dynamics,0.5097834967320262,0.4883802131963897,-0.021403283535636475
23,1h1024,weight_only,0.5162426081543728,0.4946555010893246,-0.02158710706504824
23,1h128,trainable_dynamics,0.49958274976657324,0.4962097338935573,-0.0033730158730159165
23,1h128,weight_only,0.5130339635854342,0.4941604419545596,-0.01887352163087458
23,1h256,trainable_dynamics,0.49178532524120766,0.491532446311858,-0.0002528789293496647
23,1h256,weight_only,0.5194969654528477,0.4795955882352941,-0.03990137721755366
23,1h512,trainable_dynamics,0.5226988017429194,0.5218954248366013,-0.0008033769063180429
23,1h512,weight_only,0.5454656862745096,0.5698850373482726,0.024419351073762918
23,2h128,trainable_dynamics,0.4399383364456894,0.4545712729536259,0.014632936507936511
23,2h128,weight_only,0.4656872471210706,0.42974634298163705,-0.03594090413943357
101,1h1024,trainable_dynamics,0.5461233211233211,0.5977106227106227,0.051587301587301626
101,1h1024,weight_only,0.6049755799755799,0.5795558608058607,-0.02541971916971919
101,1h128,trainable_dynamics,0.5111416361416361,0.5267170329670329,0.01557539682539677
101,1h128,weight_only,0.5845924908424908,0.565369352869353,-0.019223137973137794
101,1h256,trainable_dynamics,0.5623321123321123,0.5413614163614163,-0.020970695970696007
101,1h256,weight_only,0.589514652014652,0.5299908424908425,-0.059523809523809534
101,1h512,trainable_dynamics,0.5187194749694749,0.5870573870573871,0.06833791208791218
101,1h512,weight_only,0.5715964590964591,0.5951312576312576,0.023534798534798562
101,2h128,trainable_dynamics,0.551717032967033,0.5160027472527472,-0.03571428571428581
101,2h128,weight_only,0.538682844932845,0.5413003663003663,0.002617521367521247
