split_seed,architecture,objective,trainable_dynamics,weight_only,delta_ba
11,1h1024,timestep_ce,0.6323393246187364,0.6843818082788671,-0.052042483660130645
11,1h1024,whole_count_ce,0.6380038126361657,0.6764365468409587,-0.038432734204792984
11,1h128,timestep_ce,0.5616830065359478,0.6476919934640523,-0.08600898692810444
11,1h128,whole_count_ce,0.5915917755991286,0.6304057734204794,-0.038813997821350865
11,1h256,timestep_ce,0.624005991285403,0.6737745098039216,-0.0497685185185186
11,1h256,whole_count_ce,0.6395152505446623,0.6670275054466231,-0.027512254901960853
11,1h512,timestep_ce,0.6179874727668845,0.6950708061002179,-0.07708333333333339
11,1h512,whole_count_ce,0.6457924836601308,0.6865876906318084,-0.0407952069716776
11,2h128,timestep_ce,0.5156522331154685,0.588160403050109,-0.07250816993464049
11,2h128,whole_count_ce,0.6549496187363835,0.6520084422657951,0.002941176470588336
23,1h1024,timestep_ce,0.5097834967320262,0.5162426081543728,-0.006459111422346675
23,1h1024,whole_count_ce,0.4883802131963897,0.4946555010893246,-0.006275287892934911
23,1h128,timestep_ce,0.49958274976657324,0.5130339635854342,-0.013451213818860941
23,1h128,whole_count_ce,0.4962097338935573,0.4941604419545596,0.0020492919389977216
23,1h256,timestep_ce,0.49178532524120766,0.5194969654528477,-0.027711640211640076
23,1h256,whole_count_ce,0.491532446311858,0.4795955882352941,0.011936858076563917
23,1h512,timestep_ce,0.5226988017429194,0.5454656862745096,-0.02276688453159026
23,1h512,whole_count_ce,0.5218954248366013,0.5698850373482726,-0.04798961251167122
23,2h128,timestep_ce,0.4399383364456894,0.4656872471210706,-0.02574891067538121
23,2h128,whole_count_ce,0.4545712729536259,0.42974634298163705,0.024824929971988874
101,1h1024,timestep_ce,0.5461233211233211,0.6049755799755799,-0.058852258852258865
101,1h1024,whole_count_ce,0.5977106227106227,0.5795558608058607,0.01815476190476195
101,1h128,timestep_ce,0.5111416361416361,0.5845924908424908,-0.07345085470085466
101,1h128,whole_count_ce,0.5267170329670329,0.565369352869353,-0.0386523199023201
101,1h256,timestep_ce,0.5623321123321123,0.589514652014652,-0.027182539682539697
101,1h256,whole_count_ce,0.5413614163614163,0.5299908424908425,0.01137057387057383
101,1h512,timestep_ce,0.5187194749694749,0.5715964590964591,-0.05287698412698416
101,1h512,whole_count_ce,0.5870573870573871,0.5951312576312576,-0.008073870573870545
101,2h128,timestep_ce,0.551717032967033,0.538682844932845,0.013034188034187988
101,2h128,whole_count_ce,0.5160027472527472,0.5413003663003663,-0.02529761904761907
