architecture,train_regime,objective,n_splits,mean_val_ba,sd_val_ba,mean_test_ba,sd_test_ba,mean_test_accuracy,sd_test_accuracy,mean_test_macro_f1,sd_test_macro_f1,mean_best_epoch
1h1024,trainable_dynamics,timestep_ce,3,0.5778550538967205,0.08811962246601962,0.5627487141580279,0.0629466878192816,0.5685757696270968,0.06184038875604581,0.5581990202388656,0.07051621623381933,27.333333333333332
1h1024,trainable_dynamics,whole_count_ce,3,0.5439852517671144,0.07615438726754857,0.5746982161810593,0.07742082095948126,0.5773204294550633,0.0710074621102101,0.5708272442581384,0.06293782286095585,22.0
1h1024,weight_only,timestep_ce,3,0.5942365504865504,0.0891302432750736,0.6018666654696067,0.08411270217202789,0.6090515745136788,0.08074659992787467,0.6025288740545063,0.08260960563861146,71.0
1h1024,weight_only,whole_count_ce,3,0.5589419227286875,0.06286239138961557,0.583549302912048,0.09095629628305577,0.5838516340994755,0.09124733434339599,0.5832326437127556,0.08728764329939138,106.66666666666667
1h128,trainable_dynamics,timestep_ce,3,0.5236320052496523,0.06826247091676195,0.5241357974813857,0.03302645370605431,0.5281922133936844,0.03431695848956546,0.5249992863629737,0.02997182032456119,48.333333333333336
1h128,trainable_dynamics,whole_count_ce,3,0.5706664681542132,0.07134356844142331,0.5381728474865729,0.04871201324838063,0.543816231116359,0.04995006497048515,0.5377142711593058,0.04393231150052541,99.0
1h128,weight_only,timestep_ce,3,0.5963125608958942,0.1179862509398013,0.5817728159639924,0.06737328237152343,0.5838656422282901,0.06498410766628326,0.5816621223953719,0.06423404815755533,135.33333333333334
1h128,weight_only,whole_count_ce,3,0.5627702204295342,0.09539778455844672,0.563311856081464,0.06814596507746239,0.5676127961865091,0.06343707198097699,0.5645845953794053,0.06257847102749453,178.66666666666666
1h256,trainable_dynamics,timestep_ce,3,0.5684277822758214,0.08977052994641908,0.559374476286241,0.06615993380080981,0.571592471416584,0.06043729856449691,0.5594273801936765,0.0658008016667069,30.666666666666668
1h256,trainable_dynamics,whole_count_ce,3,0.5581460523862485,0.08944101614821777,0.5574697044059789,0.07529498851149433,0.5586657018140869,0.07642660427243636,0.5525546843771746,0.07294421408466706,128.66666666666666
1h256,weight_only,timestep_ce,3,0.6038048053979427,0.090438152461972,0.5942620424238071,0.07724825861805618,0.5977413771425604,0.07249802607431582,0.5895871990700284,0.07275526240603701,86.0
1h256,weight_only,whole_count_ce,3,0.5498398977565644,0.07269035442459644,0.5588713120575866,0.09699609290675246,0.5629120439841578,0.09443729303924656,0.5574739881634583,0.0904669737889838,78.0
1h512,trainable_dynamics,timestep_ce,3,0.5637460646651823,0.08070296767979288,0.5531352498264263,0.056198904576794335,0.5652249227161283,0.052242636995283705,0.5542482874834378,0.05545489689425561,31.333333333333332
1h512,trainable_dynamics,whole_count_ce,3,0.5809020341495832,0.06722209695278018,0.5849150985180397,0.06197630471736467,0.5881259925271758,0.056758316293898534,0.5839965652851953,0.056488428628669936,85.0
1h512,weight_only,timestep_ce,3,0.609736720704858,0.09017059786209299,0.6040443171570622,0.07990663670219712,0.6069978461647793,0.08220793774812629,0.6018747002670805,0.08310977639294079,78.33333333333333
1h512,weight_only,whole_count_ce,3,0.5658659582066444,0.07439380878102134,0.6172013285371128,0.061401900159493435,0.6181088547773869,0.060113022459404246,0.6089116075934873,0.05803544720251854,119.0
2h128,trainable_dynamics,timestep_ce,3,0.5109699917910703,0.09081654434387335,0.502435867509397,0.057049307523209,0.5024269937325582,0.04564942382872859,0.5008455718405426,0.048856640245551905,111.0
2h128,trainable_dynamics,whole_count_ce,3,0.5031187607780745,0.06448222055234189,0.5418412129809188,0.1026576353616623,0.5442820868148658,0.09844222013726138,0.5435365830779286,0.09410896688971994,123.0
2h128,weight_only,timestep_ce,3,0.5425986323045147,0.10761877431039267,0.5308434983680083,0.061611768329819495,0.536777146386996,0.05562543982753072,0.5222333712230675,0.05741646544849805,122.0
2h128,weight_only,whole_count_ce,3,0.5284367389146801,0.09413573595750109,0.5410183838492661,0.1111313179537041,0.5446410024080315,0.10933489856082275,0.5431414006693125,0.10572027527852404,94.66666666666667
