memory_mode,objective,seed,tau_profile_ms,best_epoch,native_train_accuracy,native_train_balanced_accuracy,native_train_macro_f1,native_train_loss,native_train_endpoint_loss,native_train_aux_loss,native_train_hidden_events_per_neuron_second,native_train_hidden_tail_event_fraction,native_train_hidden_tail_events_per_neuron_second,native_train_endpoint_membrane_l2_mean,native_val_accuracy,native_val_balanced_accuracy,native_val_macro_f1,native_val_loss,native_val_endpoint_loss,native_val_aux_loss,native_val_hidden_events_per_neuron_second,native_val_hidden_tail_event_fraction,native_val_hidden_tail_events_per_neuron_second,native_val_endpoint_membrane_l2_mean,native_test_accuracy,native_test_balanced_accuracy,native_test_macro_f1,native_test_loss,native_test_endpoint_loss,native_test_aux_loss,native_test_hidden_events_per_neuron_second,native_test_hidden_tail_event_fraction,native_test_hidden_tail_events_per_neuron_second,native_test_endpoint_membrane_l2_mean,hidden_whole_count_val_ba,hidden_whole_count_test_ba,hidden_whole_count_C,hidden_fixed250_ordered_val_ba,hidden_fixed250_ordered_test_ba,hidden_fixed250_ordered_C,hidden_relative10_ordered_val_ba,hidden_relative10_ordered_test_ba,hidden_relative10_ordered_C,hidden_uend_val_ba,hidden_uend_test_ba,hidden_uend_C
single_shift7,endpoint_ce,11,1992.177,18,0.9036144578313253,0.9032366740061818,0.9023293508217868,0.3130619212754212,0.3130619212754212,,9.405011137722544,0.030993639410118273,0.24151516781411358,111.40059232465576,0.5873015873015873,0.5785774410774411,0.5782896667553604,1.425623893737793,1.425623893737793,,8.22092002458081,0.029857085877971333,0.1786954365079365,93.482421875,0.5342465753424658,0.5273483460983461,0.5211153336239148,1.7904880798026308,1.7904880798026308,,9.923500662690524,0.038122919920189166,0.2540667808219178,100.54451051476883,0.4987493987493987,0.4924526862026862,0.01,0.5676286676286676,0.6021936396936397,0.01,0.6262626262626263,0.6498126873126873,0.01,0.5872053872053873,0.5973096348096347,0.01
single_shift7,endpoint_ce,23,1992.177,24,0.9397590361445783,0.9404980728226183,0.9400934816184655,0.22865497668413204,0.22865497668413204,,11.58617917497111,0.04273456964804261,0.4152659746127367,92.98149825865964,0.5873015873015873,0.5790885040885041,0.5803416396427149,1.4020081758499146,1.4020081758499146,,10.574839785795804,0.045593740715063884,0.3568018353174603,79.27992466517857,0.5273972602739726,0.5158674658674659,0.5180754849162555,1.8873737576889664,1.8873737576889664,,12.257289595758781,0.052333940688414037,0.4372592037671233,85.51205068091824,0.51744227994228,0.5760052447552447,0.01,0.6063071188071187,0.5538711288711288,10.0,0.6143097643097643,0.6089056776556776,0.1,0.5450517075517075,0.5928474303474303,0.01
single_shift7,endpoint_ce,37,1992.177,83,0.9827882960413081,0.9836842228693875,0.9835960613070593,0.11078830296734729,0.11078830296734729,,13.077394610347195,0.06243061847048137,0.6991246234939759,101.98802744459982,0.5317460317460317,0.5374098124098124,0.5304598382366251,2.0312421321868896,2.0312421321868896,,12.246993240277412,0.07032900392512278,0.654358878968254,87.09873356894842,0.4931506849315068,0.48173840048840044,0.4805670440199303,2.1713165518355697,2.1713165518355697,,13.518803843605037,0.07554833008564825,0.7136665239726028,93.79876876203981,0.5183922558922559,0.5201860639360638,0.1,0.5464105339105338,0.471716477966478,10.0,0.5843374218374218,0.6153228715728715,0.01,0.5453403078403078,0.5497766122766122,0.001
single_shift7,endpoint_ce,53,1992.177,98,0.9827882960413081,0.9833767666610803,0.9831566133440948,0.09475139281335776,0.09475139281335776,,10.711181268527978,0.03610249500366247,0.32209418029259895,113.91832844771945,0.5714285714285714,0.5633778258778258,0.5499043401579634,1.9424998760223389,1.9424998760223389,,9.346018786761478,0.03153456384691659,0.21493675595238096,95.19117373511905,0.5684931506849316,0.5578997391497391,0.5592241927281973,2.752380230655409,2.752380230655409,,11.343315109343937,0.04392980447327173,0.3366866438356164,105.5803139046447,0.47941317941317946,0.5182692307692307,1.0,0.5443542568542569,0.6129571817071817,0.1,0.5858645983645984,0.6224469974469974,10.0,0.5766414141414141,0.5540286102786103,0.1
single_shift7,endpoint_ce,71,1992.177,66,0.9604130808950087,0.9624543361127712,0.9616346030696009,0.17121306082903825,0.17121306082903825,,9.05058870819167,0.025711965051487935,0.19176258605851979,100.91749811746988,0.5634920634920635,0.5590067340067341,0.5689232975038601,1.8030931949615479,1.8030931949615479,,7.923053287683259,0.025151220565996977,0.1443762400793651,83.30553230406746,0.5,0.4892170329670329,0.48683042910002183,2.272504594228039,2.272504594228039,,9.490556660039761,0.02957767952431773,0.18685787671232876,93.70065349422089,0.5000481000481,0.40273615273615265,10.0,0.5087962962962963,0.572801504051504,0.01,0.5855278980278981,0.6648601398601399,0.01,0.5561928811928812,0.5851905039405039,0.1
single_shift7,endpoint_fixed250_aux_ce,11,1992.177,15,0.8777969018932874,0.877848079714517,0.8758749126088956,0.48390934089272447,0.37846705853528695,0.10544229012219918,10.759341450751169,0.03214346516648763,0.2868841437177281,104.0430906102087,0.5634920634920635,0.5605158730158729,0.547738603988604,2.856717109680176,1.392433524131775,1.4642837047576904,9.354534281450269,0.030802044677290256,0.2099764384920635,87.30438523065476,0.5,0.4983460983460983,0.49025888936501066,3.2792650085605985,1.7664409990180028,1.5128241140548497,11.337268058316766,0.03826532404837361,0.2913901969178082,93.76234415132706,0.5092652717652718,0.5509462759462759,0.1,0.5685545935545935,0.5891615329115328,0.01,0.6295394420394419,0.6302419802419802,0.01,0.6017255892255893,0.5723346098346097,0.01
single_shift7,endpoint_fixed250_aux_ce,23,1992.177,12,0.8554216867469879,0.854964062568479,0.8566620773487946,0.5772593595382474,0.431808799813003,0.14545056793242436,11.413494230157267,0.03772750988973903,0.3592674268502582,86.28858514414802,0.5714285714285714,0.560064935064935,0.5537143829037355,2.847351312637329,1.4753353595733643,1.3720159530639648,10.504345535949433,0.039185771068374356,0.30257936507936506,74.10275607638889,0.547945205479452,0.5379634254634255,0.5458719096000413,3.260062576973275,1.821169712772108,1.4388929687134207,12.052021206096752,0.046816651161571826,0.3823844178082192,79.41300901648117,0.5128126503126503,0.5590791153291154,0.01,0.5806036556036556,0.5679834054834055,0.1,0.616456228956229,0.6634761072261072,0.01,0.5110209235209235,0.5594870407370408,0.001
single_shift7,endpoint_fixed250_aux_ce,37,1992.177,85,0.9793459552495697,0.9805384488902802,0.9802047097815413,0.14879198425582477,0.12965220899005356,0.01913977686993829,16.87709146331251,0.06368104886105472,0.9215590038726333,91.90280849962349,0.5158730158730159,0.5215007215007216,0.5111808992334441,4.201738357543945,1.9896652698516846,2.2120730876922607,15.781801422175402,0.0683704431148896,0.8180183531746031,78.19594804067461,0.5205479452054794,0.5078026140526141,0.5041824125695094,4.447377831968542,2.126070261001587,2.321307809385535,17.494532803180913,0.07601845390570483,0.929767765410959,84.72415119327911,0.5210377585377585,0.5304674492174491,0.1,0.5523869648869649,0.5775883838383838,0.01,0.6003727753727753,0.6052669552669553,0.01,0.5316558441558441,0.5609890109890109,0.01
single_shift7,endpoint_fixed250_aux_ce,53,1992.177,63,0.963855421686747,0.9634455805877344,0.9642595537705171,0.1950025672218065,0.16602133733834334,0.02898122772106359,13.904123469609928,0.03782749766316281,0.43887155765920827,97.19078182148236,0.5634920634920635,0.5558020683020682,0.5438961259804127,3.812196969985962,1.6506476402282715,2.1615493297576904,12.262531823369327,0.032883986928104576,0.2944878472222222,81.22061786954364,0.5958904109589042,0.5861735486735487,0.586976757542522,4.883406691355248,2.333963590125515,2.549443101229733,14.702866136514247,0.04651318952573576,0.4633187071917808,89.96840636370933,0.49544853294853297,0.5042832167832167,1.0,0.5261363636363636,0.6192911255411255,0.01,0.6146945646945646,0.6422591297591297,0.01,0.5494588744588743,0.5221493783993784,1.0
single_shift7,endpoint_fixed250_aux_ce,71,1992.177,55,0.9432013769363167,0.9459130116057604,0.944627669878762,0.2753253633255803,0.2320702285241342,0.043255137089678375,12.107633945768503,0.03212653265605043,0.32265893932874357,86.86863889710628,0.5793650793650794,0.5656204906204906,0.5713986524921711,4.0130109786987305,1.6340339183807373,2.3789772987365723,10.573566851022738,0.03148545742567888,0.2427765376984127,72.3352554563492,0.4863013698630137,0.4817765567765567,0.4772861780210944,4.177509040048678,2.0451357495294857,2.1323733950314456,12.760188866799204,0.036747072709365766,0.314453125,80.70226465512629,0.5113215488215489,0.43114524364524365,10.0,0.5302609427609427,0.5896665834165834,0.01,0.6115319865319865,0.6658903596403597,1.0,0.5878487253487253,0.5477175602175601,0.1
