seed,probe_type,probe_C,val_ba,test_ba
11,local_whole_count,1.0,0.5423340548340548,0.5139554889554888
11,local_fixed250_ordered,0.01,0.5880411255411254,0.642110667110667
11,local_relative10_ordered,0.01,0.6473063973063974,0.7153339715839716
23,local_whole_count,10.0,0.5326899951899952,0.5378399378399378
23,local_fixed250_ordered,1.0,0.5996572871572871,0.5990842490842491
23,local_relative10_ordered,1.0,0.6194023569023569,0.6447621822621822
37,local_whole_count,0.1,0.5340007215007215,0.5637758075258075
37,local_fixed250_ordered,0.01,0.5673340548340549,0.6261002886002885
37,local_relative10_ordered,0.01,0.6205808080808081,0.7174152236652236
53,local_whole_count,10.0,0.5505411255411256,0.5228098290598291
53,local_fixed250_ordered,0.01,0.5443241943241944,0.6574966699966699
53,local_relative10_ordered,0.01,0.6444925444925445,0.7077200577200577
71,local_whole_count,0.01,0.5045695045695046,0.5810987623487623
71,local_fixed250_ordered,1.0,0.5429713804713804,0.6004821567321567
71,local_relative10_ordered,1.0,0.630940355940356,0.6622655122655122
