seed,split,l1_firing_rate,l2_firing_rate,output_firing_rate,network_firing_rate,silent_output_fraction,samples
23,train,0.00014012745286162982,2.666840037569306e-05,8.836866396679358e-06,7.70069785996344e-05,0.9935379644588045,619
23,val,5.4836875649268604e-05,0.0,0.0,2.506828601109422e-05,1.0,125
23,test,0.00018825301204819278,5.466577849860982e-05,8.302440531356194e-05,0.00011816496756255792,0.9760479041916168,167
11,train,0.00015077903289334153,5.104868355938879e-05,6.312047426199542e-05,9.767442531513348e-05,0.9870759289176091,619
11,val,3.202473537917287e-05,0.0,0.0,1.4639879030479025e-05,1.0,125
11,test,0.00012598470806302132,1.1946825764596849e-05,3.861600247142416e-06,6.338540977095194e-05,0.9940119760479041,167
101,train,0.00015243594534271893,5.996445054889565e-05,0.0001935694544034526,0.0001136889913564626,0.9838449111470113,619
101,val,3.5972990425920206e-05,4.3869500519414886e-07,0.0,1.6645341911366563e-05,1.0,125
101,test,0.00012598470806302132,3.5840477293790546e-05,7.33704046957059e-05,8.026611942274592e-05,0.9820359281437125,167
40,train,0.007570511881798075,0.04560264904006383,0.06357704569249052,0.0297571917664932,0.11631663974151858,619
40,val,0.005226173596877895,0.03286659109414044,0.06050949452976575,0.022600363389874017,0.184,125
40,test,0.009309473470806302,0.05980436167747915,0.09356078158789002,0.03961439163246392,0.011976047904191617,167
231,train,0.005438775664784835,0.03154137988931194,0.053903201807097095,0.021525488408195417,0.1938610662358643,619
231,val,0.0036530133082516777,0.021059115029339923,0.04607584393220466,0.015246331005659416,0.24,125
231,test,0.006874493164967563,0.04343069392956441,0.0729745906703738,0.0292516218721038,0.10179640718562874,167
