experiment,seed,split_seed,readout,input_channels,num_classes,hidden_width,n_temporal_bins,backbone_best_epoch,backbone_selection_metric,backbone_best_selection_value,readout_best_epoch,backbone_params,readout_params,total_params,train_accuracy,train_balanced_accuracy,train_macro_f1,train_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_loss,test_accuracy,test_balanced_accuracy,test_macro_f1,test_loss,readout_best_val_balanced_accuracy
experiment_2_1_fixed_shared_backbone,23,12345,full_count,30,12,64,,1,val_loss,2.484907035480622,,6784,0,6784,0.0888529886914378,0.08779761904761905,0.02156719737068724,2.475419521331787,0.056,0.08333333333333333,0.008838383838383838,2.4849066734313965,0.08982035928143713,0.09375,0.029854465709728866,2.5880279541015625,
experiment_2_1_fixed_shared_backbone,23,12345,temporal_10bin,30,12,64,10.0,1,val_loss,2.484907035480622,1.0,6784,1452,8236,0.09369951534733441,0.08482142857142856,0.01701046798029557,2.4826371669769287,0.096,0.08333333333333333,0.014598540145985403,2.4839208126068115,0.08982035928143713,0.08333333333333333,0.013888888888888888,2.4886555671691895,0.08333333333333333
experiment_2_1_fixed_shared_backbone,23,12345,final_membrane,30,12,64,,1,val_loss,2.484907035480622,,6784,0,6784,0.08562197092084006,0.08447802197802197,0.02362057919497518,2.4810643196105957,0.056,0.08333333333333333,0.008838383838383838,2.4849066734313965,0.08383233532934131,0.08854166666666667,0.031303749570003446,2.4837117195129395,
experiment_2_1_fixed_shared_backbone,11,12345,full_count,30,12,64,,1,val_loss,2.484907035480622,,6784,0,6784,0.08562197092084006,0.08482142857142856,0.015995872033023734,2.5986969470977783,0.056,0.08333333333333333,0.008838383838383838,2.4849066734313965,0.07784431137724551,0.08333333333333333,0.012037037037037035,2.4874629974365234,
experiment_2_1_fixed_shared_backbone,11,12345,temporal_10bin,30,12,64,10.0,1,val_loss,2.484907035480622,1.0,6784,1452,8236,0.09531502423263329,0.08779761904761905,0.022339628384347623,2.4741718769073486,0.08,0.08333333333333333,0.012345679012345678,2.479959011077881,0.08383233532934131,0.08333333333333333,0.012962962962962963,2.4835779666900635,0.08333333333333333
experiment_2_1_fixed_shared_backbone,11,12345,final_membrane,30,12,64,,1,val_loss,2.484907035480622,,6784,0,6784,0.0840064620355412,0.08321886446886446,0.015850662455032027,2.4911608695983887,0.056,0.08333333333333333,0.008838383838383838,2.4849066734313965,0.07784431137724551,0.08333333333333333,0.012172284644194757,2.484943151473999,
experiment_2_1_fixed_shared_backbone,101,12345,full_count,30,12,64,,1,val_loss,2.484907035480622,,6784,0,6784,0.08562197092084006,0.08482142857142856,0.015869419268210807,2.565426826477051,0.056,0.08333333333333333,0.008838383838383838,2.4849066734313965,0.07784431137724551,0.08333333333333333,0.012241054613935971,2.601426124572754,
experiment_2_1_fixed_shared_backbone,101,12345,temporal_10bin,30,12,64,10.0,1,val_loss,2.484907035480622,1.0,6784,1452,8236,0.09854604200323101,0.08940018315018315,0.02568785334297859,2.4753315448760986,0.096,0.08333333333333333,0.014598540145985403,2.4852523803710938,0.10179640718562874,0.09027777777777778,0.026719576719576716,2.480860710144043,0.08333333333333333
experiment_2_1_fixed_shared_backbone,101,12345,final_membrane,30,12,64,,1,val_loss,2.484907035480622,,6784,0,6784,0.0840064620355412,0.0834598515519568,0.021794324606403192,2.48246431350708,0.056,0.08333333333333333,0.008905852417302799,2.484907865524292,0.07784431137724551,0.08333333333333333,0.012596899224806201,2.485210657119751,
experiment_2_1_fixed_shared_backbone,40,12345,full_count,30,12,64,,50,val_loss,2.4141296409866446,,6784,0,6784,0.3166397415185784,0.30791265705179477,0.23137007179814648,28.511075973510742,0.28,0.2648809523809524,0.1861452771421307,25.688274383544922,0.2634730538922156,0.24122786935286936,0.1518390538033395,37.96070098876953,
experiment_2_1_fixed_shared_backbone,40,12345,temporal_10bin,30,12,64,10.0,50,val_loss,2.4141296409866446,3.0,6784,1452,8236,0.6187399030694669,0.610095140626589,0.6101756183799701,1.2100543975830078,0.464,0.4439153439153439,0.4354780984241831,1.9769343137741089,0.48502994011976047,0.48200792263292264,0.46040060456607995,2.6063146591186523,0.4439153439153439
experiment_2_1_fixed_shared_backbone,40,12345,final_membrane,30,12,64,,50,val_loss,2.4141296409866446,,6784,0,6784,0.17124394184168013,0.16810113800595325,0.12020460932069947,7.786013603210449,0.168,0.15277777777777776,0.12389829669241433,5.559118747711182,0.16766467065868262,0.15060668498168497,0.10208613071516297,7.6818108558654785,
experiment_2_1_fixed_shared_backbone,231,12345,full_count,30,12,64,,50,val_loss,2.431947691160708,,6784,0,6784,0.24717285945072698,0.2362423246848406,0.16279679471129696,29.359004974365234,0.248,0.24067460317460318,0.15919198139025725,26.069904327392578,0.2934131736526946,0.27082570207570206,0.1643234545628851,33.69166946411133,
experiment_2_1_fixed_shared_backbone,231,12345,temporal_10bin,30,12,64,10.0,50,val_loss,2.431947691160708,11.0,6784,1452,8236,0.6332794830371568,0.6336277807395762,0.6493316018467189,1.0480878353118896,0.48,0.4792989417989418,0.48016537928302644,1.8184128999710083,0.41916167664670656,0.4131250693750694,0.3724024645323531,2.6941757202148438,0.4792989417989418
experiment_2_1_fixed_shared_backbone,231,12345,final_membrane,30,12,64,,50,val_loss,2.431947691160708,,6784,0,6784,0.1421647819063005,0.13623200629779578,0.08894208106067664,4.966325283050537,0.144,0.1263888888888889,0.08308703997492999,3.597804546356201,0.2155688622754491,0.19611568986568986,0.14031996007605763,3.97708797454834,
