seed,epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_l1_firing_rate,val_l2_firing_rate,val_output_firing_rate,val_silent_output_fraction
23,1,2.484874353804954,0.08723747980613894,0.08630952380952382,0.01854905880393137,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,5.4836875649268604e-05,0.0,0.0,1.0
23,2,2.4848416635975865,0.0888529886914378,0.08779761904761905,0.02156719737068724,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,5.7469045680433504e-05,0.0,0.0,1.0
23,3,2.4848069384698164,0.0888529886914378,0.08779761904761905,0.021481327609287726,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,6.097860572198669e-05,0.0,0.0,1.0
23,4,2.4847235629482882,0.0888529886914378,0.08779761904761905,0.02143262314795907,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,6.668164078951063e-05,4.3869500519414886e-07,0.0,1.0
23,5,2.4846487983689376,0.08723747980613894,0.08619505494505496,0.021299879694452902,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,7.062989583625796e-05,4.3869500519414886e-07,0.0,1.0
23,6,2.4844796264624396,0.08723747980613894,0.08619505494505496,0.02127517763387091,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,7.80877109245585e-05,8.773900103882977e-07,0.0,1.0
23,7,2.4842549391051065,0.08723747980613894,0.08619505494505496,0.021294602564512485,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,7.677162590897606e-05,8.773900103882977e-07,0.0,1.0
23,8,2.484206890649818,0.0888529886914378,0.08779761904761905,0.021145707595875567,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,8.642291602324732e-05,3.509560041553191e-06,0.0,1.0
23,9,2.4840994914231502,0.08723747980613894,0.08619505494505493,0.020701422988811405,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,9.124856108038296e-05,5.264340062329786e-06,0.0,1.0
11,1,2.485019835714549,0.08562197092084006,0.08482142857142856,0.016015618098620166,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,3.202473537917287e-05,0.0,0.0,1.0
11,2,2.484949951760981,0.08562197092084006,0.08482142857142856,0.0159761854435285,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,3.0269955358396272e-05,0.0,0.0,1.0
11,3,2.484889853161606,0.08562197092084006,0.08482142857142856,0.01589802850439472,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,2.983126035320212e-05,0.0,0.0,1.0
11,4,2.4848506220714963,0.08723747980613894,0.08628341687552214,0.018740629685157422,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,2.983126035320212e-05,0.0,0.0,1.0
11,5,2.4847731285412475,0.08723747980613894,0.08628341687552214,0.018740629685157422,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,3.070865036359042e-05,0.0,0.0,1.0
11,6,2.4846991871401034,0.0888529886914378,0.08774540517961571,0.02163370266818543,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,3.816646545189095e-05,4.3869500519414886e-07,0.0,1.0
11,7,2.4846307678137034,0.09046849757673667,0.08923350041771096,0.024335263445971252,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,4.6940365555773926e-05,4.3869500519414886e-07,0.0,1.0
11,8,2.4845292799722047,0.0888529886914378,0.08763093631514685,0.023943983343315937,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,5.220470561810371e-05,4.3869500519414886e-07,0.0,1.0
11,9,2.4844047073999276,0.0888529886914378,0.08763093631514685,0.023963349676881667,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,5.703035067523935e-05,4.3869500519414886e-07,0.0,1.0
101,1,2.484952255803726,0.0840064620355412,0.08333333333333333,0.013131313131313131,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,3.5972990425920206e-05,4.3869500519414886e-07,0.0,1.0
101,2,2.4846500241067915,0.08562197092084006,0.08482142857142856,0.01589675418189875,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,3.377951539994946e-05,4.3869500519414886e-07,0.0,1.0
101,3,2.484456725969891,0.0840064620355412,0.08321886446886446,0.015547476127730874,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,3.377951539994946e-05,4.3869500519414886e-07,0.0,1.0
101,4,2.484346582856401,0.08562197092084006,0.0847069597069597,0.01808712121212121,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,3.377951539994946e-05,0.0,0.0,1.0
101,5,2.484252408055811,0.08723747980613894,0.08669108669108667,0.021873496873496875,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,3.465690541033776e-05,0.0,0.0,1.0
101,6,2.484118542678957,0.0888529886914378,0.08867521367521368,0.025435712906848356,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,3.553429542072606e-05,0.0,0.0,1.0
101,7,2.483998507950224,0.0888529886914378,0.08867521367521368,0.02496837149493944,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,3.904385546227925e-05,2.1934750259707444e-06,0.0,1.0
101,8,2.483931019384992,0.08723747980613894,0.08707264957264958,0.02426158071319362,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,4.211472049863829e-05,2.1934750259707444e-06,0.0,1.0
101,9,2.483853805710099,0.08723747980613894,0.08707264957264958,0.024442610297208275,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,4.299211050902659e-05,2.1934750259707444e-06,0.0,1.0
40,1,2.4850040969244067,0.0840064620355412,0.08321886446886446,0.015705931495405178,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,4.167602549344414e-05,0.0,0.0,1.0
40,2,2.48494135838531,0.08562197092084006,0.08482142857142856,0.01595655806182122,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,4.255341550383244e-05,0.0,0.0,1.0
40,3,2.484895604555645,0.08562197092084006,0.08482142857142856,0.01585744021069623,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,4.430819552460903e-05,4.3869500519414886e-07,0.0,1.0
40,4,2.4848659071663746,0.08723747980613894,0.08630952380952382,0.01856856856856857,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,4.650167055057978e-05,4.3869500519414886e-07,0.0,1.0
40,5,2.4848282375533812,0.08723747980613894,0.08630952380952382,0.01856856856856857,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,4.781775556616223e-05,4.3869500519414886e-07,0.0,1.0
40,6,2.484740374032112,0.09046849757673667,0.08978174603174603,0.025032126611713352,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,5.6152960664851054e-05,2.1934750259707444e-06,0.0,1.0
40,7,2.4846362708916754,0.09208400646203554,0.09126984126984126,0.027128218344649162,2.484907035480622,0.056,0.08333333333333333,0.008838383838383838,7.106859084145212e-05,3.9482550467473394e-06,0.0,1.0
40,8,2.4843844091966765,0.09531502423263329,0.09401709401709402,0.03369761759854639,2.484518019177134,0.064,0.09027777777777778,0.021726365237815622,9.388073111154785e-05,2.281214027009574e-05,7.487061421980141e-05,0.992
40,9,2.4840306203614806,0.09693053311793215,0.09539072039072038,0.03588396663777578,2.4839001157360965,0.072,0.09722222222222222,0.029947916666666668,0.00012546677148552658,5.220470561810371e-05,0.00022461184265940422,0.968
40,10,2.483619699378994,0.09369951534733441,0.09245268620268621,0.03719303381951098,2.483333752076784,0.072,0.09722222222222222,0.029947916666666668,0.0001544206418283404,7.457815088300531e-05,0.000306501576962312,0.968
40,11,2.483098165024119,0.09369951534733441,0.09233821733821734,0.037006397193750824,2.482752426096962,0.072,0.09722222222222222,0.028794194843291643,0.00017898756211921275,0.00010923505629334307,0.00044220456523570207,0.96
40,12,2.4827169889511254,0.09208400646203554,0.09062118437118438,0.03651744719926538,2.48221197393912,0.072,0.09722222222222222,0.028794194843291643,0.00021452185753993879,0.00016143976191144679,0.0005825869668978297,0.96
40,13,2.4822320157050344,0.0888529886914378,0.08741605616605617,0.03506833150677813,2.4819309447112032,0.072,0.09722222222222222,0.026075268817204303,0.0002500561529606648,0.00022241836763343349,0.0007791223292248084,0.928
40,14,2.4813103504282616,0.09046849757673667,0.0889423076923077,0.04236684914950057,2.4814848916375376,0.064,0.0853174603174603,0.02400309717382888,0.00029831260353202125,0.0003000673835527978,0.0010528680124659573,0.92
40,15,2.4802245989766782,0.09693053311793215,0.09512362637362637,0.04635516804530889,2.4801947179293014,0.064,0.0853174603174603,0.02275721643310576,0.00036236207429036696,0.00041851503495521803,0.0015535652450608792,0.912
40,16,2.4793682761078526,0.10177705977382875,0.09836691086691085,0.04441051586489685,2.4797573795878756,0.08,0.10416666666666667,0.03138100371301952,0.00044483673526686697,0.0005803934918718589,0.0022858934403983118,0.896
40,17,2.4781978114256105,0.10177705977382875,0.098252442002442,0.04357246621417204,2.477377582788568,0.08,0.10416666666666667,0.030555555555555558,0.0005369626863576382,0.0008326431198584945,0.0032170967047570917,0.872
