seed,zero_l1_firing_rate,zero_l2_firing_rate,zero_output_firing_rate
23,0.0,0.0,0.0
11,0.0,0.0,0.0
101,0.0,0.0,0.0
40,0.0,0.0,0.0
231,0.0,0.0,0.0
