seed,epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1
23,1,2.486827082318135,2.4839208126068115,0.096,0.08333333333333333,0.014598540145985403
23,2,2.48130469753592,2.4822206497192383,0.096,0.08333333333333333,0.014598540145985403
23,3,2.476403306489615,2.4808757305145264,0.096,0.08333333333333333,0.014598540145985403
23,4,2.473564806585358,2.4799320697784424,0.096,0.08333333333333333,0.014598540145985403
23,5,2.4713669766902155,2.479973793029785,0.096,0.08333333333333333,0.014598540145985403
23,6,2.470204682265422,2.4791505336761475,0.096,0.08333333333333333,0.014598540145985403
23,7,2.4688273824281954,2.4792134761810303,0.096,0.08333333333333333,0.014598540145985403
23,8,2.46787476655162,2.4790780544281006,0.096,0.08333333333333333,0.014598540145985403
23,9,2.467688129098427,2.47896671295166,0.096,0.08333333333333333,0.014598540145985403
23,10,2.4669659364974557,2.479273796081543,0.096,0.08333333333333333,0.014598540145985403
23,11,2.4665716834522797,2.4791433811187744,0.096,0.08333333333333333,0.014598540145985403
23,12,2.4662607729146093,2.479006290435791,0.096,0.08333333333333333,0.014598540145985403
23,13,2.4661632019406565,2.479015350341797,0.096,0.08333333333333333,0.014598540145985403
23,14,2.4657488724334176,2.4789652824401855,0.096,0.08333333333333333,0.014598540145985403
23,15,2.465522756484098,2.4789462089538574,0.096,0.08333333333333333,0.014598540145985403
23,16,2.4653049370391305,2.4793269634246826,0.096,0.08333333333333333,0.014598540145985403
23,17,2.4650058449759045,2.479159116744995,0.096,0.08333333333333333,0.014598540145985403
23,18,2.464883411065442,2.478846788406372,0.096,0.08333333333333333,0.014598540145985403
23,19,2.4647931409382857,2.4785826206207275,0.096,0.08333333333333333,0.014598540145985403
23,20,2.465017630325958,2.478790044784546,0.096,0.08333333333333333,0.014598540145985403
23,21,2.4646149109176365,2.479024887084961,0.096,0.08333333333333333,0.014598540145985403
11,1,2.4845140561918835,2.479959011077881,0.08,0.08333333333333333,0.012345679012345678
11,2,2.4732838609106897,2.479257345199585,0.08,0.08333333333333333,0.012345679012345678
11,3,2.4685994300010323,2.478841781616211,0.08,0.08333333333333333,0.012345679012345678
11,4,2.465835527765154,2.4787373542785645,0.096,0.08333333333333333,0.014598540145985403
11,5,2.4641107650103593,2.4790267944335938,0.096,0.08333333333333333,0.014598540145985403
11,6,2.4627021957483737,2.4786534309387207,0.096,0.08333333333333333,0.014598540145985403
11,7,2.461635168226547,2.479025363922119,0.096,0.08333333333333333,0.014598540145985403
11,8,2.4609862760503765,2.4785234928131104,0.096,0.08333333333333333,0.014598540145985403
11,9,2.4602855076119665,2.479156732559204,0.096,0.08333333333333333,0.014598540145985403
11,10,2.4601568528639097,2.4793622493743896,0.096,0.08333333333333333,0.014598540145985403
11,11,2.4596530266455185,2.4799282550811768,0.096,0.08333333333333333,0.014598540145985403
11,12,2.4593455856951834,2.479605197906494,0.096,0.08333333333333333,0.014598540145985403
11,13,2.458947240632262,2.4794399738311768,0.096,0.08333333333333333,0.014598540145985403
11,14,2.458739516808259,2.4794466495513916,0.096,0.08333333333333333,0.014598540145985403
11,15,2.4581843897676237,2.478926420211792,0.096,0.08333333333333333,0.014598540145985403
11,16,2.458252658751554,2.4793145656585693,0.096,0.08333333333333333,0.014598540145985403
11,17,2.4579233845909503,2.4790210723876953,0.096,0.08333333333333333,0.014598540145985403
11,18,2.457924943748314,2.478865623474121,0.096,0.08333333333333333,0.014598540145985403
11,19,2.4575507871939024,2.4787280559539795,0.096,0.08333333333333333,0.014598540145985403
11,20,2.457285913781704,2.479445695877075,0.096,0.08333333333333333,0.014598540145985403
11,21,2.4572682095652443,2.4792211055755615,0.096,0.08333333333333333,0.014598540145985403
101,1,2.4972200948317718,2.4852523803710938,0.096,0.08333333333333333,0.014598540145985403
101,2,2.470763942921874,2.482762098312378,0.096,0.08333333333333333,0.014598540145985403
