comparison,mean_delta_test_ba,sd_delta_test_ba,min_delta_test_ba,max_delta_test_ba,positive_seeds,n_seeds
temporal_10bin - full_count,0.07592143967143967,0.1113109959028214,-0.010416666666666671,0.24078005328005328,3,5
final_membrane - full_count,-0.03410790598290599,0.04473300086254472,-0.09062118437118438,0.0,0,5
