architecture,objective,profile,seed,raster_png,trace_npz
mid_long,timestep_ce,a1,11,firing_patterns/mid_long/timestep_ce/a1/seed11.png,firing_patterns/mid_long/timestep_ce/a1/seed11.npz
mid_long,timestep_ce,a1,23,firing_patterns/mid_long/timestep_ce/a1/seed23.png,firing_patterns/mid_long/timestep_ce/a1/seed23.npz
mid_long,timestep_ce,a1,37,firing_patterns/mid_long/timestep_ce/a1/seed37.png,firing_patterns/mid_long/timestep_ce/a1/seed37.npz
mid_long,timestep_ce,a1_p2,11,firing_patterns/mid_long/timestep_ce/a1_p2/seed11.png,firing_patterns/mid_long/timestep_ce/a1_p2/seed11.npz
mid_long,timestep_ce,a1_p2,23,firing_patterns/mid_long/timestep_ce/a1_p2/seed23.png,firing_patterns/mid_long/timestep_ce/a1_p2/seed23.npz
mid_long,timestep_ce,a1_p2,37,firing_patterns/mid_long/timestep_ce/a1_p2/seed37.png,firing_patterns/mid_long/timestep_ce/a1_p2/seed37.npz
mid_long,timestep_ce,a1_tail,11,firing_patterns/mid_long/timestep_ce/a1_tail/seed11.png,firing_patterns/mid_long/timestep_ce/a1_tail/seed11.npz
mid_long,timestep_ce,a1_tail,23,firing_patterns/mid_long/timestep_ce/a1_tail/seed23.png,firing_patterns/mid_long/timestep_ce/a1_tail/seed23.npz
mid_long,timestep_ce,a1_tail,37,firing_patterns/mid_long/timestep_ce/a1_tail/seed37.png,firing_patterns/mid_long/timestep_ce/a1_tail/seed37.npz
mid_long,timestep_ce,none,11,firing_patterns/mid_long/timestep_ce/none/seed11.png,firing_patterns/mid_long/timestep_ce/none/seed11.npz
mid_long,timestep_ce,none,23,firing_patterns/mid_long/timestep_ce/none/seed23.png,firing_patterns/mid_long/timestep_ce/none/seed23.npz
mid_long,timestep_ce,none,37,firing_patterns/mid_long/timestep_ce/none/seed37.png,firing_patterns/mid_long/timestep_ce/none/seed37.npz
mid_long,timestep_ce,tail,11,firing_patterns/mid_long/timestep_ce/tail/seed11.png,firing_patterns/mid_long/timestep_ce/tail/seed11.npz
mid_long,timestep_ce,tail,23,firing_patterns/mid_long/timestep_ce/tail/seed23.png,firing_patterns/mid_long/timestep_ce/tail/seed23.npz
mid_long,timestep_ce,tail,37,firing_patterns/mid_long/timestep_ce/tail/seed37.png,firing_patterns/mid_long/timestep_ce/tail/seed37.npz
mid_long,whole_count_ce,a1,11,firing_patterns/mid_long/whole_count_ce/a1/seed11.png,firing_patterns/mid_long/whole_count_ce/a1/seed11.npz
mid_long,whole_count_ce,a1,23,firing_patterns/mid_long/whole_count_ce/a1/seed23.png,firing_patterns/mid_long/whole_count_ce/a1/seed23.npz
mid_long,whole_count_ce,a1,37,firing_patterns/mid_long/whole_count_ce/a1/seed37.png,firing_patterns/mid_long/whole_count_ce/a1/seed37.npz
mid_long,whole_count_ce,a1_p2,11,firing_patterns/mid_long/whole_count_ce/a1_p2/seed11.png,firing_patterns/mid_long/whole_count_ce/a1_p2/seed11.npz
mid_long,whole_count_ce,a1_p2,23,firing_patterns/mid_long/whole_count_ce/a1_p2/seed23.png,firing_patterns/mid_long/whole_count_ce/a1_p2/seed23.npz
mid_long,whole_count_ce,a1_p2,37,firing_patterns/mid_long/whole_count_ce/a1_p2/seed37.png,firing_patterns/mid_long/whole_count_ce/a1_p2/seed37.npz
mid_long,whole_count_ce,a1_tail,11,firing_patterns/mid_long/whole_count_ce/a1_tail/seed11.png,firing_patterns/mid_long/whole_count_ce/a1_tail/seed11.npz
mid_long,whole_count_ce,a1_tail,23,firing_patterns/mid_long/whole_count_ce/a1_tail/seed23.png,firing_patterns/mid_long/whole_count_ce/a1_tail/seed23.npz
mid_long,whole_count_ce,a1_tail,37,firing_patterns/mid_long/whole_count_ce/a1_tail/seed37.png,firing_patterns/mid_long/whole_count_ce/a1_tail/seed37.npz
mid_long,whole_count_ce,none,11,firing_patterns/mid_long/whole_count_ce/none/seed11.png,firing_patterns/mid_long/whole_count_ce/none/seed11.npz
mid_long,whole_count_ce,none,23,firing_patterns/mid_long/whole_count_ce/none/seed23.png,firing_patterns/mid_long/whole_count_ce/none/seed23.npz
mid_long,whole_count_ce,none,37,firing_patterns/mid_long/whole_count_ce/none/seed37.png,firing_patterns/mid_long/whole_count_ce/none/seed37.npz
mid_long,whole_count_ce,tail,11,firing_patterns/mid_long/whole_count_ce/tail/seed11.png,firing_patterns/mid_long/whole_count_ce/tail/seed11.npz
mid_long,whole_count_ce,tail,23,firing_patterns/mid_long/whole_count_ce/tail/seed23.png,firing_patterns/mid_long/whole_count_ce/tail/seed23.npz
mid_long,whole_count_ce,tail,37,firing_patterns/mid_long/whole_count_ce/tail/seed37.png,firing_patterns/mid_long/whole_count_ce/tail/seed37.npz
short_mid,timestep_ce,a1,11,firing_patterns/short_mid/timestep_ce/a1/seed11.png,firing_patterns/short_mid/timestep_ce/a1/seed11.npz
short_mid,timestep_ce,a1,23,firing_patterns/short_mid/timestep_ce/a1/seed23.png,firing_patterns/short_mid/timestep_ce/a1/seed23.npz
short_mid,timestep_ce,a1,37,firing_patterns/short_mid/timestep_ce/a1/seed37.png,firing_patterns/short_mid/timestep_ce/a1/seed37.npz
short_mid,timestep_ce,a1_p2,11,firing_patterns/short_mid/timestep_ce/a1_p2/seed11.png,firing_patterns/short_mid/timestep_ce/a1_p2/seed11.npz
short_mid,timestep_ce,a1_p2,23,firing_patterns/short_mid/timestep_ce/a1_p2/seed23.png,firing_patterns/short_mid/timestep_ce/a1_p2/seed23.npz
short_mid,timestep_ce,a1_p2,37,firing_patterns/short_mid/timestep_ce/a1_p2/seed37.png,firing_patterns/short_mid/timestep_ce/a1_p2/seed37.npz
short_mid,timestep_ce,a1_tail,11,firing_patterns/short_mid/timestep_ce/a1_tail/seed11.png,firing_patterns/short_mid/timestep_ce/a1_tail/seed11.npz
short_mid,timestep_ce,a1_tail,23,firing_patterns/short_mid/timestep_ce/a1_tail/seed23.png,firing_patterns/short_mid/timestep_ce/a1_tail/seed23.npz
short_mid,timestep_ce,a1_tail,37,firing_patterns/short_mid/timestep_ce/a1_tail/seed37.png,firing_patterns/short_mid/timestep_ce/a1_tail/seed37.npz
short_mid,timestep_ce,none,11,firing_patterns/short_mid/timestep_ce/none/seed11.png,firing_patterns/short_mid/timestep_ce/none/seed11.npz
short_mid,timestep_ce,none,23,firing_patterns/short_mid/timestep_ce/none/seed23.png,firing_patterns/short_mid/timestep_ce/none/seed23.npz
short_mid,timestep_ce,none,37,firing_patterns/short_mid/timestep_ce/none/seed37.png,firing_patterns/short_mid/timestep_ce/none/seed37.npz
short_mid,timestep_ce,tail,11,firing_patterns/short_mid/timestep_ce/tail/seed11.png,firing_patterns/short_mid/timestep_ce/tail/seed11.npz
short_mid,timestep_ce,tail,23,firing_patterns/short_mid/timestep_ce/tail/seed23.png,firing_patterns/short_mid/timestep_ce/tail/seed23.npz
short_mid,timestep_ce,tail,37,firing_patterns/short_mid/timestep_ce/tail/seed37.png,firing_patterns/short_mid/timestep_ce/tail/seed37.npz
short_mid,whole_count_ce,a1,11,firing_patterns/short_mid/whole_count_ce/a1/seed11.png,firing_patterns/short_mid/whole_count_ce/a1/seed11.npz
short_mid,whole_count_ce,a1,23,firing_patterns/short_mid/whole_count_ce/a1/seed23.png,firing_patterns/short_mid/whole_count_ce/a1/seed23.npz
short_mid,whole_count_ce,a1,37,firing_patterns/short_mid/whole_count_ce/a1/seed37.png,firing_patterns/short_mid/whole_count_ce/a1/seed37.npz
short_mid,whole_count_ce,a1_p2,11,firing_patterns/short_mid/whole_count_ce/a1_p2/seed11.png,firing_patterns/short_mid/whole_count_ce/a1_p2/seed11.npz
short_mid,whole_count_ce,a1_p2,23,firing_patterns/short_mid/whole_count_ce/a1_p2/seed23.png,firing_patterns/short_mid/whole_count_ce/a1_p2/seed23.npz
short_mid,whole_count_ce,a1_p2,37,firing_patterns/short_mid/whole_count_ce/a1_p2/seed37.png,firing_patterns/short_mid/whole_count_ce/a1_p2/seed37.npz
short_mid,whole_count_ce,a1_tail,11,firing_patterns/short_mid/whole_count_ce/a1_tail/seed11.png,firing_patterns/short_mid/whole_count_ce/a1_tail/seed11.npz
short_mid,whole_count_ce,a1_tail,23,firing_patterns/short_mid/whole_count_ce/a1_tail/seed23.png,firing_patterns/short_mid/whole_count_ce/a1_tail/seed23.npz
short_mid,whole_count_ce,a1_tail,37,firing_patterns/short_mid/whole_count_ce/a1_tail/seed37.png,firing_patterns/short_mid/whole_count_ce/a1_tail/seed37.npz
short_mid,whole_count_ce,none,11,firing_patterns/short_mid/whole_count_ce/none/seed11.png,firing_patterns/short_mid/whole_count_ce/none/seed11.npz
short_mid,whole_count_ce,none,23,firing_patterns/short_mid/whole_count_ce/none/seed23.png,firing_patterns/short_mid/whole_count_ce/none/seed23.npz
short_mid,whole_count_ce,none,37,firing_patterns/short_mid/whole_count_ce/none/seed37.png,firing_patterns/short_mid/whole_count_ce/none/seed37.npz
short_mid,whole_count_ce,tail,11,firing_patterns/short_mid/whole_count_ce/tail/seed11.png,firing_patterns/short_mid/whole_count_ce/tail/seed11.npz
short_mid,whole_count_ce,tail,23,firing_patterns/short_mid/whole_count_ce/tail/seed23.png,firing_patterns/short_mid/whole_count_ce/tail/seed23.npz
short_mid,whole_count_ce,tail,37,firing_patterns/short_mid/whole_count_ce/tail/seed37.png,firing_patterns/short_mid/whole_count_ce/tail/seed37.npz
short_mid_long,timestep_ce,a1,11,firing_patterns/short_mid_long/timestep_ce/a1/seed11.png,firing_patterns/short_mid_long/timestep_ce/a1/seed11.npz
short_mid_long,timestep_ce,a1,23,firing_patterns/short_mid_long/timestep_ce/a1/seed23.png,firing_patterns/short_mid_long/timestep_ce/a1/seed23.npz
short_mid_long,timestep_ce,a1,37,firing_patterns/short_mid_long/timestep_ce/a1/seed37.png,firing_patterns/short_mid_long/timestep_ce/a1/seed37.npz
short_mid_long,timestep_ce,a1_p2,11,firing_patterns/short_mid_long/timestep_ce/a1_p2/seed11.png,firing_patterns/short_mid_long/timestep_ce/a1_p2/seed11.npz
short_mid_long,timestep_ce,a1_p2,23,firing_patterns/short_mid_long/timestep_ce/a1_p2/seed23.png,firing_patterns/short_mid_long/timestep_ce/a1_p2/seed23.npz
short_mid_long,timestep_ce,a1_p2,37,firing_patterns/short_mid_long/timestep_ce/a1_p2/seed37.png,firing_patterns/short_mid_long/timestep_ce/a1_p2/seed37.npz
short_mid_long,timestep_ce,a1_tail,11,firing_patterns/short_mid_long/timestep_ce/a1_tail/seed11.png,firing_patterns/short_mid_long/timestep_ce/a1_tail/seed11.npz
