architecture,objective,profile,seed,epoch,warmup_scale,kappa,train_task_loss,train_base_regularizer,train_p2,train_a1,train_tail,train_total_loss,val_balanced_accuracy,val_whole_count_loss,val_objective_loss
short_mid_long,whole_count_ce,a1,11,31,1.0,3.812868419089698,2.3749496198151894,0.0002751031837613,0.0,0.0027510318119662,0.0,2.3759985392762544,0.0833333333333333,2.481741189956665,2.481741189956665
short_mid_long,whole_count_ce,a1,11,32,1.0,3.812868419089698,2.375965208276824,0.0002577657758846,0.0,0.0025776577267872,0.0,2.376948036958757,0.0833333333333333,2.481566905975342,2.481566905975342
short_mid_long,whole_count_ce,a1,11,33,1.0,3.812868419089698,2.3762106271701096,0.0002539958800337,0.0,0.0025399587463375,0.0,2.3771790760519584,0.0833333333333333,2.4728007316589355,2.4728007316589355
short_mid_long,whole_count_ce,a1,11,34,1.0,3.812868419089698,2.374558864074812,0.0002656820040184,0.0,0.0026568199753145,0.0,2.3755718545536166,0.0833333333333333,2.472451686859131,2.472451686859131
short_mid_long,whole_count_ce,a1,11,35,1.0,3.812868419089698,2.374031225293105,0.0002597879965097,0.0,0.002597879875081,0.0,2.375021753130599,0.0833333333333333,2.480642318725586,2.480642318725586
short_mid_long,whole_count_ce,a1,11,36,1.0,3.812868419089698,2.3739116253417865,0.0002526722850368,0.0,0.0025267228143523,0.0,2.3748749997242387,0.0833333333333333,2.480071544647217,2.480071544647217
short_mid_long,whole_count_ce,a1,11,37,1.0,3.812868419089698,2.371151983635356,0.0002590125371447,0.0,0.0025901253452995,0.0,2.372139549911945,0.0833333333333333,2.480403423309326,2.480403423309326
short_mid_long,whole_count_ce,a1,11,38,1.0,3.812868419089698,2.3714048644967005,0.000258383328385,0.0,0.0025838332392175,0.0,2.372389997754778,0.0833333333333333,2.4804680347442627,2.4804680347442627
short_mid_long,whole_count_ce,a1,11,39,1.0,3.812868419089698,2.3721043784523994,0.0002528503639116,0.0,0.0025285035325695,0.0,2.3730684693216664,0.0833333333333333,2.4766249656677246,2.4766249656677246
short_mid_long,whole_count_ce,a1,11,40,1.0,3.812868419089698,2.3702359035380325,0.0002541115685362,0.0,0.002541115682407,0.0,2.371204785348626,0.0833333333333333,2.476924180984497,2.476924180984497
short_mid_long,whole_count_ce,a1,11,41,1.0,3.812868419089698,2.3706276716340637,0.0002486329389857,0.0,0.0024863293000918,0.0,2.3715756526297014,0.0833333333333333,2.4764997959136963,2.4764997959136963
short_mid_long,whole_count_ce,a1,11,42,1.0,3.812868419089698,2.369654426065862,0.0002513643475501,0.0,0.0025136434375316,0.0,2.370612847415182,0.0833333333333333,2.476029634475708,2.476029634475708
short_mid_long,whole_count_ce,a1,11,43,1.0,3.812868419089698,2.3673789025173746,0.0002475890352309,0.0,0.0024758902908961,0.0,2.3683229621224067,0.0833333333333333,2.476200580596924,2.476200580596924
short_mid_long,whole_count_ce,a1,11,44,1.0,3.812868419089698,2.3679024799760566,0.0002435894377363,0.0,0.0024358943467815,0.0,2.36883131197931,0.0833333333333333,2.476524591445923,2.476524591445923
short_mid_long,whole_count_ce,a1,11,45,1.0,3.812868419089698,2.3662348339356574,0.0002444030975192,0.0,0.0024440308528665,0.0,2.3671667071094613,0.0833333333333333,2.4756431579589844,2.4756431579589844
short_mid_long,whole_count_ce,a1,11,46,1.0,3.812868419089698,2.365309325429946,0.0002389782052613,0.0,0.0023897819909493,0.0,2.366220498454345,0.0833333333333333,2.4744203090667725,2.4744203090667725
short_mid_long,whole_count_ce,a1,11,47,1.0,3.812868419089698,2.364217644098909,0.0002357350403772,0.0,0.0023573503413569,0.0,2.3651164772178137,0.0833333333333333,2.473548412322998,2.473548412322998
short_mid_long,whole_count_ce,a1,11,48,1.0,3.812868419089698,2.36368285234947,0.0002360254876636,0.0,0.0023602548827979,0.0,2.364582764712545,0.0833333333333333,2.4757213592529297,2.4757213592529297
short_mid_long,whole_count_ce,a1,11,49,1.0,3.812868419089698,2.365339396947838,0.0002338725697758,0.0,0.0023387257268623,0.0,2.3662311657365547,0.0833333333333333,2.475582361221313,2.475582361221313
short_mid_long,whole_count_ce,a1,11,50,1.0,3.812868419089698,2.364025306373373,0.0002338999479896,0.0,0.0023389993629798,0.0,2.364917110452964,0.0833333333333333,2.4758083820343018,2.4758083820343018
short_mid_long,whole_count_ce,a1,23,1,0.1,4.165302912749981,2.53056851270482,0.0010110520799411,0.0,0.0101105207737644,0.0,2.530989625572953,0.0972222222222222,2.47168517112732,2.47168517112732
short_mid_long,whole_count_ce,a1,23,2,0.2,4.165302912749981,2.454319901392505,0.0008826606394803,0.0,0.0088266060573791,0.0,2.455055187162967,0.1041666666666666,2.464895248413086,2.464895248413086
short_mid_long,whole_count_ce,a1,23,3,0.3,4.165302912749981,2.438335586948362,0.000785557365525,0.0,0.0078555733060044,0.0,2.4393171336687782,0.0972222222222222,2.4618589878082275,2.4618589878082275
short_mid_long,whole_count_ce,a1,23,4,0.4,4.165302912749981,2.4114158350506254,0.0007663823694444,0.0,0.0076638234133243,0.0,2.4126927093466466,0.0902777777777777,2.4630088806152344,2.4630088806152344
short_mid_long,whole_count_ce,a1,23,5,0.5,4.165302912749981,2.3921471077070384,0.0007943242915349,0.0,0.0079432426568717,0.0,2.393801395741264,0.0783730158730158,2.467856168746948,2.467856168746948
short_mid_long,whole_count_ce,a1,23,6,0.6,4.165302912749981,2.378995659429317,0.0007946441517485,0.0,0.0079464413636009,0.0,2.380981600428202,0.0783730158730158,2.466537952423096,2.466537952423096
short_mid_long,whole_count_ce,a1,23,7,0.7,4.165302912749981,2.362727014620415,0.0008014994907864,0.0,0.008014994803271,0.0,2.365063955369381,0.1041666666666666,2.455929517745972,2.455929517745972
short_mid_long,whole_count_ce,a1,23,8,0.8,4.165302912749981,2.3514234781675616,0.0007824166513588,0.0,0.0078241663853511,0.0,2.3540306505771182,0.0972222222222222,2.4651079177856445,2.4651079177856445
short_mid_long,whole_count_ce,a1,23,9,0.9,4.165302912749981,2.342909196568028,0.0007547478850974,0.0,0.00754747876221,0.0,2.345738611204899,0.0972222222222222,2.4636197090148926,2.4636197090148926
short_mid_long,whole_count_ce,a1,23,10,1.0,4.165302912749981,2.330514986625842,0.0007606086157071,0.0,0.0076060861688934,0.0,2.3336830939360205,0.1041666666666666,2.4564356803894043,2.4564356803894043
short_mid_long,whole_count_ce,a1,23,11,1.0,4.165302912749981,2.321480693997697,0.0007609931950252,0.0,0.0076099318081894,0.0,2.324650483369417,0.0972222222222222,2.454596757888794,2.454596757888794
short_mid_long,whole_count_ce,a1,23,12,1.0,4.165302912749981,2.315009882856359,0.0007322261885582,0.0,0.0073222618481134,0.0,2.318059844937874,0.0972222222222222,2.449908971786499,2.449908971786499
short_mid_long,whole_count_ce,a1,23,13,1.0,4.165302912749981,2.314894055335329,0.0006969610386225,0.0,0.0069696103349302,0.0,2.3177970444684184,0.0972222222222222,2.452385663986206,2.452385663986206
short_mid_long,whole_count_ce,a1,23,14,1.0,4.165302912749981,2.301581124635654,0.0007024509505658,0.0,0.0070245095036552,0.0,2.3045070577611613,0.1180555555555555,2.442556619644165,2.442556619644165
short_mid_long,whole_count_ce,a1,23,15,1.0,4.165302912749981,2.2932706215705805,0.000743636020488,0.0,0.0074363599167479,0.0,2.2963680843478023,0.1180555555555555,2.442885160446167,2.442885160446167
short_mid_long,whole_count_ce,a1,23,16,1.0,4.165302912749981,2.2901801275099003,0.0007556558089938,0.0,0.0075565579735229,0.0,2.293327700866069,0.1041666666666666,2.44620680809021,2.44620680809021
short_mid_long,whole_count_ce,a1,23,17,1.0,4.165302912749981,2.286020289599998,0.0007158731729138,0.0,0.0071587315111352,0.0,2.289002109928098,0.1111111111111111,2.448932409286499,2.448932409286499
short_mid_long,whole_count_ce,a1,23,18,1.0,4.165302912749981,2.2806577411658178,0.0007291653073511,0.0,0.0072916530083909,0.0,2.2836949070226304,0.1111111111111111,2.447571992874145,2.447571992874145
short_mid_long,whole_count_ce,a1,23,19,1.0,4.165302912749981,2.2778967034180684,0.0007446030218041,0.0,0.0074460301203605,0.0,2.280998171299132,0.0972222222222222,2.4505577087402344,2.4505577087402344
short_mid_long,whole_count_ce,a1,23,20,1.0,4.165302912749981,2.2687803964401483,0.0007104513375849,0.0,0.0071045133235532,0.0,2.2717395789036448,0.1041666666666666,2.443979263305664,2.443979263305664
short_mid_long,whole_count_ce,a1,23,21,1.0,4.165302912749981,2.2631450864821416,0.0007074135156282,0.0,0.0070741350911621,0.0,2.266091701290899,0.1111111111111111,2.44378399848938,2.44378399848938
short_mid_long,whole_count_ce,a1,23,22,1.0,4.165302912749981,2.2526801978454327,0.0007346786258873,0.0,0.0073467861691076,0.0,2.2557403409337424,0.1111111111111111,2.4433798789978027,2.4433798789978027
short_mid_long,whole_count_ce,a1,23,23,1.0,4.165302912749981,2.2484328328229477,0.0007586669891739,0.0,0.0075866696609123,0.0,2.251592921307904,0.1041666666666666,2.443657398223877,2.443657398223877
short_mid_long,whole_count_ce,a1,23,24,1.0,4.165302912749981,2.248054178569485,0.0007446032707145,0.0,0.0074460325256092,0.0,2.2511556686099343,0.1111111111111111,2.4421274662017822,2.4421274662017822
short_mid_long,whole_count_ce,a1,23,25,1.0,4.165302912749981,2.246691930724914,0.0006965520604763,0.0,0.0069655205672943,0.0,2.2495933067367737,0.1041666666666666,2.4437096118927,2.4437096118927
short_mid_long,whole_count_ce,a1,23,26,1.0,4.165302912749981,2.245377898421427,0.0006739678013213,0.0,0.0067396780921598,0.0,2.248185169265931,0.1041666666666666,2.443453550338745,2.443453550338745
short_mid_long,whole_count_ce,a1,23,27,1.0,4.165302912749981,2.2405568273055163,0.00067296105885,0.0,0.0067296105608497,0.0,2.2433598964842174,0.1041666666666666,2.438482522964477,2.438482522964477
short_mid_long,whole_count_ce,a1,23,28,1.0,4.165302912749981,2.230681362332658,0.000704953556086,0.0,0.0070495354957404,0.0,2.2336176672818944,0.1180555555555555,2.4355456829071045,2.4355456829071045
short_mid_long,whole_count_ce,a1,23,29,1.0,4.165302912749981,2.230954781251602,0.0006990653122879,0.0,0.0069906530844082,0.0,2.2338666210076075,0.1180555555555555,2.43661904335022,2.43661904335022
short_mid_long,whole_count_ce,a1,23,30,1.0,4.165302912749981,2.225814113518457,0.0006866353171137,0.0,0.0068663529985185,0.0,2.2286741331399207,0.1041666666666666,2.4380650520324707,2.4380650520324707
short_mid_long,whole_count_ce,a1,23,31,1.0,4.165302912749981,2.2265792541372598,0.0006829483062169,0.0,0.006829482938841,0.0,2.229423921407808,0.1041666666666666,2.438027620315552,2.438027620315552
short_mid_long,whole_count_ce,a1,23,32,1.0,4.165302912749981,2.2178327458655773,0.000696165790932,0.0,0.0069616578964968,0.0,2.22073252024626,0.1041666666666666,2.438267469406128,2.438267469406128
short_mid_long,whole_count_ce,a1,23,33,1.0,4.165302912749981,2.212929806077337,0.0007030412564959,0.0,0.0070304124978356,0.0,2.21585824034095,0.0922619047619047,2.4376981258392334,2.4376981258392334
short_mid_long,whole_count_ce,a1,23,34,1.0,4.165302912749981,2.2139385095356663,0.0006780775518175,0.0,0.0067807754017605,0.0,2.2167629559561224,0.0922619047619047,2.438596487045288,2.438596487045288
short_mid_long,whole_count_ce,a1,23,35,1.0,4.165302912749981,2.209862408252263,0.000708826569914,0.0,0.0070882655067847,0.0,2.2128148649317465,0.0922619047619047,2.439356803894043,2.439356803894043
short_mid_long,whole_count_ce,a1,23,36,1.0,4.165302912749981,2.209113260144416,0.0006824771386952,0.0,0.0068247712941811,0.0,2.211955991751561,0.0922619047619047,2.441062688827514,2.441062688827514
short_mid_long,whole_count_ce,a1,23,37,1.0,4.165302912749981,2.206606423793274,0.000662727370015,0.0,0.0066272735206182,0.0,2.209366882114115,0.0922619047619047,2.4413294792175293,2.4413294792175293
short_mid_long,whole_count_ce,a1,23,38,1.0,4.165302912749981,2.203610431306744,0.0006582565040996,0.0,0.0065825649364025,0.0,2.2063522724604647,0.1111111111111111,2.438396453857422,2.438396453857422
short_mid_long,whole_count_ce,a1,23,39,1.0,4.165302912749981,2.2029501985559774,0.0006693966079402,0.0,0.006693966052753,0.0,2.2057384279221552,0.1041666666666666,2.4385814666748047,2.4385814666748047
short_mid_long,whole_count_ce,a1,23,40,1.0,4.165302912749981,2.2024709374071603,0.0006794941597762,0.0,0.0067949415346456,0.0,2.20530120641147,0.1111111111111111,2.438052177429199,2.438052177429199
short_mid_long,whole_count_ce,a1,23,41,1.0,4.165302912749981,2.2014272803899138,0.0006571206235745,0.0,0.0065712062209177,0.0,2.204164425395237,0.1111111111111111,2.435908794403076,2.435908794403076
short_mid_long,whole_count_ce,a1,23,42,1.0,4.165302912749981,2.203138695321272,0.0006420712268541,0.0,0.0064207122231578,0.0,2.205813079610749,0.1180555555555555,2.4352080821990967,2.4352080821990967
short_mid_long,whole_count_ce,a1,23,43,1.0,4.165302912749981,2.199037206767964,0.0006690295026421,0.0,0.006690294930644,0.0,2.2018239358616367,0.1180555555555555,2.4389333724975586,2.4389333724975586
short_mid_long,whole_count_ce,a1,23,44,1.0,4.165302912749981,2.196301118437066,0.000685991253303,0.0,0.0068599125586783,0.0,2.19915849452585,0.1180555555555555,2.4344887733459477,2.4344887733459477
short_mid_long,whole_count_ce,a1,23,45,1.0,4.165302912749981,2.1995077884135683,0.0006517655669596,0.0,0.0065176554998822,0.0,2.2022226102996405,0.1180555555555555,2.4342522621154785,2.4342522621154785
short_mid_long,whole_count_ce,a1,23,46,1.0,4.165302912749981,2.195579605135368,0.000652948226407,0.0,0.0065294822266007,0.0,2.198299363640212,0.1111111111111111,2.437973976135254,2.437973976135254
short_mid_long,whole_count_ce,a1,23,47,1.0,4.165302912749981,2.197134034358696,0.0006447287947428,0.0,0.0064472877797181,0.0,2.199819532400975,0.1111111111111111,2.4367482662200928,2.4367482662200928
short_mid_long,whole_count_ce,a1,23,48,1.0,4.165302912749981,2.195704698152263,0.0006205737496615,0.0,0.0062057373920221,0.0,2.1982896065342654,0.1111111111111111,2.4357755184173584,2.4357755184173584
short_mid_long,whole_count_ce,a1,23,49,1.0,4.165302912749981,2.200396897665605,0.0006174747116796,0.0,0.0061747469352606,0.0,2.202968892049872,0.1111111111111111,2.436395168304444,2.436395168304444
short_mid_long,whole_count_ce,a1,23,50,1.0,4.165302912749981,2.196775207421045,0.000632747649712,0.0,0.0063274763925273,0.0,2.19941080703998,0.1111111111111111,2.44346284866333,2.44346284866333
short_mid_long,whole_count_ce,a1,37,1,0.1,3.4114948430243897,2.509989234953862,0.0007959515535194,0.0,0.0079595153043671,0.0,2.510260730520173,0.0833333333333333,2.4939160346984863,2.4939160346984863
short_mid_long,whole_count_ce,a1,37,2,0.2,3.4114948430243897,2.473383969160858,0.0006974542167048,0.0,0.0069745421768671,0.0,2.4738598321267946,0.0833333333333333,2.490022897720337,2.490022897720337
short_mid_long,whole_count_ce,a1,37,3,0.3,3.4114948430243897,2.46206506394273,0.000662982172097,0.0,0.0066298215799097,0.0,2.4627436015774173,0.0833333333333333,2.489762783050537,2.489762783050537
short_mid_long,whole_count_ce,a1,37,4,0.4,3.4114948430243897,2.452480463070632,0.0006913868487987,0.0,0.0069138683064515,0.0,2.4534239165754204,0.0833333333333333,2.4925084114074707,2.4925084114074707
short_mid_long,whole_count_ce,a1,37,5,0.5,3.4114948430243897,2.439957885446729,0.0006950036804921,0.0,0.006950036704335,0.0,2.441143417112183,0.0833333333333333,2.494493007659912,2.494493007659912
short_mid_long,whole_count_ce,a1,37,6,0.6,3.4114948430243897,2.4288949720215265,0.000673168419284,0.0,0.0067316840527813,0.0,2.4302728299224645,0.0833333333333333,2.4878294467926025,2.4878294467926025
short_mid_long,whole_count_ce,a1,37,7,0.7,3.4114948430243897,2.4177263903330606,0.0006461299967065,0.0,0.0064612998388284,0.0,2.419269392289311,0.0833333333333333,2.4822206497192383,2.4822206497192383
short_mid_long,whole_count_ce,a1,37,8,0.8,3.4114948430243897,2.4031947106379445,0.0006634571248699,0.0,0.0066345712497009,0.0,2.405005416443344,0.0833333333333333,2.477522373199463,2.477522373199463
short_mid_long,whole_count_ce,a1,37,9,0.9,3.4114948430243897,2.393849867346365,0.0006643794330464,0.0,0.0066437941287418,0.0,2.39588972664536,0.0902777777777777,2.471818447113037,2.471818447113037
short_mid_long,whole_count_ce,a1,37,10,1.0,3.4114948430243897,2.3839215731661825,0.0006503173202819,0.0,0.0065031729858182,0.0,2.3861401351922145,0.0902777777777777,2.471829652786255,2.471829652786255
short_mid_long,whole_count_ce,a1,37,11,1.0,3.4114948430243897,2.368706222245287,0.0006698174466236,0.0,0.0066981744405888,0.0,2.3709912739193992,0.0833333333333333,2.4798152446746826,2.4798152446746826
short_mid_long,whole_count_ce,a1,37,12,1.0,3.4114948430243897,2.355875808893096,0.0007031101755186,0.0,0.0070311015687414,0.0,2.35827445860779,0.0853174603174603,2.4671425819396973,2.4671425819396973
short_mid_long,whole_count_ce,a1,37,13,1.0,3.4114948430243897,2.3455963019865105,0.0007266253232955,0.0,0.007266253181661,0.0,2.348075192479381,0.1111111111111111,2.4525816440582275,2.4525816440582275
short_mid_long,whole_count_ce,a1,37,14,1.0,3.4114948430243897,2.3388525803610296,0.0007192318434622,0.0,0.0071923183645931,0.0,2.341306264141956,0.1041666666666666,2.454871892929077,2.454871892929077
short_mid_long,whole_count_ce,a1,37,15,1.0,3.4114948430243897,2.319081585911998,0.0007341762468869,0.0,0.0073417624195784,0.0,2.3215862202767457,0.1041666666666666,2.4568135738372803,2.4568135738372803
short_mid_long,whole_count_ce,a1,37,16,1.0,3.4114948430243897,2.3067186404013182,0.0007597633304672,0.0,0.0075976331862532,0.0,2.309310529810632,0.0972222222222222,2.456146478652954,2.456146478652954
short_mid_long,whole_count_ce,a1,37,17,1.0,3.4114948430243897,2.2985588749181383,0.000757437329595,0.0,0.0075743732959506,0.0,2.301142817725413,0.0972222222222222,2.4559969902038574,2.4559969902038574
short_mid_long,whole_count_ce,a1,37,18,1.0,3.4114948430243897,2.290440055466355,0.0007560251862942,0.0,0.007560251707054,0.0,2.293019194611173,0.1041666666666666,2.4521875381469727,2.4521875381469727
short_mid_long,whole_count_ce,a1,37,19,1.0,3.4114948430243897,2.2854278575943177,0.0007635070680858,0.0,0.0076350704085549,0.0,2.2880326211965434,0.1041666666666666,2.4609792232513428,2.4609792232513428
short_mid_long,whole_count_ce,a1,37,20,1.0,3.4114948430243897,2.2818523663867154,0.0007342184967322,0.0,0.0073421850324433,0.0,2.2843571772058326,0.0902777777777777,2.459826946258545,2.459826946258545
short_mid_long,whole_count_ce,a1,37,21,1.0,3.4114948430243897,2.2767749017364185,0.0007326296035147,0.0,0.0073262958161423,0.0,2.279274225645344,0.1041666666666666,2.465137243270874,2.465137243270874
short_mid_long,whole_count_ce,a1,37,22,1.0,3.4114948430243897,2.2728233140430025,0.0007360244095493,0.0,0.0073602439277835,0.0,2.275334294609687,0.0972222222222222,2.467203378677368,2.467203378677368
short_mid_long,whole_count_ce,a1,37,23,1.0,3.4114948430243897,2.2747797748513148,0.0007030114855315,0.0,0.0070301146501364,0.0,2.2771780872509115,0.1041666666666666,2.4660844802856445,2.4660844802856445
short_mid_long,whole_count_ce,a1,37,24,1.0,3.4114948430243897,2.2738604336310173,0.0006938200168874,0.0,0.0069381999478654,0.0,2.27622739501336,0.0902777777777777,2.467327833175659,2.467327833175659
short_mid_long,whole_count_ce,a1,37,25,1.0,3.4114948430243897,2.269596412136715,0.0007129116157665,0.0,0.0071291161112795,0.0,2.2720285270382328,0.0972222222222222,2.4776031970977783,2.4776031970977783
short_mid_long,whole_count_ce,a1,37,26,1.0,3.4114948430243897,2.25891555319965,0.0007499787264596,0.0,0.0074997872527746,0.0,2.261474115713123,0.1041666666666666,2.469773769378662,2.469773769378662
short_mid_long,whole_count_ce,a1,37,27,1.0,3.4114948430243897,2.2507063115525368,0.0007271447161648,0.0,0.0072714470314076,0.0,2.2531869600233647,0.1041666666666666,2.4696619510650635,2.4696619510650635
short_mid_long,whole_count_ce,a1,37,28,1.0,3.4114948430243897,2.251932737954512,0.0007139475563927,0.0,0.007139475368566,0.0,2.254368387278099,0.0972222222222222,2.4685280323028564,2.4685280323028564
short_mid_long,whole_count_ce,a1,37,29,1.0,3.4114948430243897,2.2435398224914342,0.0007303916707333,0.0,0.0073039166047438,0.0,2.2460315982569106,0.0902777777777777,2.475894927978516,2.475894927978516
short_mid_long,whole_count_ce,a1,37,30,1.0,3.4114948430243897,2.237556394734604,0.0007543630045221,0.0,0.0075436300965163,0.0,2.2401298742080926,0.0972222222222222,2.4743432998657227,2.4743432998657227
short_mid_long,whole_count_ce,a1,37,31,1.0,3.4114948430243897,2.2300731717206523,0.0007230212717403,0.0,0.007230212472751,0.0,2.23253975882998,0.0972222222222222,2.4712281227111816,2.4712281227111816
short_mid_long,whole_count_ce,a1,37,32,1.0,3.4114948430243897,2.229989009141512,0.0007145573973548,0.0,0.0071455738314855,0.0,2.2324267094393813,0.0972222222222222,2.4665656089782715,2.4665656089782715
short_mid_long,whole_count_ce,a1,37,33,1.0,3.4114948430243897,2.221207564135632,0.0007115992047806,0.0,0.0071159918662705,0.0,2.223635225000562,0.0972222222222222,2.463831663131714,2.463831663131714
