metric,D_mixed_to_raw,D_mixed_to_reconstruction
CNN_test_balanced_accuracy,0.11414141414141414,0.10984848484848482
CNN_test_accuracy,0.11904761904761904,0.11904761904761904
CNN_test_macro_f1,0.07146625205568295,0.0703898724732058
kNN_selected_k,20.0,20.0
kNN_test_balanced_accuracy,0.22948232323232323,0.11502525252525249
kNN_test_accuracy,0.23809523809523808,0.11904761904761904
kNN_test_macro_f1,0.21706079148607885,0.11271181615979031
prototype_test_balanced_accuracy,0.09375,0.0965909090909091
prototype_test_accuracy,0.10317460317460317,0.10317460317460317
prototype_test_macro_f1,0.04587921254587921,0.05302910052910054
linear_probe_test_balanced_accuracy,0.13516414141414143,0.11755050505050506
linear_probe_test_accuracy,0.1349206349206349,0.12698412698412698
linear_probe_test_macro_f1,0.11331243289447625,0.07000443973489141
retrieval_macro_mAP,0.09642765025559631,0.09628690347811543
retrieval_micro_mAP,0.09825991694301185,0.09796501466229862
SameLabel_macro_at_1,0.10890151515151514,0.11919191919191918
SameLabel_micro_at_1,0.1111111111111111,0.12698412698412698
D_intra_macro,0.041938543834767715,0.03636755857419804
D_inter_centroids,0.006080071907490492,0.00821918435394764
D_inter_over_D_intra,0.14497575145432304,0.2260031928443215
NMI_arithmetic,0.25511371814835476,0.3270513540593931
ARI,0.0243232124656635,0.06076037844179836
silhouette_macro,-0.31760454584486625,-0.35656345761315755
silhouette_micro,-0.32898394828456645,-0.3627430131477984
