architecture,train_regime,objective,n_splits,mean_val_ba,sd_val_ba,mean_test_ba,sd_test_ba,mean_test_accuracy,sd_test_accuracy,mean_test_macro_f1,sd_test_macro_f1,mean_best_epoch
1h1024,trainable_dynamics,timestep_ce,3,0.5748756803291116,0.0739379752051845,0.5553124526163743,0.06581868134047453,0.5608970942357575,0.06398414582908313,0.558189145054492,0.059410588913651925,57.666666666666664
1h1024,trainable_dynamics,whole_count_ce,3,0.5592167976359154,0.08361951168732915,0.5689209800729409,0.0824128305341605,0.5702565742540159,0.07886233198400897,0.5719437762560283,0.0768630061874048,91.66666666666667
1h1024,weight_only,timestep_ce,3,0.5942365504865504,0.0891302432750736,0.6018666654696067,0.08411270217202789,0.6090515745136788,0.08074659992787467,0.6025288740545063,0.08260960563861146,71.0
1h1024,weight_only,whole_count_ce,3,0.5596079233946881,0.06374453819384797,0.5879016635144086,0.09098205461352055,0.5901409422755761,0.09004793683940593,0.5878363922954103,0.08645871271456451,67.66666666666667
1h128,trainable_dynamics,timestep_ce,3,0.565414766333884,0.104238328936073,0.5970453316654297,0.06063064930809319,0.6006798384076926,0.05656886812096686,0.5980680321510605,0.05838202109166993,46.333333333333336
1h128,trainable_dynamics,whole_count_ce,3,0.5379489768582906,0.09479199986929882,0.5574392292529547,0.043976043618716536,0.5659567620312743,0.04335008434162239,0.5535737819254303,0.032706218650509294,59.666666666666664
1h128,weight_only,timestep_ce,3,0.5919352320700361,0.11617592947225847,0.5895941567510196,0.09233649305849961,0.6011349317633295,0.08732741031708272,0.5912893770773252,0.0902917422111213,128.0
1h128,weight_only,whole_count_ce,3,0.5469007005158967,0.09705009866693147,0.5557121958469998,0.07161259746532053,0.558544753579931,0.0640640022523252,0.5528897865405878,0.05888385880616679,69.33333333333333
1h256,trainable_dynamics,timestep_ce,3,0.5866820633977496,0.08532362756551069,0.5848918306638895,0.06651333798251105,0.5927204879475426,0.06306770279763946,0.5826874306298397,0.06394478528778318,41.666666666666664
1h256,trainable_dynamics,whole_count_ce,3,0.5672017411600745,0.0976378338878804,0.573171864899806,0.08027255501800026,0.5795805214577201,0.08098936026219478,0.5718105465802378,0.07620806421775202,76.0
1h256,weight_only,timestep_ce,3,0.5981007645223332,0.09053541369034197,0.6089342075861683,0.07804554655432755,0.6132871543408799,0.07736480309993576,0.6059253448265626,0.07600782721892264,137.66666666666666
1h256,weight_only,whole_count_ce,3,0.5542767259066279,0.07987421736710168,0.5955329211456662,0.10547736734043987,0.5986228642728483,0.10389209869894425,0.5964896338589017,0.09893229734934804,88.0
1h512,trainable_dynamics,timestep_ce,3,0.584908560031109,0.10134633790639139,0.5834707707869472,0.04286623478280056,0.5899557616458799,0.035679985115179697,0.5809658586574762,0.03806543450156087,44.0
1h512,trainable_dynamics,whole_count_ce,3,0.5841926319867498,0.08466034071490647,0.6048206355191649,0.05292334074890799,0.6100285560830812,0.05147620190581276,0.6003588942747727,0.052603660714769136,66.0
1h512,weight_only,timestep_ce,3,0.6023496633178006,0.08299377498563332,0.6069620013247463,0.07827254580341644,0.6111907182821797,0.07884512191952764,0.6066402869715991,0.07973844974391829,79.0
1h512,weight_only,whole_count_ce,3,0.5730576091482954,0.0827706764532681,0.6151383452241296,0.06260632242538094,0.6202052908360871,0.05846311212753504,0.6133824770956782,0.05508812425415083,100.66666666666667
2h128,trainable_dynamics,timestep_ce,3,0.5123736308172583,0.08362230569977641,0.4919666798343269,0.04165398135549989,0.5002135385490039,0.04148598161147417,0.48589269193443824,0.04173965377914952,116.66666666666667
2h128,trainable_dynamics,whole_count_ce,3,0.49272370240507496,0.07711512789363896,0.5252138497849282,0.1011816649408036,0.5179734542542346,0.10397287222299029,0.5198494074267971,0.09485636041862752,106.66666666666667
2h128,weight_only,timestep_ce,3,0.5599452948104909,0.11238454076370931,0.5307083054019329,0.08722131356750924,0.5354164787527436,0.08177882182892188,0.5243699597695158,0.08625033847320485,131.33333333333334
2h128,weight_only,whole_count_ce,3,0.5361947556800498,0.08880988160083107,0.5530477148124207,0.08904064456749827,0.5528275578843216,0.0806635544786317,0.5474931522293288,0.08415985597645258,152.66666666666666
