run_key,split_seed,architecture,objective,train_regime,best_epoch,sample_hash,history_file,test_balanced_accuracy,val_balanced_accuracy,tau_syn_min_ms,tau_syn_max_ms,hidden_1_tau_syn_mean_ms,hidden_1_tau_syn_min_ms,hidden_1_tau_syn_max_ms,hidden_2_tau_syn_mean_ms,hidden_2_tau_syn_min_ms,hidden_2_tau_syn_max_ms,baseline_test_ba,delta_vs_fixed250_linear
split101__1h1024__timestep_ce__trainable_dynamics,101,1h1024,timestep_ce,trainable_dynamics,63,904364bb02dc65c5d226b35e9acf226599682e62533d02759b60e22367517f34,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v2_bounded_tau_syn/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split101__1h1024__timestep_ce__trainable_dynamics.csv,0.521916971916972,0.618543956043956,20.0,300.0,140.30326161161065,54.61659622192383,248.95645141601562,,,,0.6591804029304028,-0.13726343101343086
split101__1h1024__timestep_ce__weight_only,101,1h1024,timestep_ce,weight_only,92,904364bb02dc65c5d226b35e9acf226599682e62533d02759b60e22367517f34,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v2_bounded_tau_syn/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split101__1h1024__timestep_ce__weight_only.csv,0.6049755799755799,0.6525814463314464,20.0,300.0,137.72865471879754,54.31342963722199,242.10347130039656,,,,0.6591804029304028,-0.05420482295482287
split101__1h1024__whole_count_ce__trainable_dynamics,101,1h1024,whole_count_ce,trainable_dynamics,34,904364bb02dc65c5d226b35e9acf226599682e62533d02759b60e22367517f34,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v2_bounded_tau_syn/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split101__1h1024__whole_count_ce__trainable_dynamics.csv,0.572748778998779,0.6297348484848485,20.0,300.0,139.57778444886208,54.32162857055664,247.82379150390625,,,,0.6591804029304028,-0.08643162393162385
split101__1h1024__whole_count_ce__weight_only,101,1h1024,whole_count_ce,weight_only,32,904364bb02dc65c5d226b35e9acf226599682e62533d02759b60e22367517f34,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v2_bounded_tau_syn/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split101__1h1024__whole_count_ce__weight_only.csv,0.5926129426129426,0.6161727161727162,20.0,300.0,137.72865471879754,54.31342963722199,242.10347130039656,,,,0.6591804029304028,-0.06656746031746019
split101__1h128__timestep_ce__trainable_dynamics,101,1h128,timestep_ce,trainable_dynamics,40,904364bb02dc65c5d226b35e9acf226599682e62533d02759b60e22367517f34,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v2_bounded_tau_syn/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split101__1h128__timestep_ce__trainable_dynamics.csv,0.5965583028083027,0.607730463980464,20.0,300.0,141.4983904659748,55.4589958190918,248.08200073242188,,,,0.6591804029304028,-0.06262210012210012
split101__1h128__timestep_ce__weight_only,101,1h128,timestep_ce,weight_only,139,904364bb02dc65c5d226b35e9acf226599682e62533d02759b60e22367517f34,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v2_bounded_tau_syn/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split101__1h128__timestep_ce__weight_only.csv,0.5501297313797314,0.6457951770451771,20.0,300.0,137.9726672773325,54.31342963722199,242.10347130039656,,,,0.6591804029304028,-0.10905067155067139
split101__1h128__whole_count_ce__trainable_dynamics,101,1h128,whole_count_ce,trainable_dynamics,27,904364bb02dc65c5d226b35e9acf226599682e62533d02759b60e22367517f34,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v2_bounded_tau_syn/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split101__1h128__whole_count_ce__trainable_dynamics.csv,0.5685439560439561,0.6123910811410812,20.0,300.0,140.443221449852,54.79375076293945,246.74932861328125,,,,0.6591804029304028,-0.09063644688644668
split101__1h128__whole_count_ce__weight_only,101,1h128,whole_count_ce,weight_only,81,904364bb02dc65c5d226b35e9acf226599682e62533d02759b60e22367517f34,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v2_bounded_tau_syn/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split101__1h128__whole_count_ce__weight_only.csv,0.5553495115995116,0.6215291652791652,20.0,300.0,137.9726672773325,54.31342963722199,242.10347130039656,,,,0.6591804029304028,-0.10383089133089118
split101__1h256__timestep_ce__trainable_dynamics,101,1h256,timestep_ce,trainable_dynamics,49,904364bb02dc65c5d226b35e9acf226599682e62533d02759b60e22367517f34,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v2_bounded_tau_syn/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split101__1h256__timestep_ce__trainable_dynamics.csv,0.5706272893772893,0.6141539016539017,20.0,300.0,140.6517900377512,55.268184661865234,249.4158477783203,,,,0.6591804029304028,-0.08855311355311346
split101__1h256__timestep_ce__weight_only,101,1h256,timestep_ce,weight_only,157,904364bb02dc65c5d226b35e9acf226599682e62533d02759b60e22367517f34,notebooks/artifacts/experiment_1_3_10_stacked_bin_snn_ablation/stacked250_v2_bounded_tau_syn/labels_A-B-C-D-E-G-H-I-J-K-L-X/histories/history_split101__1h256__timestep_ce__weight_only.csv,0.5872329059829059,0.6444826007326008,20.0,300.0,137.4840352904058,54.31342963722199,242.10347130039656,,,,0.6591804029304028,-0.07194749694749691
