epoch,architecture,objective,train_regime,mean_train_objective_loss,sd_train_objective_loss
1,1h1024,timestep_ce,trainable_dynamics,2.4849125055461836,9.738816577188844e-06
1,1h1024,timestep_ce,weight_only,2.4849125055461836,9.738816577188844e-06
1,1h1024,whole_count_ce,trainable_dynamics,2.4849967876267356,0.0001560823648100733
1,1h1024,whole_count_ce,weight_only,2.4849967876267356,0.0001560823648100733
1,1h128,timestep_ce,trainable_dynamics,2.484906874693385,2.247273784284244e-08
1,1h128,timestep_ce,weight_only,2.484906874693385,2.247273784284244e-08
1,1h128,whole_count_ce,trainable_dynamics,2.4849066734313965,0.0
1,1h128,whole_count_ce,weight_only,2.4849066734313965,0.0
1,1h256,timestep_ce,trainable_dynamics,2.484906874693385,2.247273784284244e-08
1,1h256,timestep_ce,weight_only,2.484906874693385,2.247273784284244e-08
1,1h256,whole_count_ce,trainable_dynamics,2.4849066734313965,0.0
1,1h256,whole_count_ce,weight_only,2.4849066734313965,0.0
1,1h512,timestep_ce,trainable_dynamics,2.484912718031195,1.011290183403044e-05
1,1h512,timestep_ce,weight_only,2.484912718031195,1.011290183403044e-05
1,1h512,whole_count_ce,trainable_dynamics,2.485000188162408,0.00016197226536893554
1,1h512,whole_count_ce,weight_only,2.485000188162408,0.00016197226536893554
1,2h128,timestep_ce,trainable_dynamics,2.484906874693385,2.247273784284244e-08
1,2h128,timestep_ce,weight_only,2.484906874693385,2.247273784284244e-08
1,2h128,whole_count_ce,trainable_dynamics,2.4849066734313965,0.0
1,2h128,whole_count_ce,weight_only,2.4849066734313965,0.0
2,1h1024,timestep_ce,trainable_dynamics,2.4843336620246315,0.0007060881689550066
2,1h1024,timestep_ce,weight_only,2.484433101268954,0.0005902490206914079
2,1h1024,whole_count_ce,trainable_dynamics,2.476742764286609,0.0076753073806019355
2,1h1024,whole_count_ce,weight_only,2.4774333627567366,0.007620563426664657
2,1h128,timestep_ce,trainable_dynamics,2.4848753912390493,5.454506755662046e-05
2,1h128,timestep_ce,weight_only,2.4848753912390493,5.454506755662046e-05
2,1h128,whole_count_ce,trainable_dynamics,2.4844028559598055,0.0008726374585361913
2,1h128,whole_count_ce,weight_only,2.4844028559598055,0.0008726374585361913
2,1h256,timestep_ce,trainable_dynamics,2.484689193888159,0.00020209531870710632
2,1h256,timestep_ce,weight_only,2.4847634941143344,0.0001377164342270803
2,1h256,whole_count_ce,trainable_dynamics,2.4814486671817373,0.0018012849794923123
2,1h256,whole_count_ce,weight_only,2.482247603198296,0.002646827418007236
2,1h512,timestep_ce,trainable_dynamics,2.4848339682185103,0.00012629184214252203
2,1h512,timestep_ce,weight_only,2.4847975115292216,0.00018943667986312253
2,1h512,whole_count_ce,trainable_dynamics,2.48384731080797,0.0018348698874145449
2,1h512,whole_count_ce,weight_only,2.483264024329908,0.002845151702785413
2,2h128,timestep_ce,trainable_dynamics,2.484709344659772,0.00034214617693349784
2,2h128,timestep_ce,weight_only,2.484672205306646,0.0004064734234375416
