metric,D_mixed_to_raw,D_mixed_to_reconstruction
CNN_test_balanced_accuracy,0.26553932178932177,0.13472222222222222
CNN_test_accuracy,0.2698412698412698,0.14285714285714285
CNN_test_macro_f1,0.259432449985989,0.11200390867057534
kNN_selected_k,20.0,20.0
kNN_test_balanced_accuracy,0.2878246753246753,0.26133658008658006
kNN_test_accuracy,0.2857142857142857,0.2698412698412698
kNN_test_macro_f1,0.2545775279327911,0.27135477582846
prototype_test_balanced_accuracy,0.2502886002886003,0.11186868686868688
prototype_test_accuracy,0.2619047619047619,0.11904761904761904
prototype_test_macro_f1,0.205659996873765,0.0918811334500162
linear_probe_test_balanced_accuracy,0.3628246753246753,0.15496031746031746
linear_probe_test_accuracy,0.36507936507936506,0.15873015873015872
linear_probe_test_macro_f1,0.3642881574946792,0.14750819356082515
retrieval_macro_mAP,0.12156118071308832,0.10689872388107495
retrieval_micro_mAP,0.12311626658023785,0.10890505265754763
SameLabel_macro_at_1,0.2214736652236652,0.2106691919191919
SameLabel_micro_at_1,0.21428571428571427,0.21428571428571427
D_intra_macro,0.05721325386811913,0.04935055573152585
D_inter_centroids,0.023277951404452324,0.011644696816802025
D_inter_over_D_intra,0.4068629177725654,0.23595877784872168
NMI_arithmetic,0.3725897300182399,0.3448703379916374
ARI,0.0833123550234938,0.06910624800077704
silhouette_macro,-0.21350278829219768,-0.24601475233598769
silhouette_micro,-0.22585387912949248,-0.2532763479255488
