seed,parameterization,n_banks,rank,delta_val_ba_vs_base,gap_to_fixed250_val_ba
11,factorized,4,4,0.01960678210678224,-0.014598364598364721
23,factorized,4,4,0.04199735449735431,0.0565596440596442
37,factorized,4,4,0.02920875420875413,0.025883838383838453
53,factorized,4,4,0.011441798941798864,0.027958152958153015
71,factorized,4,4,0.06081649831649838,-0.03118085618085631
11,factorized,4,8,0.038329725829725936,-0.03332130832130842
23,factorized,4,8,0.05188792688792665,0.04666907166907186
37,factorized,4,8,0.09600168350168348,-0.040909090909090895
53,factorized,4,8,0.013462000962000897,0.025937950937950982
71,factorized,4,8,0.038594276094276125,-0.008958633958634055
11,factorized,4,12,0.04729437229437228,-0.04228595478595476
23,factorized,4,12,0.045069745069744815,0.053487253487253694
37,factorized,4,12,0.054172679172679095,0.0009199134199134873
53,factorized,4,12,0.012704425204425163,0.026695526695526717
71,factorized,4,12,0.06313131313131315,-0.03349567099567108
11,factorized,8,4,0.004960317460317554,4.810004809996382e-05
23,factorized,8,4,0.036610149110148926,0.06194684944684958
37,factorized,8,4,0.03965247715247722,0.015440115440115365
53,factorized,8,4,0.02861351611351609,0.010786435786435788
71,factorized,8,4,0.03214285714285725,-0.00250721500721518
11,factorized,8,8,0.07970177970177961,-0.07469336219336209
23,factorized,8,8,0.07040644540644525,0.02815055315055326
37,factorized,8,8,0.07996632996632991,-0.024873737373737326
53,factorized,8,8,0.01872895622895615,0.02067099567099573
71,factorized,8,8,0.039225589225589275,-0.009589947089947204
11,factorized,8,12,0.052849927849927925,-0.04784151034151041
23,factorized,8,12,0.07507215007215007,0.023484848484848442
37,factorized,8,12,0.05493025493025483,0.0001623376623377526
53,factorized,8,12,0.03820947570947569,0.0011904761904761862
71,factorized,8,12,0.06051587301587302,-0.030880230880230952
11,factorized,16,4,0.05360750360750366,-0.04859908609908614
23,factorized,16,4,0.050330687830687726,0.048226310726310784
37,factorized,16,4,0.06881914381914378,-0.013726551226551198
53,factorized,16,4,0.030597643097643068,0.008802308802308811
71,factorized,16,4,0.053577441077441,-0.02394179894179893
11,factorized,16,8,0.0674963924963925,-0.06248797498797498
23,factorized,16,8,0.06686507936507924,0.03169191919191927
37,factorized,16,8,0.0668350168350168,-0.011742424242424221
53,factorized,16,8,0.030002405002404975,0.009397546897546905
71,factorized,16,8,0.0680976430976431,-0.03846200096200103
11,factorized,16,12,0.06627585377585377,-0.06126743626743625
23,factorized,16,12,0.07011183261183251,0.028445165945165996
37,factorized,16,12,0.05294612794612796,0.0021464646464646187
53,factorized,16,12,0.030633718133718124,0.008766233766233755
71,factorized,16,12,0.0668350168350168,-0.03719937469937473
