seed,comparison,delta_test_balanced_accuracy
11,selected_minus_what,0.006175768675768634
11,selected_minus_fixed250,-0.15720460095460087
11,anchor_k4_r4_minus_what,0.04545940170940166
23,selected_minus_what,0.0351662226662226
23,selected_minus_fixed250,-0.0664418914418915
23,anchor_k4_r4_minus_what,0.03335553335553332
37,selected_minus_what,0.10582681207681216
37,selected_minus_fixed250,0.0007575757575758457
37,anchor_k4_r4_minus_what,0.008121739371739323
53,selected_minus_what,0.004254773004773005
53,selected_minus_fixed250,-0.08288239538239528
53,anchor_k4_r4_minus_what,0.03542776667776665
71,selected_minus_what,0.003289072039072083
71,selected_minus_fixed250,-0.15855533355533352
71,anchor_k4_r4_minus_what,0.02561951936951945
