stage,parameterization,seed,n_banks,rank,best_epoch,trainable_parameter_count,base_val_balanced_accuracy,fixed250_val_balanced_accuracy,val_balanced_accuracy,delta_val_ba_vs_base,gap_to_fixed250_val_ba,oracle_gap_recovery_fraction,val_accuracy,val_macro_f1,val_loss,test_evaluated
capacity,factorized,11,4,4,58,2497,0.5202801827801827,0.5252886002886002,0.539886964886965,0.01960678210678224,-0.014598364598364721,3.914765906362564,0.5317460317460317,0.533696334388554,3.1183297634124756,False
capacity,factorized,23,4,4,80,2497,0.5130050505050506,0.6115620490620491,0.5550024050024049,0.04199735449735431,0.0565596440596442,0.42612249877989095,0.5476190476190477,0.537567403356877,3.0063722133636475,False
capacity,factorized,37,4,4,49,2497,0.49065055315055317,0.5457431457431458,0.5198593073593073,0.02920875420875413,0.025883838383838453,0.5301757066462935,0.5158730158730159,0.5076386558804252,3.0135021209716797,False
capacity,factorized,53,4,4,87,2497,0.4717652717652718,0.5111652236652237,0.48320707070707064,0.011441798941798864,0.027958152958153015,0.29040134289638153,0.48412698412698413,0.48087158062964513,3.243668556213379,False
capacity,factorized,71,4,4,92,2497,0.5133357383357383,0.5429713804713804,0.5741522366522367,0.06081649831649838,-0.03118085618085631,2.05214039358897,0.5714285714285714,0.5674612759757687,2.6945273876190186,False
capacity,factorized,11,4,8,67,4737,0.5202801827801827,0.5252886002886002,0.5586099086099087,0.038329725829725936,-0.03332130832130842,7.653061224489803,0.5476190476190477,0.5667776299180473,3.363030195236206,False
capacity,factorized,23,4,8,97,4737,0.5130050505050506,0.6115620490620491,0.5648929773929773,0.05188792688792665,0.04666907166907186,0.5264763299170305,0.5634920634920635,0.5540921225989874,2.642409086227417,False
capacity,factorized,37,4,8,82,4737,0.49065055315055317,0.5457431457431458,0.5866522366522366,0.09600168350168348,-0.040909090909090895,1.7425515660809778,0.5873015873015873,0.5707669603200457,2.9646096229553223,False
capacity,factorized,53,4,8,76,4737,0.4717652717652718,0.5111652236652237,0.4852272727272727,0.013462000962000897,0.025937950937950982,0.34167556844193353,0.48412698412698413,0.4792965233118686,3.28886342048645,False
capacity,factorized,71,4,8,96,4737,0.5133357383357383,0.5429713804713804,0.5519300144300144,0.038594276094276125,-0.008958633958634055,1.302292554270647,0.5476190476190477,0.5543703346503185,2.702141284942627,False
capacity,factorized,11,4,12,66,6977,0.5202801827801827,0.5252886002886002,0.567574555074555,0.04729437229437228,-0.04228595478595476,9.44297719087633,0.5555555555555556,0.5701934479540257,3.2749547958374023,False
capacity,factorized,23,4,12,98,6977,0.5130050505050506,0.6115620490620491,0.5580747955747954,0.045069745069744815,0.053487253487253694,0.45729624206929975,0.5555555555555556,0.5481978222682807,2.7375707626342773,False
capacity,factorized,37,4,12,61,6977,0.49065055315055317,0.5457431457431458,0.5448232323232323,0.054172679172679095,0.0009199134199134873,0.9833024118738393,0.5476190476190477,0.5261335440487716,3.1212847232818604,False
capacity,factorized,53,4,12,94,6977,0.4717652717652718,0.5111652236652237,0.48446969696969694,0.012704425204425163,0.026695526695526717,0.3224477338623522,0.48412698412698413,0.48364429731538366,3.5422511100769043,False
capacity,factorized,71,4,12,87,6977,0.5133357383357383,0.5429713804713804,0.5764670514670515,0.06313131313131315,-0.03349567099567108,2.13024954351796,0.5793650793650794,0.5937952222092195,2.831798553466797,False
capacity,factorized,11,8,4,33,4993,0.5202801827801827,0.5252886002886002,0.5252405002405003,0.004960317460317554,4.810004809996382e-05,0.9903961584634022,0.5158730158730159,0.5228897672375933,3.214501142501831,False
capacity,factorized,23,8,4,98,4993,0.5130050505050506,0.6115620490620491,0.5496151996151996,0.036610149110148926,0.06194684944684958,0.37146168862859763,0.5476190476190477,0.552434357954953,2.7244772911071777,False
capacity,factorized,37,8,4,77,4993,0.49065055315055317,0.5457431457431458,0.5303030303030304,0.03965247715247722,0.015440115440115365,0.7197424424315194,0.5317460317460317,0.5167279942279942,3.1901769638061523,False
capacity,factorized,53,8,4,82,4993,0.4717652717652718,0.5111652236652237,0.5003787878787879,0.02861351611351609,0.010786435786435788,0.7262322600335722,0.5,0.5000342433624168,3.2310807704925537,False
capacity,factorized,71,8,4,64,4993,0.5133357383357383,0.5429713804713804,0.5454785954785956,0.03214285714285725,-0.00250721500721518,1.0846013390140048,0.5317460317460317,0.5304072849548676,2.5341269969940186,False
capacity,factorized,11,8,8,86,9473,0.5202801827801827,0.5252886002886002,0.5999819624819623,0.07970177970177961,-0.07469336219336209,15.91356542617042,0.5952380952380952,0.6039020669770098,3.045238494873047,False
capacity,factorized,23,8,8,99,9473,0.5130050505050506,0.6115620490620491,0.5834114959114959,0.07040644540644525,0.02815055315055326,0.7143728648121023,0.5793650793650794,0.5784237724505593,2.8232924938201904,False
capacity,factorized,37,8,8,82,9473,0.49065055315055317,0.5457431457431458,0.5706168831168831,0.07996632996632991,-0.024873737373737326,1.4514896867838036,0.5714285714285714,0.5715361727579268,3.1376917362213135,False
capacity,factorized,53,8,8,96,9473,0.4717652717652718,0.5111652236652237,0.4904942279942279,0.01872895622895615,0.02067099567099573,0.47535479932855007,0.49206349206349204,0.48243957829464607,3.156230926513672,False
capacity,factorized,71,8,8,95,9473,0.5133357383357383,0.5429713804713804,0.5525613275613276,0.039225589225589275,-0.009589947089947204,1.3235950497058273,0.5555555555555556,0.5546732738228902,2.8696789741516113,False
capacity,factorized,11,8,12,53,13953,0.5202801827801827,0.5252886002886002,0.5731301106301107,0.052849927849927925,-0.04784151034151041,10.552220888355338,0.5634920634920635,0.5752260590697796,3.0500710010528564,False
capacity,factorized,23,8,12,99,13953,0.5130050505050506,0.6115620490620491,0.5880772005772007,0.07507215007215007,0.023484848484848442,0.761713030746706,0.5793650793650794,0.5823209783831448,2.9616241455078125,False
capacity,factorized,37,8,12,79,13953,0.49065055315055317,0.5457431457431458,0.545580808080808,0.05493025493025483,0.0001623376623377526,0.9970533668012643,0.5476190476190477,0.5449215536710489,3.3946263790130615,False
capacity,factorized,53,8,12,95,13953,0.4717652717652718,0.5111652236652237,0.5099747474747475,0.03820947570947569,0.0011904761904761862,0.9697848313749429,0.5079365079365079,0.500835455394279,3.3307416439056396,False
capacity,factorized,71,8,12,67,13953,0.5133357383357383,0.5429713804713804,0.5738516113516113,0.06051587301587302,-0.030880230880230952,2.0419963481436443,0.5714285714285714,0.5760867102872713,2.574341058731079,False
capacity,factorized,11,16,4,66,9985,0.5202801827801827,0.5252886002886002,0.5738876863876864,0.05360750360750366,-0.04859908609908614,10.703481392557014,0.5634920634920635,0.5758376920562276,3.0610368251800537,False
capacity,factorized,23,16,4,95,9985,0.5130050505050506,0.6115620490620491,0.5633357383357384,0.050330687830687726,0.048226310726310784,0.5106759394826736,0.5555555555555556,0.5445559234603857,2.756894588470459,False
capacity,factorized,37,16,4,89,9985,0.49065055315055317,0.5457431457431458,0.559469696969697,0.06881914381914378,-0.013726551226551198,1.2491542071374,0.5634920634920635,0.55190401430513,3.1020920276641846,False
capacity,factorized,53,16,4,97,9985,0.4717652717652718,0.5111652236652237,0.5023629148629148,0.030597643097643068,0.008802308802308811,0.7765908744086675,0.5079365079365079,0.501687431186832,3.2342021465301514,False
capacity,factorized,71,16,4,93,9985,0.5133357383357383,0.5429713804713804,0.5669131794131793,0.053577441077441,-0.02394179894179893,1.8078717792655725,0.5634920634920635,0.5734683591203861,2.762359380722046,False
capacity,factorized,11,16,8,62,18945,0.5202801827801827,0.5252886002886002,0.5877765752765752,0.0674963924963925,-0.06248797498797498,13.476590636254478,0.5793650793650794,0.6011512078288855,3.025566339492798,False
capacity,factorized,23,16,8,98,18945,0.5130050505050506,0.6115620490620491,0.5798701298701299,0.06686507936507924,0.03169191919191927,0.6784407027818439,0.5714285714285714,0.5814339841553016,2.648301839828491,False
capacity,factorized,37,16,8,87,18945,0.49065055315055317,0.5457431457431458,0.55748556998557,0.0668350168350168,-0.011742424242424221,1.2131398013750951,0.5555555555555556,0.5514498919405693,3.2873237133026123,False
capacity,factorized,53,16,8,69,18945,0.4717652717652718,0.5111652236652237,0.5017676767676768,0.030002405002404975,0.009397546897546905,0.7614832900961389,0.5,0.49048587976438296,3.176021099090576,False
capacity,factorized,71,16,8,85,18945,0.5133357383357383,0.5429713804713804,0.5814333814333814,0.0680976430976431,-0.03846200096200103,2.297829174274706,0.5793650793650794,0.581221491734985,2.8379526138305664,False
capacity,factorized,11,16,12,66,27905,0.5202801827801827,0.5252886002886002,0.5865560365560365,0.06627585377585377,-0.06126743626743625,13.232893157262879,0.5793650793650794,0.5936352189212601,2.979214906692505,False
capacity,factorized,23,16,12,99,27905,0.5130050505050506,0.6115620490620491,0.5831168831168831,0.07011183261183251,0.028445165945165996,0.7113836017569539,0.5793650793650794,0.5740160454253872,2.885166883468628,False
capacity,factorized,37,16,12,92,27905,0.49065055315055317,0.5457431457431458,0.5435966810966811,0.05294612794612796,0.0021464646464646187,0.9610389610389616,0.5396825396825397,0.5352176388781248,3.8863110542297363,False
capacity,factorized,53,16,12,95,27905,0.4717652717652718,0.5111652236652237,0.5023989898989899,0.030633718133718124,0.008766233766233755,0.7775064855791243,0.5,0.49340639866955666,3.454191207885742,False
capacity,factorized,71,16,12,82,27905,0.5133357383357383,0.5429713804713804,0.5801707551707551,0.0668350168350168,-0.03719937469937473,2.2552241834043456,0.5793650793650794,0.5773424047513976,2.843207359313965,False
