seed,selected_stage,parameterization,n_banks,rank,trainable_parameter_count,base_test_balanced_accuracy,fixed250_test_balanced_accuracy,anchor_k4_r4_test_balanced_accuracy,selected_test_balanced_accuracy,selected_delta_test_ba_vs_base,selected_gap_to_fixed250_test_ba,oracle_gap_recovery_fraction,selected_test_accuracy,selected_test_macro_f1,selected_test_loss,fixed250_streaming_max_abs_logit_delta
11,capacity,factorized,4,8,4737,0.44606851481851484,0.6094488844488843,0.4915279165279165,0.45224428349428347,0.006175768675768634,0.15720460095460087,0.03779994310051229,0.4589041095890411,0.43689609560299214,3.7610619754007417,1.4210854715202004e-14
23,capacity,factorized,4,8,4737,0.49152375402375403,0.5931318681318681,0.5248792873792874,0.5266899766899766,0.0351662226662226,0.0664418914418915,0.34609659843508833,0.5342465753424658,0.5222115947468007,3.807053324294417,1.0658141036401503e-14
37,capacity,factorized,4,8,4737,0.48224345099345095,0.5873126873126873,0.4903651903651903,0.5880702630702631,0.10582681207681216,-0.0007575757575758457,1.0072102528210454,0.5958904109589042,0.5764124858693765,2.9149708062002104,1.0658141036401503e-14
53,capacity,factorized,4,8,4737,0.49863955488955486,0.5857767232767231,0.5340673215673215,0.5028943278943279,0.004254773004773005,0.08288239538239528,0.04882845154972419,0.5136986301369864,0.4763468013468013,3.924672923675955,1.0658141036401503e-14
71,capacity,factorized,4,8,4737,0.43863775113775105,0.6004821567321567,0.4642572705072705,0.44192682317682314,0.003289072039072083,0.15855533355533352,0.020322432690782946,0.4520547945205479,0.4378606915100724,3.4168565469245387,1.2434497875801753e-14
