seed,metric,bank,elapsed_seconds,value
11,gate_entropy_mean,,,1.2054529136739243
11,bank_utilization,0.0,,0.05690854870775348
11,bank_utilization,1.0,,0.0
11,bank_utilization,2.0,,0.6650927766732936
11,bank_utilization,3.0,,0.27799867461895295
11,bank_probability_by_elapsed_time,0.0,0.125,0.16919966135174036
11,bank_probability_by_elapsed_time,1.0,0.125,0.11391763854771852
11,bank_probability_by_elapsed_time,2.0,0.125,0.5176820643246174
11,bank_probability_by_elapsed_time,3.0,0.125,0.19920063950121403
11,bank_probability_by_elapsed_time,0.0,0.375,0.19035003520548344
11,bank_probability_by_elapsed_time,1.0,0.375,0.10116739384829998
11,bank_probability_by_elapsed_time,2.0,0.375,0.5704293102025986
11,bank_probability_by_elapsed_time,3.0,0.375,0.13805325608700514
11,bank_probability_by_elapsed_time,0.0,0.625,0.19421676468244942
11,bank_probability_by_elapsed_time,1.0,0.625,0.16187056803058103
11,bank_probability_by_elapsed_time,2.0,0.625,0.35446838736278086
11,bank_probability_by_elapsed_time,3.0,0.625,0.28944428741317435
11,bank_probability_by_elapsed_time,0.0,0.875,0.08658500218137595
11,bank_probability_by_elapsed_time,1.0,0.875,0.11112240891916403
11,bank_probability_by_elapsed_time,2.0,0.875,0.4527704748696576
11,bank_probability_by_elapsed_time,3.0,0.875,0.34952213718385833
11,bank_probability_by_elapsed_time,0.0,1.125,0.14892962587297343
11,bank_probability_by_elapsed_time,1.0,1.125,0.09064980840227406
11,bank_probability_by_elapsed_time,2.0,1.125,0.2524425036018821
11,bank_probability_by_elapsed_time,3.0,1.125,0.5079780513693573
11,bank_probability_by_elapsed_time,0.0,1.375,0.31245075078944934
11,bank_probability_by_elapsed_time,1.0,1.375,0.11308876624186072
11,bank_probability_by_elapsed_time,2.0,1.375,0.11877790666299379
11,bank_probability_by_elapsed_time,3.0,1.375,0.4556825869380476
11,bank_probability_by_elapsed_time,0.0,1.625,0.4492136347785737
11,bank_probability_by_elapsed_time,1.0,1.625,0.14472544363256798
11,bank_probability_by_elapsed_time,2.0,1.625,0.12600794374870444
11,bank_probability_by_elapsed_time,3.0,1.625,0.28005297872626667
11,bank_probability_by_elapsed_time,0.0,1.875,0.5795342598642622
11,bank_probability_by_elapsed_time,1.0,1.875,0.10030703764586221
11,bank_probability_by_elapsed_time,2.0,1.875,0.11282023347559429
11,bank_probability_by_elapsed_time,3.0,1.875,0.20733847646486192
11,bank_probability_by_elapsed_time,0.0,2.125,0.644006629784902
11,bank_probability_by_elapsed_time,1.0,2.125,0.0805404211084048
11,bank_probability_by_elapsed_time,2.0,2.125,0.12648062159617743
11,bank_probability_by_elapsed_time,3.0,2.125,0.14897234241167703
11,bank_probability_by_elapsed_time,0.0,2.375,0.0
11,bank_probability_by_elapsed_time,1.0,2.375,0.0
11,bank_probability_by_elapsed_time,2.0,2.375,0.0
11,bank_probability_by_elapsed_time,3.0,2.375,0.0
11,bank_probability_by_elapsed_time,0.0,2.625,0.0
11,bank_probability_by_elapsed_time,1.0,2.625,0.0
11,bank_probability_by_elapsed_time,2.0,2.625,0.0
11,bank_probability_by_elapsed_time,3.0,2.625,0.0
11,bank_probability_by_elapsed_time,0.0,2.875,0.0
11,bank_probability_by_elapsed_time,1.0,2.875,0.0
11,bank_probability_by_elapsed_time,2.0,2.875,0.0
11,bank_probability_by_elapsed_time,3.0,2.875,0.0
11,bank_probability_by_elapsed_time,0.0,3.125,0.0
11,bank_probability_by_elapsed_time,1.0,3.125,0.0
11,bank_probability_by_elapsed_time,2.0,3.125,0.0
11,bank_probability_by_elapsed_time,3.0,3.125,0.0
11,bank_probability_by_elapsed_time,0.0,3.375,0.0
11,bank_probability_by_elapsed_time,1.0,3.375,0.0
11,bank_probability_by_elapsed_time,2.0,3.375,0.0
11,bank_probability_by_elapsed_time,3.0,3.375,0.0
11,bank_probability_by_elapsed_time,0.0,3.625,0.0
11,bank_probability_by_elapsed_time,1.0,3.625,0.0
11,bank_probability_by_elapsed_time,2.0,3.625,0.0
11,bank_probability_by_elapsed_time,3.0,3.625,0.0
