seed,axis,position,model,balanced_accuracy
37,relative_fraction,0.1,what_only,0.08333333333333333
37,relative_fraction,0.1,selected,0.10119047619047618
37,relative_fraction,0.2,what_only,0.12654012654012656
37,relative_fraction,0.2,selected,0.12012987012987013
37,relative_fraction,0.3,what_only,0.14326645576645577
37,relative_fraction,0.3,selected,0.1324925074925075
37,relative_fraction,0.4,what_only,0.24802211677211675
37,relative_fraction,0.4,selected,0.1724941724941725
37,relative_fraction,0.5,what_only,0.2666978854478854
37,relative_fraction,0.5,selected,0.19750388500388502
37,relative_fraction,0.6,what_only,0.2538773726273726
37,relative_fraction,0.6,selected,0.21016622266622265
37,relative_fraction,0.7,what_only,0.2948967698967699
37,relative_fraction,0.7,selected,0.28585858585858587
37,relative_fraction,0.8,what_only,0.4065379065379065
37,relative_fraction,0.8,selected,0.3961580086580086
37,relative_fraction,0.9,what_only,0.47796439671439667
37,relative_fraction,0.9,selected,0.5085699023199023
37,relative_fraction,1.0,what_only,0.48224345099345095
37,relative_fraction,1.0,selected,0.5880702630702631
37,elapsed_seconds,0.25,what_only,0.10278055278055277
37,elapsed_seconds,0.25,selected,0.08757908757908757
37,elapsed_seconds,0.5,what_only,0.19778069153069153
37,elapsed_seconds,0.5,selected,0.19055944055944055
37,elapsed_seconds,0.75,what_only,0.2683004495504495
37,elapsed_seconds,0.75,selected,0.2547799422799422
37,elapsed_seconds,1.0,what_only,0.33369547119547116
37,elapsed_seconds,1.0,selected,0.3428841991341991
37,elapsed_seconds,1.25,what_only,0.4133942446442446
37,elapsed_seconds,1.25,selected,0.451057276057276
37,elapsed_seconds,1.5,what_only,0.4786720224220224
37,elapsed_seconds,1.5,selected,0.5464035964035964
37,elapsed_seconds,1.75,what_only,0.47629107004107
37,elapsed_seconds,1.75,selected,0.5702131202131201
37,elapsed_seconds,2.0,what_only,0.48224345099345095
37,elapsed_seconds,2.0,selected,0.5880702630702631
37,elapsed_seconds,2.25,what_only,0.48224345099345095
