seed,bank,effective_rank,singular_values_json
11,0,8,"[2.269214391708374, 1.9092780351638794, 1.515453577041626, 0.7892512083053589, 0.505913496017456, 0.38559484481811523, 0.30318042635917664, 0.08407983928918839, 6.449790390661292e-08, 5.115878920491923e-08, 3.861327613208232e-08, 3.6342658660259985e-08]"
11,1,8,"[1.7175184488296509, 1.349516749382019, 1.0642693042755127, 0.5770653486251831, 0.39813458919525146, 0.36447638273239136, 0.21685513854026794, 0.17827746272087097, 3.756885291750223e-08, 3.370140433389679e-08, 2.712243230007516e-08, 2.3673482729691386e-08]"
11,2,8,"[2.8994760513305664, 2.0667295455932617, 1.6856653690338135, 1.223779320716858, 0.6778861880302429, 0.510847806930542, 0.28391262888908386, 0.18045805394649506, 6.635296756485332e-08, 5.578064588007692e-08, 4.648692453201875e-08, 3.7894121618364807e-08]"
11,3,8,"[1.7714394330978394, 1.2758917808532715, 0.8191758394241333, 0.7305705547332764, 0.32246312499046326, 0.20025599002838135, 0.16496209800243378, 0.07074139267206192, 4.778870987820483e-08, 3.6916425472099945e-08, 2.905204254943783e-08, 2.2163453294865576e-08]"
23,0,8,"[4.034273624420166, 1.376206398010254, 1.1999602317810059, 0.7812889814376831, 0.4826258420944214, 0.29330480098724365, 0.1952490508556366, 0.12064189463853836, 7.632641541022167e-08, 5.83006887211468e-08, 4.227167593739978e-08, 3.3562713497303776e-08]"
23,1,8,"[2.789660930633545, 2.295989990234375, 1.6952571868896484, 1.3287489414215088, 0.597723126411438, 0.5333879590034485, 0.21301349997520447, 0.14286990463733673, 6.541083763522693e-08, 5.5942368959449595e-08, 4.7053614338210537e-08, 4.456116187157022e-08]"
23,2,8,"[2.801100730895996, 1.6261259317398071, 0.9060691595077515, 0.8148112297058105, 0.6577683687210083, 0.3056623339653015, 0.2164100706577301, 0.0682196393609047, 7.700477056005184e-08, 4.4697486600853154e-08, 4.304209966221606e-08, 2.69903939198457e-08]"
23,3,8,"[3.2799925804138184, 1.5343858003616333, 1.216621994972229, 0.5637094974517822, 0.47900551557540894, 0.4325151741504669, 0.24427984654903412, 0.09568998217582703, 4.6728679592433764e-08, 3.370836054727988e-08, 3.056672781553971e-08, 2.367595719476867e-08]"
37,0,8,"[3.3086750507354736, 2.1484124660491943, 1.4308381080627441, 0.7576358914375305, 0.5988940000534058, 0.4412004351615906, 0.2905951738357544, 0.08721991628408432, 7.279463432041666e-08, 6.44720330456039e-08, 5.105529865545577e-08, 3.7843570055429154e-08]"
37,1,8,"[2.5093438625335693, 1.7393587827682495, 1.2334314584732056, 1.024364948272705, 0.6944296360015869, 0.48877790570259094, 0.2955016493797302, 0.09439748525619507, 6.884251746441805e-08, 5.805671676739621e-08, 4.12163068119753e-08, 3.851559782219738e-08]"
37,2,8,"[2.527606248855591, 2.3215670585632324, 1.3978271484375, 0.9760571122169495, 0.6048529148101807, 0.46475428342819214, 0.2155693620443344, 0.1614430844783783, 7.753366304541487e-08, 5.3298577995519736e-08, 4.3330654619921916e-08, 3.330250564204107e-08]"
37,3,8,"[2.9883387088775635, 1.6040124893188477, 1.180784821510315, 0.9842014908790588, 0.5234134793281555, 0.2900781035423279, 0.20004646480083466, 0.07856465131044388, 5.493186705507469e-08, 4.5980840468473616e-08, 4.004258968848262e-08, 3.3789888220780995e-08]"
53,0,8,"[3.274519920349121, 2.7960832118988037, 1.4461736679077148, 1.1880149841308594, 0.7997705936431885, 0.4710107147693634, 0.15147745609283447, 0.06442536413669586, 7.553328629228417e-08, 6.629549176295768e-08, 5.073314923720318e-08, 4.2543550904383665e-08]"
53,1,8,"[2.7760608196258545, 1.9411656856536865, 1.7373915910720825, 1.1096066236495972, 0.8780718445777893, 0.49066850543022156, 0.28319916129112244, 0.14967957139015198, 6.197824120590667e-08, 5.005092162946312e-08, 4.892968874514736e-08, 4.471206338507727e-08]"
53,2,8,"[2.1074745655059814, 1.7027008533477783, 0.987880527973175, 0.7406724691390991, 0.5129432082176208, 0.490739643573761, 0.4618622660636902, 0.13805696368217468, 4.843136380827673e-08, 4.395644026544687e-08, 3.699188155792399e-08, 3.440234053186941e-08]"
53,3,8,"[1.8661378622055054, 1.3488821983337402, 0.8395882248878479, 0.6711151599884033, 0.4745176136493683, 0.39945393800735474, 0.19389747083187103, 0.09149875491857529, 3.605251208682603e-08, 2.9634499298936134e-08, 2.812907773375173e-08, 1.805168103885535e-08]"
71,0,8,"[3.7778968811035156, 1.9004780054092407, 1.7040268182754517, 1.0068492889404297, 0.9212139844894409, 0.6612760424613953, 0.27997875213623047, 0.11646289378404617, 8.690078345807706e-08, 6.606388325280932e-08, 4.980929091402686e-08, 3.6613840848076507e-08]"
71,1,8,"[2.342378854751587, 1.8339745998382568, 1.5116268396377563, 0.8685104846954346, 0.7280126810073853, 0.6547585725784302, 0.5001621842384338, 0.28099894523620605, 5.3210673200965175e-08, 4.7682146231409206e-08, 4.317470470027729e-08, 4.245778484346374e-08]"
71,2,8,"[2.9608092308044434, 2.2722532749176025, 1.3778117895126343, 0.9951321482658386, 0.3955259919166565, 0.2844443917274475, 0.09989897906780243, 0.07453243434429169, 7.034144289264077e-08, 6.046224854117099e-08, 4.881274762169596e-08, 3.6336704312134316e-08]"
71,3,8,"[3.026137113571167, 1.5361831188201904, 1.1958317756652832, 1.0188612937927246, 0.609394371509552, 0.3886534571647644, 0.25845232605934143, 0.11824697256088257, 6.948516073634892e-08, 4.849749046798024e-08, 4.22658068544024e-08, 3.115044577839399e-08]"
