seed,base_val_balanced_accuracy,fixed250_val_balanced_accuracy,fixed250_train_balanced_accuracy,fixed250_gap_over_base,offline_streaming_max_abs_logit_delta,test_evaluated
11,0.5202801827801827,0.5252886002886002,0.996545584045584,0.0050084175084175175,1.0658141036401503e-14,False
23,0.5130050505050506,0.6115620490620491,0.996545584045584,0.09855699855699851,3.197442310920451e-14,False
37,0.49065055315055317,0.5457431457431458,0.996545584045584,0.05509259259259258,1.2434497875801753e-14,False
53,0.4717652717652718,0.5111652236652237,0.996545584045584,0.03939995189995188,1.4210854715202004e-14,False
71,0.5133357383357383,0.5429713804713804,0.9916750460868108,0.02963564213564207,1.4210854715202004e-14,False
