seed,parameterization,n_banks,rank,oracle_gap_recovery_fraction
11,factorized,4,4,3.914765906362564
23,factorized,4,4,0.42612249877989095
37,factorized,4,4,0.5301757066462935
53,factorized,4,4,0.29040134289638153
71,factorized,4,4,2.05214039358897
11,factorized,4,8,7.653061224489803
23,factorized,4,8,0.5264763299170305
37,factorized,4,8,1.7425515660809778
53,factorized,4,8,0.34167556844193353
71,factorized,4,8,1.302292554270647
11,factorized,4,12,9.44297719087633
23,factorized,4,12,0.45729624206929975
37,factorized,4,12,0.9833024118738393
53,factorized,4,12,0.3224477338623522
71,factorized,4,12,2.13024954351796
11,factorized,8,4,0.9903961584634022
23,factorized,8,4,0.37146168862859763
37,factorized,8,4,0.7197424424315194
53,factorized,8,4,0.7262322600335722
71,factorized,8,4,1.0846013390140048
11,factorized,8,8,15.91356542617042
23,factorized,8,8,0.7143728648121023
37,factorized,8,8,1.4514896867838036
53,factorized,8,8,0.47535479932855007
71,factorized,8,8,1.3235950497058273
11,factorized,8,12,10.552220888355338
23,factorized,8,12,0.761713030746706
37,factorized,8,12,0.9970533668012643
53,factorized,8,12,0.9697848313749429
71,factorized,8,12,2.0419963481436443
11,factorized,16,4,10.703481392557014
23,factorized,16,4,0.5106759394826736
37,factorized,16,4,1.2491542071374
53,factorized,16,4,0.7765908744086675
71,factorized,16,4,1.8078717792655725
11,factorized,16,8,13.476590636254478
23,factorized,16,8,0.6784407027818439
37,factorized,16,8,1.2131398013750951
53,factorized,16,8,0.7614832900961389
71,factorized,16,8,2.297829174274706
11,factorized,16,12,13.232893157262879
23,factorized,16,12,0.7113836017569539
37,factorized,16,12,0.9610389610389616
53,factorized,16,12,0.7775064855791243
71,factorized,16,12,2.2552241834043456
