family,architecture,objective,variant,hidden_cap,output_cap,seed,primary_readout,best_epoch,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1,native_test_ba,test_last_hidden_events_per_neuron_second
direct_snn,short_mid_long,whole_count_ce,binary,1,1.0,11,output_whole_count,99,0.4937809655402339,0.21005291005291005,0.23356782106782112,0.23972602739726026,0.20091655710548365,0.23356782106782112,5.432571239231279
direct_snn,short_mid_long,whole_count_ce,binary,1,1.0,23,output_whole_count,100,0.4789709719307955,0.2223544973544974,0.2314713064713065,0.23972602739726026,0.22908555953147983,0.2314713064713065,4.828528827037774
direct_snn,short_mid_long,whole_count_ce,binary,1,1.0,37,output_whole_count,93,0.47825744515899865,0.18888888888888888,0.2239607614607614,0.2328767123287671,0.2212189366375932,0.2239607614607614,5.190772034459907
direct_snn,short_mid_long,whole_count_ce,binary,1,1.0,53,output_whole_count,79,0.40166671645613056,0.16481481481481483,0.19787851037851037,0.2054794520547945,0.1603434189767861,0.19787851037851037,3.531022200132538
direct_snn,short_mid_long,whole_count_ce,binary,1,1.0,71,output_whole_count,100,0.5151540270321895,0.2064814814814815,0.20673701298701297,0.21232876712328766,0.15694752604340492,0.20673701298701297,4.86174618952949
direct_snn,short_mid_long,whole_count_ce,multi_h,31,1.0,11,output_whole_count,87,0.3323723719450689,0.1792989417989418,0.1896714396714397,0.19863013698630136,0.15983384094378492,0.1896714396714397,19.346380053015242
direct_snn,short_mid_long,whole_count_ce,multi_h,31,1.0,23,output_whole_count,78,0.3510970354405441,0.20429894179894179,0.2253496503496503,0.2328767123287671,0.21518623653629718,0.2253496503496503,18.323765738899933
direct_snn,short_mid_long,whole_count_ce,multi_h,31,1.0,37,output_whole_count,99,0.4060393736100388,0.18055555555555555,0.20719696969696969,0.2191780821917808,0.1691395243550979,0.20719696969696969,22.01685719019218
direct_snn,short_mid_long,whole_count_ce,multi_h,31,1.0,53,output_whole_count,53,0.284206044012509,0.16203703703703703,0.16341991341991344,0.17123287671232876,0.13014415144791489,0.16341991341991344,9.589131875414182
direct_snn,short_mid_long,whole_count_ce,multi_h,31,1.0,71,output_whole_count,79,0.4147088876135306,0.18564814814814812,0.15705960705960706,0.1643835616438356,0.11844559761226427,0.15705960705960706,26.11178760768721
direct_snn,short_mid_long,timestep_ce,binary,1,1.0,11,output_whole_count,92,0.2812271937480039,0.1388888888888889,0.10984848484848485,0.1095890410958904,0.06411782661782661,0.10984848484848485,1.5637839628893306
direct_snn,short_mid_long,timestep_ce,binary,1,1.0,23,output_whole_count,68,0.26760543642549744,0.16666666666666666,0.1327922077922078,0.136986301369863,0.105014022643333,0.1327922077922078,2.4341865473823723
direct_snn,short_mid_long,timestep_ce,binary,1,1.0,37,output_whole_count,98,0.3161350596944859,0.17003968253968252,0.1525974025974026,0.1643835616438356,0.10327731861655165,0.1525974025974026,2.611994698475812
direct_snn,short_mid_long,timestep_ce,binary,1,1.0,53,output_whole_count,69,0.2680333441633386,0.1550925925925926,0.13844488844488845,0.14383561643835616,0.09975019286382307,0.13844488844488845,1.6695245195493704
direct_snn,short_mid_long,timestep_ce,binary,1,1.0,71,output_whole_count,83,0.25689740264495914,0.13194444444444445,0.12683982683982684,0.13013698630136986,0.09254795821462487,0.12683982683982684,1.755881378396289
direct_snn,short_mid_long,timestep_ce,multi_h,31,1.0,11,output_whole_count,82,0.18687180699296865,0.17361111111111113,0.14393939393939395,0.1506849315068493,0.10642397055440533,0.14393939393939395,10.286737905897946
direct_snn,short_mid_long,timestep_ce,multi_h,31,1.0,23,output_whole_count,82,0.22929085994984996,0.15972222222222224,0.15151515151515152,0.15753424657534246,0.09354432830042586,0.15151515151515152,12.135271703114645
direct_snn,short_mid_long,timestep_ce,multi_h,31,1.0,37,output_whole_count,97,0.20783193570929423,0.13333333333333333,0.11655844155844154,0.11643835616438356,0.08014583560350151,0.11655844155844154,5.142726971504308
direct_snn,short_mid_long,timestep_ce,multi_h,31,1.0,53,output_whole_count,92,0.23355671536743494,0.15972222222222224,0.13874458874458873,0.14383561643835616,0.10891095165288715,0.13874458874458873,7.088055003313452
direct_snn,short_mid_long,timestep_ce,multi_h,31,1.0,71,output_whole_count,90,0.2323054248576816,0.16203703703703703,0.12932900432900432,0.13013698630136986,0.07522264631043257,0.12932900432900432,4.738278661365142
direct_snn,short_mid,whole_count_ce,binary,1,1.0,11,output_whole_count,94,0.8463737042286712,0.4611291486291486,0.44162920412920403,0.4589041095890411,0.40599204327613236,0.44162920412920403,9.800985752153744
direct_snn,short_mid,whole_count_ce,binary,1,1.0,23,output_whole_count,99,0.8572575776291481,0.4654641654641655,0.4869241869241869,0.5068493150684932,0.4850058415622141,0.4869241869241869,10.414057322730285
direct_snn,short_mid,whole_count_ce,binary,1,1.0,37,output_whole_count,73,0.7795633534356115,0.43659211159211164,0.4688956876456876,0.4863013698630137,0.46124847777932093,0.4688956876456876,11.094599072233267
