system,representation,feature_dim,probe_C,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1
Raw Fixed250 + Linear,fixed250,480,0.1,0.9983660130718954,0.5872895622895623,0.548475135975136,0.5547945205479452,0.5372171762394753
Raw Relative10 + Linear,relative10,300,0.01,0.9679618100489326,0.6227392977392977,0.739481351981352,0.7602739726027398,0.745278773202482
