family,architecture,objective,variant,primary_readout,test_ba_mean,test_ba_std,test_ba_count,test_accuracy_mean,test_accuracy_std,test_accuracy_count,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_count,native_test_ba_mean,native_test_ba_std,native_test_ba_count,test_last_hidden_events_per_neuron_second_mean,test_last_hidden_events_per_neuron_second_std,test_last_hidden_events_per_neuron_second_count
direct_snn,mid_long,timestep_ce,binary,output_whole_count,0.304034299034299,0.04499709450891024,5,0.3191780821917808,0.04809175255216975,5,0.24047667463581818,0.04524224384826945,5,0.304034299034299,0.04499709450891024,5,8.332745195493704,1.7774558891017616,5
direct_snn,mid_long,timestep_ce,multi_h,output_whole_count,0.23867701742701747,0.05881563841906779,5,0.24794520547945204,0.06647718114274481,5,0.1786886750523323,0.06440818917632836,5,0.23867701742701747,0.05881563841906779,5,21.273194168323393,8.2503607679744,5
direct_snn,mid_long,whole_count_ce,binary,output_whole_count,0.4007899045399045,0.030636873602220924,5,0.41369863013698627,0.03445144202728572,5,0.38111260300777505,0.03067497778057106,5,0.4007899045399045,0.030636873602220924,5,11.645352882703778,0.866013032118293,5
direct_snn,mid_long,whole_count_ce,multi_h,output_whole_count,0.41376248751248745,0.011693478772687041,5,0.4246575342465754,0.013698630136986294,5,0.39336744795535605,0.020866650535008118,5,0.41376248751248745,0.011693478772687041,5,35.10123426110006,6.136572756054524,5
direct_snn,short_mid,timestep_ce,binary,output_whole_count,0.28146353646353645,0.025164972124454517,5,0.3,0.025351719894961284,5,0.22171685672284677,0.031169667317996214,5,0.28146353646353645,0.025164972124454517,5,3.6394797879390324,0.9188306844144388,5
direct_snn,short_mid,timestep_ce,multi_h,output_whole_count,0.2921688034188034,0.027146058580313902,5,0.3095890410958904,0.031536614885537904,5,0.23596006754944962,0.017160761925657738,5,0.2921688034188034,0.027146058580313902,5,10.080790258449303,2.396412265996358,5
direct_snn,short_mid,whole_count_ce,binary,output_whole_count,0.4572102897102897,0.026984676709423797,5,0.4726027397260274,0.03175896745032776,5,0.43588158749750877,0.040385863215967883,5,0.4572102897102897,0.026984676709423797,5,9.917577866136515,0.8742927475240446,5
direct_snn,short_mid,whole_count_ce,multi_h,output_whole_count,0.4345732045732046,0.024066565755432073,5,0.4506849315068493,0.028816005435565232,5,0.41372690078006535,0.02103926128645102,5,0.4345732045732046,0.024066565755432073,5,37.278851888667994,5.736842139830583,5
direct_snn,short_mid_long,timestep_ce,binary,output_whole_count,0.1321045621045621,0.015681832788252165,5,0.136986301369863,0.0199690133385113,5,0.09294146379123183,0.016806935103807676,5,0.1321045621045621,0.015681832788252165,5,2.007074221338635,0.48007749933679783,5
direct_snn,short_mid_long,timestep_ce,multi_h,output_whole_count,0.136017316017316,0.013544016655857808,5,0.13972602739726026,0.016495335039441502,5,0.09284954648433048,0.015122899246498653,5,0.136017316017316,0.013544016655857808,5,7.878214049039099,3.236122762923654,5
direct_snn,short_mid_long,whole_count_ce,binary,output_whole_count,0.21872308247308245,0.01572004141028016,5,0.22602739726027393,0.01606306767062818,5,0.19370239965894953,0.03363374125849329,5,0.21872308247308245,0.01572004141028016,5,4.768928098078197,0.735349063816526,5
direct_snn,short_mid_long,whole_count_ce,multi_h,output_whole_count,0.18853951603951605,0.02883724553927074,5,0.19726027397260273,0.029618833301972132,5,0.15854987017907182,0.0378705191586698,5,0.18853951603951605,0.02883724553927074,5,19.077584493041748,6.098986889033757,5
snn_fixed250_linear,local_234x2,timestep_ce,binary,l2_fixed250_ordered_linear,0.5954369241869242,0.03205844044596807,5,0.6109589041095891,0.03472271741270295,5,0.5910230949477635,0.03942696065511801,5,0.4981725219225219,0.031295242162194,5,16.34900596421471,1.048724614067082,5
snn_fixed250_linear,local_234x2,timestep_ce,multi_h,l2_fixed250_ordered_linear,0.6009740259740259,0.014364008097057668,5,0.6178082191780823,0.01561884143971421,5,0.6047355850148824,0.016878208425171997,5,0.4963834776334776,0.023188374923695753,5,61.28023525513585,5.162454971818301,5
