comparison,candidate,baseline,objective,variant,seed,delta_test_ba
add_long_layer,short_mid_long,short_mid,whole_count_ce,binary,11,-0.20806138306138292
add_long_layer,short_mid_long,short_mid,whole_count_ce,binary,23,-0.2554528804528804
add_long_layer,short_mid_long,short_mid,whole_count_ce,binary,37,-0.2449349261849262
add_long_layer,short_mid_long,short_mid,whole_count_ce,binary,53,-0.22075979575979573
add_long_layer,short_mid_long,short_mid,whole_count_ce,binary,71,-0.2632270507270507
add_long_layer,short_mid_long,short_mid,whole_count_ce,multi_h,11,-0.28625679875679866
add_long_layer,short_mid_long,short_mid,whole_count_ce,multi_h,23,-0.19178668553668557
add_long_layer,short_mid_long,short_mid,whole_count_ce,multi_h,37,-0.2211954711954712
add_long_layer,short_mid_long,short_mid,whole_count_ce,multi_h,53,-0.26959915084915087
add_long_layer,short_mid_long,short_mid,whole_count_ce,multi_h,71,-0.2613303363303363
add_long_layer,short_mid_long,short_mid,timestep_ce,binary,11,-0.14723609723609726
add_long_layer,short_mid_long,short_mid,timestep_ce,binary,23,-0.18035298035298036
add_long_layer,short_mid_long,short_mid,timestep_ce,binary,37,-0.10175657675657676
add_long_layer,short_mid_long,short_mid,timestep_ce,binary,53,-0.15151515151515155
add_long_layer,short_mid_long,short_mid,timestep_ce,binary,71,-0.16593406593406593
add_long_layer,short_mid_long,short_mid,timestep_ce,multi_h,11,-0.14201631701631698
add_long_layer,short_mid_long,short_mid,timestep_ce,multi_h,23,-0.12978687978687978
add_long_layer,short_mid_long,short_mid,timestep_ce,multi_h,37,-0.15120226995226999
add_long_layer,short_mid_long,short_mid,timestep_ce,multi_h,53,-0.1483363858363858
add_long_layer,short_mid_long,short_mid,timestep_ce,multi_h,71,-0.20941558441558442
shift_coverage_longer,mid_long,short_mid,whole_count_ce,binary,11,-0.009625097125097015
shift_coverage_longer,mid_long,short_mid,whole_count_ce,binary,23,-0.06979409479409482
shift_coverage_longer,mid_long,short_mid,whole_count_ce,binary,37,-0.06768578643578649
shift_coverage_longer,mid_long,short_mid,whole_count_ce,binary,53,-0.06793345543345541
shift_coverage_longer,mid_long,short_mid,whole_count_ce,binary,71,-0.06706349206349205
shift_coverage_longer,mid_long,short_mid,whole_count_ce,multi_h,11,-0.04235001110001102
shift_coverage_longer,mid_long,short_mid,whole_count_ce,multi_h,23,-0.002605727605727637
shift_coverage_longer,mid_long,short_mid,whole_count_ce,multi_h,37,-0.01877289377289376
shift_coverage_longer,mid_long,short_mid,whole_count_ce,multi_h,53,-0.02830780330780336
shift_coverage_longer,mid_long,short_mid,whole_count_ce,multi_h,71,-0.01201714951714955
shift_coverage_longer,mid_long,short_mid,timestep_ce,binary,11,0.08909840159840154
shift_coverage_longer,mid_long,short_mid,timestep_ce,binary,23,0.01503219003219003
shift_coverage_longer,mid_long,short_mid,timestep_ce,binary,37,-0.004437229437229434
shift_coverage_longer,mid_long,short_mid,timestep_ce,binary,53,-0.029004329004329032
shift_coverage_longer,mid_long,short_mid,timestep_ce,binary,71,0.04216477966477966
shift_coverage_longer,mid_long,short_mid,timestep_ce,multi_h,11,-0.029861111111111116
shift_coverage_longer,mid_long,short_mid,timestep_ce,multi_h,23,-0.13465700965700964
shift_coverage_longer,mid_long,short_mid,timestep_ce,multi_h,37,-0.034023615273615276
shift_coverage_longer,mid_long,short_mid,timestep_ce,multi_h,53,-0.03924547674547671
shift_coverage_longer,mid_long,short_mid,timestep_ce,multi_h,71,-0.029671717171717127
