family,architecture,objective,seed,delta_test_ba_multi_h_minus_binary
direct_snn,short_mid_long,whole_count_ce,11,-0.04389638139638141
direct_snn,short_mid_long,whole_count_ce,23,-0.006121656121656216
direct_snn,short_mid_long,whole_count_ce,37,-0.016763791763791724
direct_snn,short_mid_long,whole_count_ce,53,-0.03445859695859693
direct_snn,short_mid_long,whole_count_ce,71,-0.04967740592740591
direct_snn,short_mid_long,timestep_ce,11,0.0340909090909091
direct_snn,short_mid_long,timestep_ce,23,0.018722943722943725
direct_snn,short_mid_long,timestep_ce,37,-0.03603896103896105
direct_snn,short_mid_long,timestep_ce,53,0.00029970029970027845
direct_snn,short_mid_long,timestep_ce,71,0.0024891774891774854
direct_snn,short_mid,whole_count_ce,11,0.03429903429903436
direct_snn,short_mid,whole_count_ce,23,-0.06978785103785101
direct_snn,short_mid,whole_count_ce,37,-0.040503246753246736
direct_snn,short_mid,whole_count_ce,53,0.014380758130758176
direct_snn,short_mid,whole_count_ce,71,-0.05157412032412029
direct_snn,short_mid,timestep_ce,11,0.028871128871128804
direct_snn,short_mid,timestep_ce,23,-0.03184315684315686
direct_snn,short_mid,timestep_ce,37,0.01340673215673216
direct_snn,short_mid,timestep_ce,53,-0.0028790653790654597
direct_snn,short_mid,timestep_ce,71,0.045970695970695974
direct_snn,mid_long,whole_count_ce,11,0.0015741203241203539
direct_snn,mid_long,whole_count_ce,23,-0.00259948384948383
direct_snn,mid_long,whole_count_ce,37,0.00840964590964599
direct_snn,mid_long,whole_count_ce,53,0.05400641025641023
direct_snn,mid_long,whole_count_ce,71,0.00347222222222221
direct_snn,mid_long,timestep_ce,11,-0.09008838383838386
direct_snn,mid_long,timestep_ce,23,-0.18153235653235653
direct_snn,mid_long,timestep_ce,37,-0.016179653679653683
direct_snn,mid_long,timestep_ce,53,-0.013120213120213137
direct_snn,mid_long,timestep_ce,71,-0.025865800865800814
snn_fixed250_linear,local_234x2,timestep_ce,11,-0.01907467532467555
snn_fixed250_linear,local_234x2,timestep_ce,23,0.017052392052392173
snn_fixed250_linear,local_234x2,timestep_ce,37,-0.02029914529914545
snn_fixed250_linear,local_234x2,timestep_ce,53,-0.008026695526695438
snn_fixed250_linear,local_234x2,timestep_ce,71,0.05803363303363318
