transition,count,fraction
reference_wrong -> query_wrong,44,0.3464566929133858
reference_correct -> query_wrong,38,0.2992125984251969
reference_correct -> query_correct,27,0.2125984251968504
reference_wrong -> query_correct,18,0.14173228346456693
