label_idx,label,samples,mean_embedding_cosine_similarity,mean_embedding_cosine_distance,prediction_agreement
0,A,11,0.9315100433922958,0.06848995660770417,0.36363636363636365
1,B,9,0.9000034421496584,0.09999655785034157,0.3333333333333333
2,C,12,0.9005600991693203,0.09943990083067956,0.75
3,D,11,0.8988558922486898,0.10114410775131018,0.09090909090909091
4,E,12,0.9212596089664954,0.07874039103350462,0.3333333333333333
5,G,12,0.9235212424949318,0.0764787575050682,0.16666666666666666
6,H,12,0.9262375166233262,0.07376248337667383,0.3333333333333333
7,I,11,0.9046518664421409,0.09534813355785907,0.0
8,J,12,0.8939269479538082,0.10607305204619168,0.08333333333333333
9,K,12,0.942373640341332,0.057626359658667976,0.4166666666666667
10,L,6,0.909885365960266,0.09011463403973402,0.3333333333333333
11,X,7,0.9155396864877686,0.08446031351223139,0.0
