residual_mode,alpha,seed,val_balanced_accuracy,val_loss,source
anchor_only,,11,0.6027597402597403,2.1884961128234863,Exp5.5 Clock
anchor_only,,23,0.532058682058682,1.8602558374404907,Exp5.5 Clock
anchor_only,,37,0.5908429533429534,1.660753607749939,Exp5.5 Clock
anchor_only,,53,0.5879148629148628,1.878587245941162,Exp5.5 Clock
anchor_only,,71,0.5622414622414622,1.4812681674957275,Exp5.5 Clock
coordinate,0.25,11,0.6097041847041847,2.194814920425415,Exp5.5.2 Clock screen
coordinate,0.25,23,0.532058682058682,1.8602558374404907,Exp5.5.2 Clock screen
coordinate,0.25,37,0.5914742664742665,1.6586896181106567,Exp5.5.2 Clock screen
coordinate,0.25,53,0.5879148629148628,1.878587245941162,Exp5.5.2 Clock screen
coordinate,0.25,71,0.5622414622414622,1.4812681674957275,Exp5.5.2 Clock screen
coordinate,0.5,11,0.6097041847041847,2.1955716609954834,Exp5.5.2 Clock screen
coordinate,0.5,23,0.532058682058682,1.8602558374404907,Exp5.5.2 Clock screen
coordinate,0.5,37,0.5914742664742665,1.6601035594940186,Exp5.5.2 Clock screen
coordinate,0.5,53,0.5879148629148628,1.878587245941162,Exp5.5.2 Clock screen
coordinate,0.5,71,0.5622414622414622,1.4812681674957275,Exp5.5.2 Clock screen
coordinate,1.0,11,0.6097041847041847,2.209902286529541,Exp5.5.2 Clock screen
coordinate,1.0,23,0.532058682058682,1.8602558374404907,Exp5.5.2 Clock screen
coordinate,1.0,37,0.5908429533429534,1.660753607749939,Exp5.5.2 Clock screen
coordinate,1.0,53,0.5879148629148628,1.878587245941162,Exp5.5.2 Clock screen
coordinate,1.0,71,0.5622414622414622,1.4812681674957275,Exp5.5.2 Clock screen
reset,0.25,11,0.6097041847041847,2.1850290298461914,Exp5.5.2 Clock screen
reset,0.25,23,0.532058682058682,1.851379632949829,Exp5.5.2 Clock screen
reset,0.25,37,0.5914742664742665,1.6608856916427612,Exp5.5.2 Clock screen
reset,0.25,53,0.5879148629148628,1.878587245941162,Exp5.5.2 Clock screen
reset,0.25,71,0.5628727753727755,1.4891786575317383,Exp5.5.2 Clock screen
reset,0.5,11,0.6097041847041847,2.189742088317871,Exp5.5.2 Clock screen
reset,0.5,23,0.532058682058682,1.8602558374404907,Exp5.5.2 Clock screen
reset,0.5,37,0.5914742664742665,1.6675183773040771,Exp5.5.2 Clock screen
reset,0.5,53,0.5879148629148628,1.878587245941162,Exp5.5.2 Clock screen
reset,0.5,71,0.5628727753727754,1.4801890850067139,Exp5.5.2 Clock screen
reset,1.0,11,0.6166486291486292,2.194973945617676,Exp5.5.2 Clock screen
reset,1.0,23,0.532058682058682,1.8602558374404907,Exp5.5.2 Clock screen
reset,1.0,37,0.5928631553631553,1.638231635093689,Exp5.5.2 Clock screen
reset,1.0,53,0.5879148629148628,1.878587245941162,Exp5.5.2 Clock screen
reset,1.0,71,0.5628727753727754,1.482103943824768,Exp5.5.2 Clock screen
lag1,0.25,11,0.6097041847041847,2.1864562034606934,Exp5.5.2 Clock screen
lag1,0.25,23,0.532058682058682,1.8499600887298584,Exp5.5.2 Clock screen
lag1,0.25,37,0.5914742664742665,1.6621936559677124,Exp5.5.2 Clock screen
lag1,0.25,53,0.5879148629148628,1.878587245941162,Exp5.5.2 Clock screen
lag1,0.25,71,0.5628727753727754,1.4797108173370361,Exp5.5.2 Clock screen
lag1,0.5,11,0.6097041847041847,2.187617301940918,Exp5.5.2 Clock screen
lag1,0.5,23,0.532058682058682,1.8602558374404907,Exp5.5.2 Clock screen
lag1,0.5,37,0.5914742664742664,1.662735939025879,Exp5.5.2 Clock screen
lag1,0.5,53,0.5879148629148628,1.878587245941162,Exp5.5.2 Clock screen
lag1,0.5,71,0.5628727753727754,1.480512022972107,Exp5.5.2 Clock screen
lag1,1.0,11,0.6027597402597403,2.1884963512420654,Exp5.5.2 Clock screen
lag1,1.0,23,0.532058682058682,1.8602558374404907,Exp5.5.2 Clock screen
lag1,1.0,37,0.5914742664742665,1.65985107421875,Exp5.5.2 Clock screen
lag1,1.0,53,0.5879148629148628,1.878587245941162,Exp5.5.2 Clock screen
lag1,1.0,71,0.5628727753727754,1.48134183883667,Exp5.5.2 Clock screen
ordered,0.25,11,0.6097041847041847,2.1974878311157227,Exp5.5.2 Clock screen
ordered,0.25,23,0.532058682058682,1.8602558374404907,Exp5.5.2 Clock screen
ordered,0.25,37,0.5914742664742665,1.6638059616088867,Exp5.5.2 Clock screen
ordered,0.25,53,0.5879148629148628,1.878587245941162,Exp5.5.2 Clock screen
ordered,0.25,71,0.5622414622414622,1.4812681674957275,Exp5.5.2 Clock screen
ordered,0.5,11,0.6097041847041847,2.1952028274536133,Exp5.5.2 Clock screen
ordered,0.5,23,0.532058682058682,1.8602558374404907,Exp5.5.2 Clock screen
ordered,0.5,37,0.5998075998075998,1.7169240713119507,Exp5.5.2 Clock screen
ordered,0.5,53,0.5879148629148628,1.878587245941162,Exp5.5.2 Clock screen
ordered,0.5,71,0.5628727753727754,1.4822629690170288,Exp5.5.2 Clock screen
ordered,1.0,11,0.6097041847041847,2.184925079345703,Exp5.5.2 Clock screen
ordered,1.0,23,0.532058682058682,1.8602558374404907,Exp5.5.2 Clock screen
ordered,1.0,37,0.5908429533429534,1.660753607749939,Exp5.5.2 Clock screen
ordered,1.0,53,0.5879148629148628,1.878587245941162,Exp5.5.2 Clock screen
ordered,1.0,71,0.5622414622414622,1.4812681674957275,Exp5.5.2 Clock screen
