seed,anchor,comparison,delta_test_balanced_accuracy
11,clock,coordinate_minus_anchor,0.0
11,clock,reset_minus_anchor,0.0
11,clock,lag1_minus_anchor,-0.007575757575757569
11,clock,ordered_minus_anchor,0.0
11,clock,ordered_minus_reset,0.0
11,clock,ordered_minus_coordinate,0.0
11,clock,ordered_minus_lag1,0.007575757575757569
11,clock,ordered_minus_circular_shift,0.0
11,clock,ordered_minus_random_shuffle,0.0
11,oracle_progress,coordinate_minus_anchor,-0.006944444444444531
11,oracle_progress,reset_minus_anchor,0.0
11,oracle_progress,lag1_minus_anchor,0.0
11,oracle_progress,ordered_minus_anchor,0.0
11,oracle_progress,ordered_minus_reset,0.0
11,oracle_progress,ordered_minus_coordinate,0.006944444444444531
11,oracle_progress,ordered_minus_lag1,0.0
11,oracle_progress,ordered_minus_circular_shift,0.0
11,oracle_progress,ordered_minus_random_shuffle,0.0
23,clock,coordinate_minus_anchor,0.0
23,clock,reset_minus_anchor,0.004464285714285698
23,clock,lag1_minus_anchor,0.01041666666666674
23,clock,ordered_minus_anchor,0.0
23,clock,ordered_minus_reset,-0.004464285714285698
23,clock,ordered_minus_coordinate,0.0
23,clock,ordered_minus_lag1,-0.01041666666666674
23,clock,ordered_minus_circular_shift,0.0
23,clock,ordered_minus_random_shuffle,0.0
23,oracle_progress,coordinate_minus_anchor,0.0
23,oracle_progress,reset_minus_anchor,0.0
23,oracle_progress,lag1_minus_anchor,0.0
23,oracle_progress,ordered_minus_anchor,0.0
23,oracle_progress,ordered_minus_reset,0.0
23,oracle_progress,ordered_minus_coordinate,0.0
23,oracle_progress,ordered_minus_lag1,0.0
23,oracle_progress,ordered_minus_circular_shift,0.0
23,oracle_progress,ordered_minus_random_shuffle,0.0
37,clock,coordinate_minus_anchor,-0.005952380952381042
37,clock,reset_minus_anchor,-1.1102230246251565e-16
37,clock,lag1_minus_anchor,-1.1102230246251565e-16
37,clock,ordered_minus_anchor,0.011904761904761862
37,clock,ordered_minus_reset,0.011904761904761973
37,clock,ordered_minus_coordinate,0.017857142857142905
37,clock,ordered_minus_lag1,0.011904761904761973
37,clock,ordered_minus_circular_shift,0.0023809523809523725
37,clock,ordered_minus_random_shuffle,0.0
37,oracle_progress,coordinate_minus_anchor,0.0
37,oracle_progress,reset_minus_anchor,0.0
37,oracle_progress,lag1_minus_anchor,0.0
37,oracle_progress,ordered_minus_anchor,0.0
37,oracle_progress,ordered_minus_reset,0.0
37,oracle_progress,ordered_minus_coordinate,0.0
37,oracle_progress,ordered_minus_lag1,0.0
37,oracle_progress,ordered_minus_circular_shift,0.0
37,oracle_progress,ordered_minus_random_shuffle,0.0
53,clock,coordinate_minus_anchor,0.0
53,clock,reset_minus_anchor,0.0
53,clock,lag1_minus_anchor,0.0
53,clock,ordered_minus_anchor,0.0
53,clock,ordered_minus_reset,0.0
53,clock,ordered_minus_coordinate,0.0
53,clock,ordered_minus_lag1,0.0
53,clock,ordered_minus_circular_shift,0.0
53,clock,ordered_minus_random_shuffle,0.0
53,oracle_progress,coordinate_minus_anchor,-0.005952380952380931
53,oracle_progress,reset_minus_anchor,-0.005952380952380931
53,oracle_progress,lag1_minus_anchor,0.0
53,oracle_progress,ordered_minus_anchor,0.0
53,oracle_progress,ordered_minus_reset,0.005952380952380931
53,oracle_progress,ordered_minus_coordinate,0.005952380952380931
53,oracle_progress,ordered_minus_lag1,0.0
53,oracle_progress,ordered_minus_circular_shift,0.0035714285714285587
53,oracle_progress,ordered_minus_random_shuffle,0.005952380952380931
71,clock,coordinate_minus_anchor,0.0
71,clock,reset_minus_anchor,-0.023051948051948046
71,clock,lag1_minus_anchor,0.0023809523809523725
71,clock,ordered_minus_anchor,0.0
71,clock,ordered_minus_reset,0.023051948051948046
71,clock,ordered_minus_coordinate,0.0
71,clock,ordered_minus_lag1,-0.0023809523809523725
71,clock,ordered_minus_circular_shift,0.0
71,clock,ordered_minus_random_shuffle,0.0
71,oracle_progress,coordinate_minus_anchor,0.0
71,oracle_progress,reset_minus_anchor,0.0
71,oracle_progress,lag1_minus_anchor,0.0
71,oracle_progress,ordered_minus_anchor,0.0
71,oracle_progress,ordered_minus_reset,0.0
71,oracle_progress,ordered_minus_coordinate,0.0
71,oracle_progress,ordered_minus_lag1,0.0
71,oracle_progress,ordered_minus_circular_shift,0.0
71,oracle_progress,ordered_minus_random_shuffle,0.0
