anchor,residual_mode,seed,alpha,delta_val_balanced_accuracy,delta_test_balanced_accuracy,generalization_gap_val_minus_test_delta
clock,coordinate,11,0.25,0.00694444444444442,0.0,0.00694444444444442
clock,reset,11,0.25,0.00694444444444442,0.0,0.00694444444444442
clock,lag1,11,0.25,0.00694444444444442,-0.007575757575757569,0.014520202020201989
clock,ordered,11,0.25,0.00694444444444442,0.0,0.00694444444444442
oracle_progress,coordinate,11,0.25,0.0,-0.006944444444444531,0.006944444444444531
oracle_progress,reset,11,0.25,0.0,0.0,0.0
oracle_progress,lag1,11,0.25,0.0,0.0,0.0
oracle_progress,ordered,11,0.25,0.0,0.0,0.0
clock,coordinate,23,0.25,0.0,0.0,0.0
clock,reset,23,0.25,0.0,0.004464285714285698,-0.004464285714285698
clock,lag1,23,0.25,0.0,0.01041666666666674,-0.01041666666666674
clock,ordered,23,0.25,0.0,0.0,0.0
oracle_progress,coordinate,23,0.25,0.0,0.0,0.0
oracle_progress,reset,23,0.25,0.0,0.0,0.0
oracle_progress,lag1,23,0.25,0.0,0.0,0.0
oracle_progress,ordered,23,0.25,0.0,0.0,0.0
clock,coordinate,37,0.25,0.0006313131313130382,-0.005952380952381042,0.0065836940836940805
clock,reset,37,0.25,0.0006313131313130382,-1.1102230246251565e-16,0.0006313131313131493
clock,lag1,37,0.25,0.0006313131313130382,-1.1102230246251565e-16,0.0006313131313131493
clock,ordered,37,0.25,0.0006313131313130382,0.011904761904761862,-0.011273448773448824
oracle_progress,coordinate,37,0.25,0.0,0.0,0.0
oracle_progress,reset,37,0.25,0.0,0.0,0.0
oracle_progress,lag1,37,0.25,0.0,0.0,0.0
oracle_progress,ordered,37,0.25,0.0,0.0,0.0
clock,coordinate,53,0.25,0.0,0.0,0.0
clock,reset,53,0.25,0.0,0.0,0.0
clock,lag1,53,0.25,0.0,0.0,0.0
clock,ordered,53,0.25,0.0,0.0,0.0
oracle_progress,coordinate,53,0.25,0.0,-0.005952380952380931,0.005952380952380931
oracle_progress,reset,53,0.25,0.00694444444444442,-0.005952380952380931,0.012896825396825351
oracle_progress,lag1,53,0.25,0.015277777777777835,0.0,0.015277777777777835
oracle_progress,ordered,53,0.25,0.00694444444444442,0.0,0.00694444444444442
clock,coordinate,71,0.25,0.0,0.0,0.0
clock,reset,71,0.25,0.0006313131313132603,-0.023051948051948046,0.023683261183261306
clock,lag1,71,0.25,0.0006313131313131493,0.0023809523809523725,-0.0017496392496392232
clock,ordered,71,0.25,0.0,0.0,0.0
oracle_progress,coordinate,71,0.25,0.0,0.0,0.0
oracle_progress,reset,71,0.25,0.0,0.0,0.0
oracle_progress,lag1,71,0.25,0.0,0.0,0.0
oracle_progress,ordered,71,0.25,0.0,0.0,0.0
