residual_mode,alpha,seed,delta_val_balanced_accuracy_vs_clock
coordinate,0.25,11,0.00694444444444442
coordinate,0.25,23,0.0
coordinate,0.25,37,0.0006313131313130382
coordinate,0.25,53,0.0
coordinate,0.25,71,0.0
coordinate,0.5,11,0.00694444444444442
coordinate,0.5,23,0.0
coordinate,0.5,37,0.0006313131313130382
coordinate,0.5,53,0.0
coordinate,0.5,71,0.0
coordinate,1.0,11,0.00694444444444442
coordinate,1.0,23,0.0
coordinate,1.0,37,0.0
coordinate,1.0,53,0.0
coordinate,1.0,71,0.0
reset,0.25,11,0.00694444444444442
reset,0.25,23,0.0
reset,0.25,37,0.0006313131313130382
reset,0.25,53,0.0
reset,0.25,71,0.0006313131313132603
reset,0.5,11,0.00694444444444442
reset,0.5,23,0.0
reset,0.5,37,0.0006313131313130382
reset,0.5,53,0.0
reset,0.5,71,0.0006313131313131493
reset,1.0,11,0.01388888888888884
reset,1.0,23,0.0
reset,1.0,37,0.002020202020201811
reset,1.0,53,0.0
reset,1.0,71,0.0006313131313131493
lag1,0.25,11,0.00694444444444442
lag1,0.25,23,0.0
lag1,0.25,37,0.0006313131313130382
lag1,0.25,53,0.0
lag1,0.25,71,0.0006313131313131493
lag1,0.5,11,0.00694444444444442
lag1,0.5,23,0.0
lag1,0.5,37,0.0006313131313129272
lag1,0.5,53,0.0
lag1,0.5,71,0.0006313131313131493
lag1,1.0,11,0.0
lag1,1.0,23,0.0
lag1,1.0,37,0.0006313131313130382
lag1,1.0,53,0.0
lag1,1.0,71,0.0006313131313131493
ordered,0.25,11,0.00694444444444442
ordered,0.25,23,0.0
ordered,0.25,37,0.0006313131313130382
ordered,0.25,53,0.0
ordered,0.25,71,0.0
ordered,0.5,11,0.00694444444444442
ordered,0.5,23,0.0
ordered,0.5,37,0.008964646464646342
ordered,0.5,53,0.0
ordered,0.5,71,0.0006313131313131493
ordered,1.0,11,0.00694444444444442
ordered,1.0,23,0.0
ordered,1.0,37,0.0
ordered,1.0,53,0.0
ordered,1.0,71,0.0
