condition,seed,val_balanced_accuracy,test_balanced_accuracy,test_accuracy,test_macro_f1,source
clock,11,0.6027597402597403,0.5440150127650127,0.541095890410959,0.5303770040494326,Exp5.5 anchor
oracle_progress,11,0.6065957190957191,0.6210601898101897,0.6301369863013698,0.6044800678748721,Exp5.5 anchor
fixed250,11,0.5252886002886002,0.6094488844488843,0.6232876712328768,0.6141804262766505,Exp5.5 Fixed250 reference
regordered_5_5_1,11,0.543001443001443,0.4840354090354089,0.4931506849315068,0.46931457926614223,Exp5.5.1 selected RegOrdered
clock+coordinate,11,0.6097041847041847,0.5440150127650127,0.541095890410959,0.5304049354499129,Exp5.5.2 selected residual
clock+reset,11,0.6097041847041847,0.5440150127650127,0.541095890410959,0.5295436707160992,Exp5.5.2 selected residual
clock+lag1,11,0.6097041847041847,0.5364392551892552,0.5342465753424658,0.5219948923339874,Exp5.5.2 selected residual
clock+ordered,11,0.6097041847041847,0.5440150127650127,0.541095890410959,0.5303770040494326,Exp5.5.2 selected residual
oracle_progress+coordinate,11,0.6065957190957191,0.6141157453657452,0.6232876712328768,0.5975989762569384,Exp5.5.2 selected residual
oracle_progress+reset,11,0.6065957190957191,0.6210601898101897,0.6301369863013698,0.6044800678748721,Exp5.5.2 selected residual
oracle_progress+lag1,11,0.6065957190957191,0.6210601898101897,0.6301369863013698,0.6044800678748721,Exp5.5.2 selected residual
oracle_progress+ordered,11,0.6065957190957191,0.6210601898101897,0.6301369863013698,0.6044800678748721,Exp5.5.2 selected residual
clock,23,0.532058682058682,0.5939636752136751,0.6095890410958904,0.5821490092564965,Exp5.5 anchor
oracle_progress,23,0.5989297739297738,0.5848817848817848,0.5958904109589042,0.5907933120972474,Exp5.5 anchor
fixed250,23,0.6115620490620491,0.5931318681318681,0.6095890410958904,0.5918175391859603,Exp5.5 Fixed250 reference
regordered_5_5_1,23,0.5754088504088504,0.5510073260073259,0.5616438356164384,0.5484241103848947,Exp5.5.1 selected RegOrdered
clock+coordinate,23,0.532058682058682,0.5939636752136751,0.6095890410958904,0.5821490092564965,Exp5.5.2 selected residual
clock+reset,23,0.532058682058682,0.5984279609279608,0.6095890410958904,0.5878334418775595,Exp5.5.2 selected residual
clock+lag1,23,0.532058682058682,0.6043803418803418,0.6164383561643836,0.5928775937631092,Exp5.5.2 selected residual
clock+ordered,23,0.532058682058682,0.5939636752136751,0.6095890410958904,0.5821490092564965,Exp5.5.2 selected residual
oracle_progress+coordinate,23,0.5989297739297738,0.5848817848817848,0.5958904109589042,0.5907933120972474,Exp5.5.2 selected residual
oracle_progress+reset,23,0.5989297739297738,0.5848817848817848,0.5958904109589042,0.5907933120972474,Exp5.5.2 selected residual
oracle_progress+lag1,23,0.5989297739297738,0.5848817848817848,0.5958904109589042,0.5907933120972474,Exp5.5.2 selected residual
oracle_progress+ordered,23,0.5989297739297738,0.5848817848817848,0.5958904109589042,0.5907933120972474,Exp5.5.2 selected residual
clock,37,0.5908429533429534,0.5580468142968144,0.5616438356164384,0.557535644570877,Exp5.5 anchor
oracle_progress,37,0.576924001924002,0.5706931956931957,0.5821917808219178,0.5733171961242137,Exp5.5 anchor
fixed250,37,0.5457431457431458,0.5873126873126873,0.5958904109589042,0.5844731019251654,Exp5.5 Fixed250 reference
regordered_5_5_1,37,0.5501082251082251,0.5509400321900321,0.5547945205479452,0.5457212677867057,Exp5.5.1 selected RegOrdered
clock+coordinate,37,0.5914742664742665,0.5520944333444333,0.5547945205479452,0.5522173809631397,Exp5.5.2 selected residual
clock+reset,37,0.5914742664742665,0.5580468142968142,0.5616438356164384,0.5573927508410267,Exp5.5.2 selected residual
clock+lag1,37,0.5914742664742665,0.5580468142968142,0.5616438356164384,0.5573927508410267,Exp5.5.2 selected residual
clock+ordered,37,0.5914742664742665,0.5699515762015762,0.5753424657534246,0.5656768645172973,Exp5.5.2 selected residual
oracle_progress+coordinate,37,0.576924001924002,0.5706931956931957,0.5821917808219178,0.5733171961242137,Exp5.5.2 selected residual
oracle_progress+reset,37,0.576924001924002,0.5706931956931957,0.5821917808219178,0.5733171961242137,Exp5.5.2 selected residual
oracle_progress+lag1,37,0.576924001924002,0.5706931956931957,0.5821917808219178,0.5733171961242137,Exp5.5.2 selected residual
oracle_progress+ordered,37,0.576924001924002,0.5706931956931957,0.5821917808219178,0.5733171961242137,Exp5.5.2 selected residual
clock,53,0.5879148629148628,0.5624542124542123,0.5753424657534246,0.5521745818271101,Exp5.5 anchor
oracle_progress,53,0.6068963443963444,0.5617347929847929,0.5684931506849316,0.5571960822497247,Exp5.5 anchor
fixed250,53,0.5111652236652237,0.5857767232767231,0.5958904109589042,0.5836537024875518,Exp5.5 Fixed250 reference
regordered_5_5_1,53,0.553517316017316,0.5112769175269175,0.5136986301369864,0.49790412657148403,Exp5.5.1 selected RegOrdered
clock+coordinate,53,0.5879148629148628,0.5624542124542123,0.5753424657534246,0.5521745818271101,Exp5.5.2 selected residual
clock+reset,53,0.5879148629148628,0.5624542124542123,0.5753424657534246,0.5521745818271101,Exp5.5.2 selected residual
clock+lag1,53,0.5879148629148628,0.5624542124542123,0.5753424657534246,0.5521745818271101,Exp5.5.2 selected residual
clock+ordered,53,0.5879148629148628,0.5624542124542123,0.5753424657534246,0.5521745818271101,Exp5.5.2 selected residual
oracle_progress+coordinate,53,0.6068963443963444,0.555782412032412,0.5616438356164384,0.5495361559474047,Exp5.5.2 selected residual
oracle_progress+reset,53,0.6138407888407889,0.555782412032412,0.5616438356164384,0.5504856308552128,Exp5.5.2 selected residual
oracle_progress+lag1,53,0.6221741221741223,0.5617347929847929,0.5684931506849316,0.5569071517548445,Exp5.5.2 selected residual
oracle_progress+ordered,53,0.6138407888407889,0.5617347929847929,0.5684931506849316,0.5560001355076486,Exp5.5.2 selected residual
clock,71,0.5622414622414622,0.4918914418914418,0.5,0.4706083954358347,Exp5.5 anchor
oracle_progress,71,0.6010401635401635,0.5212856587856588,0.5342465753424658,0.518725011298007,Exp5.5 anchor
fixed250,71,0.5429713804713804,0.6004821567321567,0.6164383561643836,0.6021233087899754,Exp5.5 Fixed250 reference
regordered_5_5_1,71,0.5390031265031267,0.5023982961482961,0.5068493150684932,0.50074067362868,Exp5.5.1 selected RegOrdered
clock+coordinate,71,0.5622414622414622,0.4918914418914418,0.5,0.4706083954358347,Exp5.5.2 selected residual
clock+reset,71,0.5628727753727755,0.46883949383949375,0.4726027397260274,0.4501824972413208,Exp5.5.2 selected residual
clock+lag1,71,0.5628727753727754,0.49427239427239417,0.5,0.4736324978406903,Exp5.5.2 selected residual
clock+ordered,71,0.5622414622414622,0.4918914418914418,0.5,0.4706083954358347,Exp5.5.2 selected residual
oracle_progress+coordinate,71,0.6010401635401635,0.5212856587856588,0.5342465753424658,0.518725011298007,Exp5.5.2 selected residual
oracle_progress+reset,71,0.6010401635401635,0.5212856587856588,0.5342465753424658,0.518725011298007,Exp5.5.2 selected residual
oracle_progress+lag1,71,0.6010401635401635,0.5212856587856588,0.5342465753424658,0.518725011298007,Exp5.5.2 selected residual
oracle_progress+ordered,71,0.6010401635401635,0.5212856587856588,0.5342465753424658,0.518725011298007,Exp5.5.2 selected residual
