anchor,seed,accuracy,balanced_accuracy,feature,loss,macro_f1,n_samples,split
clock,11,0.612736660929432,0.6058861052137265,mean_delta_z,1.1592548015505857,0.6030600862784445,581,train
clock,11,0.4603174603174603,0.43791486291486287,mean_delta_z,1.579402709279159,0.42484910879454224,126,val
clock,11,0.4383561643835616,0.42185314685314684,mean_delta_z,1.7406179430969595,0.3959240530574155,146,test
clock,11,0.4457831325301205,0.4307644101376125,final_delta_z,1.6469258803017752,0.41920612051424033,581,train
clock,11,0.3333333333333333,0.3198532948532949,final_delta_z,1.9694532642125715,0.32479916299807826,126,val
clock,11,0.410958904109589,0.4050581363081363,final_delta_z,1.8607562594760427,0.394852968867557,146,test
oracle_progress,11,0.09294320137693632,0.08333333333333333,mean_delta_z,2.475076907614963,0.014173228346456693,581,train
oracle_progress,11,0.09523809523809523,0.08333333333333333,mean_delta_z,2.4774276863376965,0.014492753623188406,126,val
oracle_progress,11,0.0958904109589041,0.08333333333333333,mean_delta_z,2.480012846898028,0.014583333333333332,146,test
oracle_progress,11,0.09294320137693632,0.08333333333333333,final_delta_z,2.475076907614963,0.014173228346456693,581,train
oracle_progress,11,0.09523809523809523,0.08333333333333333,final_delta_z,2.4774276863376965,0.014492753623188406,126,val
oracle_progress,11,0.0958904109589041,0.08333333333333333,final_delta_z,2.480012846898028,0.014583333333333332,146,test
clock,23,0.09294320137693632,0.08333333333333333,mean_delta_z,2.475076907614963,0.014173228346456693,581,train
clock,23,0.09523809523809523,0.08333333333333333,mean_delta_z,2.4774276863376965,0.014492753623188406,126,val
clock,23,0.0958904109589041,0.08333333333333333,mean_delta_z,2.480012846898028,0.014583333333333332,146,test
clock,23,0.09294320137693632,0.08333333333333333,final_delta_z,2.475076907614963,0.014173228346456693,581,train
clock,23,0.09523809523809523,0.08333333333333333,final_delta_z,2.4774276863376965,0.014492753623188406,126,val
clock,23,0.0958904109589041,0.08333333333333333,final_delta_z,2.480012846898028,0.014583333333333332,146,test
oracle_progress,23,0.09294320137693632,0.08333333333333333,mean_delta_z,2.475076907614963,0.014173228346456693,581,train
