condition,n_runs,mean_test_balanced_accuracy,sd_test_balanced_accuracy,sem_test_balanced_accuracy,mean_test_accuracy,mean_test_macro_f1
clock,5,0.5500742313242313,0.03729966626086199,0.01668091785946856,0.5575342465753426,0.5385689270279502
oracle_progress,5,0.5719311244311244,0.03623480890007028,0.016204699170454306,0.5821917808219178,0.5689023339288128
fixed250,5,0.595230463980464,0.009826141951003403,0.004394384271801203,0.6082191780821917,0.5952496157330607
regordered_5_5_1,5,0.5199315961815961,0.029992000651001022,0.013412830447371245,0.5260273972602739,0.5124209515275814
clock+coordinate,5,0.5488837551337551,0.0370759132788189,0.016580852483865233,0.5561643835616439,0.5375108605864988
clock+reset,5,0.5463566988566988,0.04775354867481265,0.021356036200745217,0.552054794520548,0.5354253885006233
clock+lag1,5,0.5511186036186035,0.04018794496139606,0.01797259536194035,0.5575342465753426,0.5396144633211847
clock+ordered,5,0.5524551837051837,0.03830229269117947,0.01712930603031413,0.5602739726027398,0.5401971710172342
oracle_progress+coordinate,5,0.5693517593517592,0.03442845043922708,0.015396871108418846,0.5794520547945206,0.5659941303447622
oracle_progress+reset,5,0.5707406482406482,0.03674770425982716,0.016434072948406424,0.5808219178082192,0.5675602436499105
oracle_progress+lag1,5,0.5719311244311244,0.03623480890007028,0.016204699170454306,0.5821917808219178,0.5688445478298368
oracle_progress+ordered,5,0.5719311244311244,0.03623480890007028,0.016204699170454306,0.5821917808219178,0.5686631445803977
