residual_mode,alpha,mean_val_balanced_accuracy,sd_val_balanced_accuracy,sem_val_balanced_accuracy,mean_delta_vs_clock,nonnegative_seed_count,eligible
coordinate,0.25,0.5766786916786917,0.030146403680496703,0.013481881581348096,0.0015151515151514915,5,True
coordinate,0.5,0.5766786916786917,0.030146403680496703,0.013481881581348096,0.0015151515151514915,5,True
coordinate,1.0,0.576552429052429,0.030070168702462135,0.013447788262718396,0.001388888888888884,5,True
reset,0.25,0.5768049543049543,0.03007204947887101,0.01344862937149854,0.0016414141414141437,5,True
reset,0.5,0.5768049543049543,0.030072049478871023,0.013448629371498546,0.0016414141414141214,5,True
reset,1.0,0.578471620971621,0.032215135869810854,0.014407046741857776,0.00330808080808076,5,True
lag1,0.25,0.5768049543049543,0.030072049478871023,0.013448629371498546,0.0016414141414141214,5,True
lag1,0.5,0.5768049543049543,0.03007204947887101,0.01344862937149854,0.0016414141414140993,5,True
lag1,1.0,0.5754160654160654,0.028279670837933132,0.012647053274987384,0.0002525252525252375,5,True
ordered,0.25,0.5766786916786917,0.030146403680496703,0.013481881581348096,0.0015151515151514915,5,True
ordered,0.5,0.578471620971621,0.03129439538938812,0.013995279081085568,0.003308080808080782,5,True
ordered,1.0,0.576552429052429,0.030070168702462135,0.013447788262718396,0.001388888888888884,5,True
