cv_mode,method,rotation,seed,split,class_index,class_label,precision,recall,f1,support
within_user,raw250_linear,1,23,train,0,A,1.0,1.0,1.0,44
within_user,raw250_linear,1,23,train,1,B,1.0,1.0,1.0,41
within_user,raw250_linear,1,23,train,2,C,1.0,1.0,1.0,44
within_user,raw250_linear,1,23,train,3,D,1.0,1.0,1.0,43
within_user,raw250_linear,1,23,train,4,E,1.0,1.0,1.0,46
within_user,raw250_linear,1,23,train,5,G,1.0,1.0,1.0,46
within_user,raw250_linear,1,23,train,6,H,1.0,1.0,1.0,46
within_user,raw250_linear,1,23,train,7,I,1.0,1.0,1.0,48
within_user,raw250_linear,1,23,train,8,J,1.0,1.0,1.0,43
within_user,raw250_linear,1,23,train,9,K,1.0,1.0,1.0,48
within_user,raw250_linear,1,23,train,10,L,1.0,1.0,1.0,25
within_user,raw250_linear,1,23,train,11,X,1.0,1.0,1.0,36
within_user,raw250_linear,1,23,val,0,A,0.46153846153846156,0.5,0.48,12
within_user,raw250_linear,1,23,val,1,B,0.6428571428571429,0.6428571428571429,0.6428571428571429,14
within_user,raw250_linear,1,23,val,2,C,0.9411764705882353,0.9411764705882353,0.9411764705882353,17
within_user,raw250_linear,1,23,val,3,D,0.8181818181818182,0.5625,0.6666666666666666,16
within_user,raw250_linear,1,23,val,4,E,0.6956521739130435,0.9411764705882353,0.8,17
within_user,raw250_linear,1,23,val,5,G,0.45454545454545453,0.5,0.47619047619047616,10
within_user,raw250_linear,1,23,val,6,H,0.5,0.4375,0.4666666666666667,16
within_user,raw250_linear,1,23,val,7,I,0.6111111111111112,0.7857142857142857,0.6875,14
within_user,raw250_linear,1,23,val,8,J,0.6153846153846154,0.5333333333333333,0.5714285714285714,15
within_user,raw250_linear,1,23,val,9,K,0.6666666666666666,0.5,0.5714285714285714,16
within_user,raw250_linear,1,23,val,10,L,0.6666666666666666,0.75,0.7058823529411765,8
within_user,raw250_linear,1,23,val,11,X,0.5714285714285714,0.5714285714285714,0.5714285714285714,14
within_user,raw250_linear,1,23,test,0,A,0.6,0.6,0.6,10
within_user,raw250_linear,1,23,test,1,B,0.5625,0.5625,0.5625,16
within_user,raw250_linear,1,23,test,2,C,0.9166666666666666,0.6470588235294118,0.7586206896551724,17
within_user,raw250_linear,1,23,test,3,D,0.75,0.6,0.6666666666666666,15
within_user,raw250_linear,1,23,test,4,E,0.6923076923076923,0.6923076923076923,0.6923076923076923,13
within_user,raw250_linear,1,23,test,5,G,0.7777777777777778,0.875,0.8235294117647058,16
within_user,raw250_linear,1,23,test,6,H,0.7142857142857143,0.8333333333333334,0.7692307692307693,18
within_user,raw250_linear,1,23,test,7,I,0.5,0.35714285714285715,0.4166666666666667,14
within_user,raw250_linear,1,23,test,8,J,0.5769230769230769,0.8823529411764706,0.6976744186046512,17
within_user,raw250_linear,1,23,test,9,K,0.75,0.8,0.7741935483870968,15
within_user,raw250_linear,1,23,test,10,L,0.8571428571428571,0.9230769230769231,0.8888888888888888,13
within_user,raw250_linear,1,23,test,11,X,0.6666666666666666,0.4,0.5,10
