interface,seed,probe_type,probe_C,val_ba,test_ba
raw_l2,11,interface_valid_sum,1.0,0.5377044252044252,0.5080031080031079
raw_l2,11,interface_fixed250_ordered,0.01,0.5880411255411254,0.642110667110667
raw_l2,11,interface_relative10_ordered,0.01,0.6473063973063974,0.7153339715839716
raw_l2,11,interface_endpoint,0.01,0.4270021645021646,0.45398767898767894
raw_l2,23,interface_valid_sum,10.0,0.5326899951899952,0.5378399378399378
raw_l2,23,interface_fixed250_ordered,1.0,0.5996572871572871,0.5990842490842491
raw_l2,23,interface_relative10_ordered,1.0,0.6194023569023569,0.6447621822621822
raw_l2,23,interface_endpoint,0.01,0.4299422799422799,0.36490453990453986
raw_l2,101,interface_valid_sum,0.1,0.5393999518999518,0.6259150571650571
raw_l2,101,interface_fixed250_ordered,0.1,0.5265933140933141,0.6366404428904429
raw_l2,101,interface_relative10_ordered,0.01,0.6374218374218373,0.6859036796536796
raw_l2,101,interface_endpoint,0.01,0.3647967772967773,0.35499500499500497
leaky242,11,interface_valid_sum,1.0,0.5207070707070708,0.5185689310689311
leaky242,11,interface_fixed250_ordered,0.001,0.5527777777777777,0.5595369907869908
leaky242,11,interface_relative10_ordered,0.01,0.6102272727272727,0.6431388056388057
leaky242,11,interface_endpoint,0.01,0.5384379509379509,0.5697954822954824
leaky242,23,interface_valid_sum,0.1,0.4817881192881193,0.5423493173493172
leaky242,23,interface_fixed250_ordered,1.0,0.5673701298701299,0.5638278388278388
leaky242,23,interface_relative10_ordered,0.1,0.5811026936026936,0.6616883116883117
leaky242,23,interface_endpoint,0.1,0.49320586820586826,0.5666659729159728
leaky242,101,interface_valid_sum,0.1,0.510527898027898,0.5564706127206127
leaky242,101,interface_fixed250_ordered,0.01,0.4932239057239057,0.565090465090465
leaky242,101,interface_relative10_ordered,10.0,0.6283670033670034,0.5847513597513597
leaky242,101,interface_endpoint,0.01,0.574025974025974,0.5559405871905871
