interface,architecture,tau_mem_ms,seed,best_epoch,native_train_accuracy,native_train_balanced_accuracy,native_train_macro_f1,native_train_loss,native_train_hidden_events_per_neuron_second,native_train_hidden_tail_event_fraction,native_val_accuracy,native_val_balanced_accuracy,native_val_macro_f1,native_val_loss,native_val_hidden_events_per_neuron_second,native_val_hidden_tail_event_fraction,native_test_accuracy,native_test_balanced_accuracy,native_test_macro_f1,native_test_loss,native_test_hidden_events_per_neuron_second,native_test_hidden_tail_event_fraction,hidden_whole_count_val_ba,hidden_whole_count_test_ba,hidden_whole_count_C,hidden_fixed250_ordered_val_ba,hidden_fixed250_ordered_test_ba,hidden_fixed250_ordered_C,hidden_relative10_ordered_val_ba,hidden_relative10_ordered_test_ba,hidden_relative10_ordered_C,hidden_uend_val_ba,hidden_uend_test_ba,hidden_uend_C
raw_l2,ff,125.0,11,94,0.927710843373494,0.9272836191337812,0.9273075554085429,0.40214679614607113,23.46632723131291,0.23594343892636482,0.5079365079365079,0.5108886483886484,0.5263144909469774,1.3547269105911255,21.180010534632604,0.23566888061320987,0.5205479452054794,0.500826257076257,0.4790427546309899,1.5433672601229524,23.866964877402253,0.27080981762779466,0.49604377104377106,0.5190039127539127,1.0,0.5530964405964406,0.5685037185037184,1.0,0.576972101972102,0.6161206848706849,0.01,0.4842352092352092,0.524471361971362,0.01
raw_l2,ff,125.0,23,65,0.8950086058519794,0.8930177398733544,0.8943002577475615,0.5244321073189044,23.57859212487648,0.24149821407068234,0.5317460317460317,0.5327801827801827,0.5278295589784351,1.4814358949661255,21.676586779036082,0.24160574973892746,0.5547945205479452,0.5426892551892551,0.5335620350275523,1.5250960327174565,23.938369781312126,0.2894846511582164,0.5056337181337182,0.5672792485292485,0.1,0.5568843193843193,0.6074404761904761,0.01,0.5794131794131793,0.6200147075147074,0.1,0.4952561327561327,0.4698697136197136,0.1
raw_l2,ff,125.0,101,71,0.9001721170395869,0.901116124142988,0.9004335908510136,0.5031172894774945,24.372820607298976,0.2491073904894098,0.5158730158730159,0.5193542568542567,0.5115924119071693,1.4218453168869019,22.447677991396716,0.24723824607834624,0.5616438356164384,0.5441752691752691,0.5434790678177667,1.5029475623614168,24.9279324055666,0.2950271454256883,0.4923761423761424,0.5636426073926074,1.0,0.5149230399230399,0.552827034077034,1.0,0.58498075998076,0.557329476079476,1.0,0.47938311688311686,0.45401404151404146,0.1
raw_l2,ff,250.0,11,29,0.8399311531841652,0.8331317491817698,0.8344966624088644,0.9292851546955601,21.33294253605105,0.23077977602663016,0.49206349206349204,0.48741582491582486,0.48490958942010515,1.5119624137878418,19.027609516284787,0.23089056140462935,0.4863013698630137,0.4646943334443334,0.4408250322437965,1.6370764203267554,21.821239231278994,0.2635714934688258,0.5504389129389129,0.5288572538572539,0.001,0.5244107744107744,0.5681048118548119,0.001,0.5970538720538721,0.5548402985902986,0.1,0.5182359307359307,0.5222548285048284,0.1
raw_l2,ff,250.0,23,35,0.8399311531841652,0.8356040471570781,0.8344360333341244,0.7972995919943267,22.485654948331018,0.24711263944710726,0.5238095238095238,0.5202441077441078,0.5111246485982609,1.531029462814331,20.66060925291897,0.24759423255219157,0.5136986301369864,0.4983481795981795,0.48556836065601844,1.566337712823528,22.988982770046388,0.29557237298826433,0.49995189995189987,0.5402229714729715,1.0,0.5712782587782589,0.5559086746586747,10.0,0.5695286195286196,0.6573523698523699,0.01,0.5049422799422799,0.49289668664668657,0.1
raw_l2,ff,250.0,101,43,0.8623063683304647,0.8612110696968173,0.8589985322865626,0.6964579139436994,23.766677274021472,0.25514267530132734,0.49206349206349204,0.4859547859547859,0.47897789921777933,1.4849653244018555,21.874725660609254,0.25436332487974206,0.5547945205479452,0.5368339993339993,0.531110695020954,1.5264204936484769,24.290134194831015,0.30292174256192406,0.4709415584415584,0.5341991341991342,0.001,0.5021885521885522,0.5450167887667887,0.01,0.5710918710918711,0.5915556665556665,0.1,0.501010101010101,0.48547008547008547,0.01
raw_l2,ff,500.0,11,97,0.9259896729776248,0.9253480442265082,0.9256548656022727,0.385155087237514,23.177257273016565,0.26991126631343426,0.49206349206349204,0.49561087061087056,0.509703092959672,1.435563087463379,20.957334737951015,0.27295900886702207,0.5205479452054794,0.5057484182484182,0.48826827446743293,1.6378820497695714,23.24382869449967,0.31220555432997527,0.5054653679653679,0.5275717338217338,0.1,0.5626503126503127,0.5281669719169719,1.0,0.5683381433381433,0.571741452991453,0.01,0.5372113997113996,0.5842185592185593,0.01
raw_l2,ff,500.0,23,62,0.882960413080895,0.8814864719880354,0.8817140760574743,0.5351282892149205,22.95706533572278,0.2738807428922876,0.5238095238095238,0.5244468494468494,0.5210913072908816,1.5235645771026611,21.137520849793695,0.27590723047729027,0.5273972602739726,0.5172563547563547,0.5048647587111302,1.5673804103511653,23.071901921802517,0.3286426734351009,0.5209114959114959,0.5620844433344433,1.0,0.5552008177008178,0.5697212509712509,1.0,0.5754088504088505,0.6434995559995559,0.1,0.49733044733044734,0.5573905261405262,0.001
raw_l2,ff,500.0,101,51,0.8743545611015491,0.8726658753733211,0.8710367166808699,0.6264372823468174,23.40419046342975,0.2720057827182683,0.47619047619047616,0.47639490139490137,0.4684057814787866,1.4832253456115723,21.457905363883768,0.2728600603602277,0.547945205479452,0.5352466977466978,0.5265981221850374,1.5339927640679765,23.689529489728297,0.32315630029347725,0.48523328523328524,0.5673153235653234,0.1,0.4909151034151034,0.5497155622155622,0.1,0.5551827801827802,0.5520084082584081,1.0,0.5585137085137085,0.5003871128871129,0.1
raw_l2,ff,1000.0,11,100,0.9294320137693631,0.9278587424373991,0.9286699989811092,0.38349488295499307,22.721556936372618,0.2978138137982705,0.49206349206349204,0.4979256854256853,0.5190639114867789,1.4748730659484863,20.58339917478711,0.3001405894608648,0.5,0.4879065379065379,0.4670741039868784,1.6646221908804488,22.68518058316766,0.34102582303944984,0.4968073593073592,0.5229340104340104,0.1,0.5672799422799423,0.5112658175158175,1.0,0.5652657527657527,0.5458506771006771,0.01,0.5344336219336219,0.6114239926739927,0.01
