interface,architecture,tau_mem_ms,seed,epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
raw_l2,ff,125.0,11,1,2.4573658751948977,0.1010478018633831,2.4051003456115723,0.225
raw_l2,ff,125.0,11,2,2.3466904503958568,0.2466945295561647,2.326289176940918,0.3361111111111111
raw_l2,ff,125.0,11,3,2.243981248950794,0.3726456194341414,2.2508199214935303,0.3569444444444444
raw_l2,ff,125.0,11,4,2.143935089062085,0.4797498723324195,2.1768641471862797,0.3724206349206349
raw_l2,ff,125.0,11,5,2.048100988548922,0.5566044343206293,2.112321138381958,0.3892857142857143
raw_l2,ff,125.0,11,6,1.9559038339916888,0.5897134086796036,2.047959089279175,0.3962301587301587
raw_l2,ff,125.0,11,7,1.8695614147104207,0.5930212868892114,1.991364598274231,0.4087301587301588
raw_l2,ff,125.0,11,8,1.7915488274290312,0.6053782405694633,1.9426325559616089,0.4176587301587302
raw_l2,ff,125.0,11,9,1.7213304106421807,0.6373640570833504,1.8997420072555544,0.4107142857142856
raw_l2,ff,125.0,11,10,1.6562346410833415,0.6372044845078988,1.861119627952576,0.3974206349206349
raw_l2,ff,125.0,11,11,1.5966947534203324,0.652771931372702,1.825502634048462,0.4023809523809524
raw_l2,ff,125.0,11,12,1.539848623505558,0.6652524295005843,1.7900545597076416,0.4232142857142857
raw_l2,ff,125.0,11,13,1.4861930532832974,0.6792628548958136,1.7600276470184326,0.4246031746031746
raw_l2,ff,125.0,11,14,1.4363794232399656,0.7076946497946387,1.7350422143936155,0.4182539682539682
raw_l2,ff,125.0,11,15,1.3876255256173533,0.7441955482957715,1.709136962890625,0.4377344877344877
raw_l2,ff,125.0,11,16,1.3438442510499806,0.7626801671382365,1.6817961931228638,0.4531806156806157
raw_l2,ff,125.0,11,17,1.3029507728944345,0.7686334185334548,1.6628882884979248,0.4502705627705627
raw_l2,ff,125.0,11,18,1.2658884502729326,0.7739652086569118,1.6492127180099487,0.474050024050024
raw_l2,ff,125.0,11,19,1.2278723735201995,0.7741616724625597,1.6390191316604614,0.4538480038480039
raw_l2,ff,125.0,11,20,1.1933939658015609,0.7790624474798719,1.6128333806991575,0.4448833573833573
raw_l2,ff,125.0,11,21,1.1608752354902572,0.7847498570747008,1.5907983779907229,0.4713083213083213
raw_l2,ff,125.0,11,22,1.131975371948413,0.8073791657524785,1.5844930410385132,0.4643638768638768
raw_l2,ff,125.0,11,23,1.1030866601175775,0.8079162338404609,1.5765340328216553,0.4643638768638768
raw_l2,ff,125.0,11,24,1.075361016490168,0.8023167732428947,1.5611968040466309,0.4901575276575275
raw_l2,ff,125.0,11,25,1.0496767625956445,0.8080172599139727,1.545777440071106,0.48258177008177
raw_l2,ff,125.0,11,26,1.024292790540935,0.8157457915131588,1.5347988605499268,0.4874158249158249
raw_l2,ff,125.0,11,27,1.0006724511899965,0.8282961774730925,1.5314487218856812,0.4768999518999519
raw_l2,ff,125.0,11,28,0.979220135897244,0.8260953563689695,1.5256352424621582,0.4540464165464164
raw_l2,ff,125.0,11,29,0.9582464674458856,0.818442777715047,1.5083061456680298,0.4874158249158248
raw_l2,ff,125.0,11,30,0.9363944421741924,0.8287699118542462,1.4983198642730713,0.4874158249158248
raw_l2,ff,125.0,11,31,0.9165439713432127,0.8410158093171739,1.4888099431991575,0.4804713804713804
raw_l2,ff,125.0,11,32,0.8976742906332427,0.8440126233354933,1.4781570434570312,0.4659511784511783
raw_l2,ff,125.0,11,33,0.8802553507629237,0.8446631265061577,1.4801591634750366,0.4772246272246272
raw_l2,ff,125.0,11,34,0.8624714600650045,0.8427026913349382,1.4644960165023804,0.4653198653198653
raw_l2,ff,125.0,11,35,0.8467434666242944,0.8438476535014058,1.4617239236831665,0.4583754208754209
raw_l2,ff,125.0,11,36,0.830015279442431,0.8471483070961771,1.4643802642822266,0.4903920153920153
raw_l2,ff,125.0,11,37,0.8145957321390227,0.8565867654360427,1.4529072046279907,0.5028920153920152
raw_l2,ff,125.0,11,38,0.8002607709569488,0.8551978765471538,1.4464613199234009,0.4903920153920153
raw_l2,ff,125.0,11,39,0.7859042293028249,0.8545669760388023,1.4440363645553589,0.5028920153920152
raw_l2,ff,125.0,11,40,0.7723555212997528,0.8578035270694709,1.436262607574463,0.4738516113516113
raw_l2,ff,125.0,11,41,0.7589357687150755,0.8649314096690518,1.4229063987731934,0.4738516113516113
raw_l2,ff,125.0,11,42,0.7455811046076724,0.8635116565826321,1.4236817359924316,0.4814273689273688
raw_l2,ff,125.0,11,43,0.7335783841277564,0.8635116565826321,1.4188655614852903,0.490055315055315
raw_l2,ff,125.0,11,44,0.7214177363710846,0.8612110340388061,1.428018569946289,0.4814273689273688
raw_l2,ff,125.0,11,45,0.7104147616228835,0.8655017701843808,1.4109009504318235,0.4738516113516113
raw_l2,ff,125.0,11,46,0.6990896010973368,0.8686766613309701,1.409817457199097,0.4820586820586819
raw_l2,ff,125.0,11,47,0.6894553728440133,0.8687674383825316,1.4057501554489136,0.4913179413179413
raw_l2,ff,125.0,11,48,0.6778706920536783,0.8703106482590747,1.4078035354614258,0.4738516113516113
raw_l2,ff,125.0,11,49,0.6696217126772449,0.8667238051871687,1.4086480140686035,0.4669071669071667
raw_l2,ff,125.0,11,50,0.6604779772011631,0.8730699926300542,1.3924179077148438,0.4669071669071667
raw_l2,ff,125.0,11,51,0.6521018792758094,0.8687372013239925,1.3913652896881104,0.4906866281866281
raw_l2,ff,125.0,11,52,0.6413873903927828,0.8756329753030999,1.399681806564331,0.4900553150553151
raw_l2,ff,125.0,11,53,0.6330321943082826,0.878267742992899,1.3924249410629272,0.4738516113516113
