epoch,train_ba,val_ba,train_loss,val_loss,train_main_ce,val_main_ce,train_l1_tsce,val_l1_tsce
1.0,0.06272159423139768,0.045522186147186144,2.4837377679114248,2.476297205016458,2.4837377679114248,2.476297205016458,,
2.0,0.10004713364969013,0.0900297619047619,2.4774323397991704,2.467730915758031,2.4774323397991704,2.467730915758031,,
3.0,0.08893272284700991,0.10491071428571429,2.471905690548467,2.4571879319185337,2.471905690548467,2.4571879319185337,,
4.0,0.09558306918396077,0.09449404761904762,2.4642314695844463,2.444670393622133,2.4642314695844463,2.444670393622133,,
5.0,0.0888992067910482,0.08928571428571429,2.4548505194046917,2.431856577212994,2.4548505194046917,2.431856577212994,,
6.0,0.08492870196972091,0.08333333333333333,2.4439293244305778,2.419143171705438,2.4439293244305778,2.419143171705438,,
7.0,0.09183851898648497,0.08333333333333333,2.4321232618070114,2.4067520883661757,2.4321232618070114,2.4067520883661757,,
8.0,0.09745568315997682,0.08928571428571429,2.4218126960829194,2.4021769656232124,2.4218126960829194,2.4021769656232124,,
9.0,0.0975327722749938,0.08928571428571429,2.411170249826768,2.3962225180405836,2.411170249826768,2.3962225180405836,,
10.0,0.10699405097658747,0.09523809523809523,2.4010556688495712,2.3857039079158264,2.4010556688495712,2.3857039079158264,,
11.0,0.1293574152207757,0.1056547619047619,2.3883724119149004,2.3746339936228194,2.3883724119149004,2.3746339936228194,,
12.0,0.14609692519810985,0.11607142857142856,2.376156099169862,2.362782658909905,2.376156099169862,2.362782658909905,,
13.0,0.16399705705853823,0.11607142857142856,2.3632067633610148,2.35132730642014,2.3632067633610148,2.35132730642014,,
14.0,0.17672751765703662,0.14852335164835165,2.346925588682586,2.338645798214794,2.346925588682586,2.338645798214794,,
15.0,0.18948314262631902,0.15894001831501833,2.3294931421092913,2.3257002901043413,2.3294931421092913,2.3257002901043413,,
16.0,0.20259277410449383,0.16449557387057387,2.309591734643076,2.310683138977141,2.309591734643076,2.310683138977141,,
17.0,0.2186270926835812,0.17731608669108667,2.289768466762468,2.297856914926563,2.289768466762468,2.297856914926563,,
18.0,0.21036884889641447,0.21521291208791207,2.2650132534550687,2.278451012436455,2.2650132534550687,2.278451012436455,,
19.0,0.23252307120235757,0.22162316849816852,2.2409499346041213,2.2602598977512156,2.2409499346041213,2.2602598977512156,,
20.0,0.25084655916692333,0.23273427960927962,2.215257629693723,2.2372541639226426,2.215257629693723,2.2372541639226426,,
21.0,0.2752501613930366,0.2551167582417582,2.1831301558251472,2.2107999705704007,2.1831301558251472,2.2107999705704007,,
22.0,0.2831978611290534,0.25620802808302806,2.1537864264319926,2.185693069322575,2.1537864264319926,2.185693069322575,,
23.0,0.3190276631167966,0.27819368131868133,2.1211684432684206,2.1532749593610596,2.1211684432684206,2.1532749593610596,,
24.0,0.3222438927061088,0.2889575702075702,2.091755492079492,2.1242449565752017,2.091755492079492,2.1242449565752017,,
25.0,0.3450886813157745,0.2884996947496947,2.0562459029403386,2.1001361276976453,2.0562459029403386,2.1001361276976453,,
26.0,0.3603253689482318,0.2785905067155067,2.0222826910953895,2.077860013973078,2.0222826910953895,2.077860013973078,,
