epoch,train_ba,val_ba,train_loss,val_loss,train_main_ce,val_main_ce,train_l1_tsce,val_l1_tsce
1.0,0.06288652908213165,0.0431547619047619,2.7322135822445737,2.724259771538909,2.483751517651128,2.4758681178798336,2.4846205879660213,2.483916789116944
2.0,0.09943960192457807,0.0900297619047619,2.725889482685164,2.7157136914292734,2.477473555359186,2.4674068174418613,2.4841599866455675,2.4830683716655484
3.0,0.09103564219386788,0.09970238095238095,2.720240882798737,2.7047154748228173,2.4718772102804745,2.4565043759769236,2.483636905632767,2.4821109884589383
4.0,0.08989550598881418,0.09449404761904762,2.712402800017712,2.6922773538961917,2.4641051862754075,2.4441831154230784,2.4829761383580227,2.480943107040676
5.0,0.08696122229492416,0.08928571428571429,2.702753598082299,2.6803400544725227,2.454543643839219,2.432379635128044,2.4820997210109934,2.479603955026209
6.0,0.08851334581800951,0.08333333333333333,2.6920363117666803,2.6674460941517846,2.443936203040329,2.4196834028119873,2.4810010255551807,2.4776266100843984
7.0,0.09183851898648497,0.08333333333333333,2.679908645854277,2.655600392606837,2.431948524362901,2.4080498867486355,2.4796011560103475,2.4755055283653666
8.0,0.09930582192038385,0.08333333333333333,2.669690612718171,2.650363072841125,2.421880033904431,2.4031025305302185,2.478105968587539,2.4726054231090657
9.0,0.10107887156577393,0.09449404761904762,2.6584978169085933,2.644626862904024,2.410898520899754,2.3976558326969486,2.4759931994419473,2.469709651710014
10.0,0.11424042778818168,0.09449404761904762,2.648769546957577,2.6364643503222944,2.401367459577673,2.389761009159878,2.4740208158306047,2.467033664150351
11.0,0.13344355371462843,0.1056547619047619,2.636068355335909,2.62569054908301,2.3888527748631496,2.3792410870275553,2.4721556869207646,2.4644950466043145
12.0,0.14816799008082157,0.11086309523809523,2.623479471954645,2.614445909240542,2.3764488678352507,2.3682524791130652,2.470305566226735,2.4619335719114224
13.0,0.15899337007375194,0.1130952380952381,2.6094370589536777,2.6012203679282284,2.3625718434651692,2.3553028967253553,2.4686515574361763,2.459174163242769
14.0,0.18073656703587235,0.14360119047619047,2.593553186865414,2.5871784193275946,2.3469230857549928,2.341513762107262,2.466301431842879,2.4566472366716736
15.0,0.197880412263667,0.17164987789987787,2.575400638580322,2.573162682663054,2.3289919469870775,2.3278636015378513,2.4640868588989857,2.4529911794606045
16.0,0.2067107670624928,0.17210775335775333,2.556189780141793,2.5609677134180915,2.3100773848739324,2.316065070191784,2.4611232972612567,2.4490267355766524
17.0,0.20711407474959373,0.1895680708180708,2.5349271456400553,2.5399889776692586,2.2891018082113828,2.2954634392755273,2.45825319851146,2.4452550806237396
