seed,condition,repeat,balanced_accuracy,delta_ba_vs_original
11,original,-1,0.5594499250749251,0.0
11,reverse_10bins,0,0.16339840714840714,-0.39605151792651794
11,shuffle_10bins,0,0.15475392662892665,-0.40469599844599846
11,shuffle_10bins,1,0.1644761488511489,-0.39497377622377616
11,shuffle_10bins,2,0.20590208402708401,-0.3535478410478411
11,shuffle_10bins,3,0.13989760239760238,-0.4195523226773227
11,shuffle_10bins,4,0.1681447025197025,-0.3913052225552226
11,shuffle_10bins,5,0.19503898878898884,-0.36441093628593624
11,shuffle_10bins,6,0.1763181263181263,-0.3831317987567988
11,shuffle_10bins,7,0.21924741924741928,-0.3402025058275058
11,shuffle_10bins,8,0.17404539904539906,-0.385404526029526
11,shuffle_10bins,9,0.20491383616383618,-0.3545360889110889
11,shuffle_10bins,10,0.17405649905649903,-0.3853934260184261
11,shuffle_10bins,11,0.17857489732489737,-0.3808750277500277
11,shuffle_10bins,12,0.17014235764235763,-0.38930756743256745
11,shuffle_10bins,13,0.18627691752691752,-0.37317300754800753
11,shuffle_10bins,14,0.1648438367188367,-0.39460608835608835
11,shuffle_10bins,15,0.15927891552891552,-0.4001710095460096
11,shuffle_10bins,16,0.22720439282939286,-0.3322455322455322
11,shuffle_10bins,17,0.19353008103008107,-0.365919844044844
11,shuffle_10bins,18,0.1559378121878122,-0.40351211288711286
11,shuffle_10bins,19,0.19433483183483183,-0.3651150932400933
23,original,-1,0.46169733044733047,0.0
23,reverse_10bins,0,0.14299242424242423,-0.3187049062049062
23,shuffle_10bins,0,0.15630688755688757,-0.3053904428904429
23,shuffle_10bins,1,0.13588147963147962,-0.32581585081585085
23,shuffle_10bins,2,0.1907672188922189,-0.2709301115551116
23,shuffle_10bins,3,0.1537521506271506,-0.3079451798201799
23,shuffle_10bins,4,0.16233349983349984,-0.29936383061383065
23,shuffle_10bins,5,0.12056970806970807,-0.3411276223776224
23,shuffle_10bins,6,0.15791673604173603,-0.30378059440559446
23,shuffle_10bins,7,0.1242628898878899,-0.33743444055944055
23,shuffle_10bins,8,0.1627167970917971,-0.2989805333555334
23,shuffle_10bins,9,0.14097915972915973,-0.32071817071817077
23,shuffle_10bins,10,0.1505910755910756,-0.31110625485625487
23,shuffle_10bins,11,0.19066593129093126,-0.2710313991563992
23,shuffle_10bins,12,0.1523878898878899,-0.30930944055944054
23,shuffle_10bins,13,0.13146714396714396,-0.33023018648018654
23,shuffle_10bins,14,0.18829850704850706,-0.2733988233988234
23,shuffle_10bins,15,0.12494623432123432,-0.33675109612609616
23,shuffle_10bins,16,0.1476259851259851,-0.3140713453213454
23,shuffle_10bins,17,0.1353993228993229,-0.32629800754800753
23,shuffle_10bins,18,0.15775647963147965,-0.3039408508158508
23,shuffle_10bins,19,0.14614760239760238,-0.3155497280497281
