seed,objective,condition,block_ms,repeat,balanced_accuracy,delta_ba_vs_original
11,timestep_ce,original,,-1,0.32832688145188144,0.0
11,timestep_ce,shuffle_200ms,200.0,0,0.2971015096015096,-0.03122537185037183
11,timestep_ce,shuffle_200ms,200.0,1,0.2809058996558997,-0.047420981795981754
11,timestep_ce,shuffle_200ms,200.0,2,0.2858821733821734,-0.042444708069708015
11,timestep_ce,shuffle_200ms,200.0,3,0.25485694860694863,-0.0734699328449328
11,timestep_ce,shuffle_200ms,200.0,4,0.2828046953046953,-0.04552218614718612
11,timestep_ce,shuffle_500ms,500.0,0,0.32513875013875015,-0.0031881313131312816
11,timestep_ce,shuffle_500ms,500.0,1,0.2852217227217227,-0.043105158730158744
11,timestep_ce,shuffle_500ms,500.0,2,0.2903194028194028,-0.03800747863247861
11,timestep_ce,shuffle_500ms,500.0,3,0.2888066794316794,-0.03952020202020201
11,timestep_ce,shuffle_500ms,500.0,4,0.29723713786213785,-0.03108974358974359
11,relative_10bin_ce,original,,-1,0.5594499250749251,0.0
11,relative_10bin_ce,shuffle_200ms,200.0,0,0.1647470584970585,-0.3947028665778666
11,relative_10bin_ce,shuffle_200ms,200.0,1,0.13248210123210125,-0.42696782384282383
11,relative_10bin_ce,shuffle_200ms,200.0,2,0.2048510517260517,-0.3545988733488734
11,relative_10bin_ce,shuffle_200ms,200.0,3,0.12520604395604393,-0.4342438811188811
11,relative_10bin_ce,shuffle_200ms,200.0,4,0.18266525141525145,-0.3767846736596736
11,relative_10bin_ce,shuffle_500ms,500.0,0,0.23165029415029417,-0.32779963092463094
11,relative_10bin_ce,shuffle_500ms,500.0,1,0.17383553946053945,-0.38561438561438566
11,relative_10bin_ce,shuffle_500ms,500.0,2,0.18165029415029413,-0.377799630924631
11,relative_10bin_ce,shuffle_500ms,500.0,3,0.1977196414696415,-0.3617302836052836
11,relative_10bin_ce,shuffle_500ms,500.0,4,0.1925966394716395,-0.36685328560328556
23,timestep_ce,original,,-1,0.32665147352647356,0.0
23,timestep_ce,shuffle_200ms,200.0,0,0.2552881146631147,-0.07136335886335887
23,timestep_ce,shuffle_200ms,200.0,1,0.22334748584748587,-0.10330398767898769
23,timestep_ce,shuffle_200ms,200.0,2,0.26641240703740704,-0.06023906648906652
23,timestep_ce,shuffle_200ms,200.0,3,0.2680226023976024,-0.05862887112887116
23,timestep_ce,shuffle_200ms,200.0,4,0.26158771783771784,-0.06506375568875572
23,timestep_ce,shuffle_500ms,500.0,0,0.26641240703740704,-0.06023906648906652
23,timestep_ce,shuffle_500ms,500.0,1,0.260351800976801,-0.06629967254967256
23,timestep_ce,shuffle_500ms,500.0,2,0.3009972666222666,-0.025654206904206944
23,timestep_ce,shuffle_500ms,500.0,3,0.2799769674769675,-0.04667450604950607
23,timestep_ce,shuffle_500ms,500.0,4,0.2718937312687313,-0.05475774225774227
23,relative_10bin_ce,original,,-1,0.46169733044733047,0.0
23,relative_10bin_ce,shuffle_200ms,200.0,0,0.13086254023754026,-0.33083479020979023
23,relative_10bin_ce,shuffle_200ms,200.0,1,0.08354076479076478,-0.3781565656565657
23,relative_10bin_ce,shuffle_200ms,200.0,2,0.1410402097902098,-0.3206571206571207
23,relative_10bin_ce,shuffle_200ms,200.0,3,0.16575611888111888,-0.29594121156621156
23,relative_10bin_ce,shuffle_200ms,200.0,4,0.12726405538905539,-0.3344332750582751
23,relative_10bin_ce,shuffle_500ms,500.0,0,0.14293865856365856,-0.3187586718836719
23,relative_10bin_ce,shuffle_500ms,500.0,1,0.10783313908313909,-0.3538641913641914
23,relative_10bin_ce,shuffle_500ms,500.0,2,0.16208583083583084,-0.29961149961149963
23,relative_10bin_ce,shuffle_500ms,500.0,3,0.14704254079254078,-0.31465478965478966
23,relative_10bin_ce,shuffle_500ms,500.0,4,0.1613393550893551,-0.30035797535797537
