seed,bin,balanced_accuracy,accuracy,macro_f1,bin_silent_fraction
11,full,0.32832688145188144,0.3532934131736527,0.2476737910256616,
11,1,0.09611742424242424,0.08982035928143713,0.035933865071452305,0.9820359281437125
11,2,0.12572670385170384,0.1317365269461078,0.11684050198967143,0.47305389221556887
11,3,0.18540868853368855,0.19161676646706588,0.15505052631709634,0.19760479041916168
11,4,0.18181263181263183,0.19161676646706588,0.13973202276394076,0.07784431137724551
11,5,0.2851658757908758,0.2934131736526946,0.2204730909671646,0.059880239520958084
11,6,0.23252997002997,0.24550898203592814,0.17252252341766408,0.08982035928143713
11,7,0.274126221001221,0.2994011976047904,0.2201922581386867,0.1317365269461078
11,8,0.22296245421245423,0.24550898203592814,0.16785859142711457,0.10778443113772455
11,9,0.20641962204462205,0.2275449101796407,0.15148048408917977,0.04790419161676647
11,10,0.12934981684981686,0.1437125748502994,0.08886746715895522,0.0658682634730539
23,full,0.32665147352647356,0.3473053892215569,0.23230399230399226,
23,1,0.08333333333333333,0.07784431137724551,0.012241054613935971,0.9820359281437125
23,2,0.15034305971805972,0.16167664670658682,0.11500201775625506,0.39520958083832336
23,3,0.149908078033078,0.15568862275449102,0.1224320891008797,0.16766467065868262
23,4,0.16136398323898324,0.16167664670658682,0.12638922611220835,0.0718562874251497
23,5,0.2495050088800089,0.25748502994011974,0.1851362183266927,0.0718562874251497
23,6,0.22505133755133755,0.23353293413173654,0.15200216337994488,0.08982035928143713
23,7,0.238980463980464,0.25748502994011974,0.18265195661028996,0.1317365269461078
23,8,0.1651365995115995,0.17964071856287425,0.13266362845110474,0.11976047904191617
23,9,0.14957022144522145,0.15568862275449102,0.11523184337646225,0.05389221556886228
23,10,0.16781517094017095,0.18562874251497005,0.11939352520034231,0.0718562874251497
